ngram,freq,cumshare,en
的,14377440,0.068,of
和,2671794,0.08,and
在,2408150,0.092,exist
是,2381976,0.103,yes
了,1836590,0.111,span
中,1111282,0.117,middle
与,1038210,0.122,and
对,1003418,0.126,right
人,952086,0.131,people
年,951279,0.135,year
为,883219,0.139,for
有,879515,0.144,have
一,872949,0.148,one
发展,733658,0.151,develop
企业,676108,0.154,enterprise
上,655030,0.157,superior
社会,642912,0.16,society
中国,626508,0.163,China
这,624490,0.166,this
他,616503,0.169,he
等,604886,0.172,wait
也,600351,0.175,also
经济,599532,0.178,economy
不,589420,0.181,do not
工作,584939,0.183,work
一个,579460,0.186,one
我,568042,0.189,I
而,564555,0.191,and
地,511011,0.194,land
以,510000,0.196,by
性,495993,0.198,sex
我们,477047,0.201,us
要,459422,0.203,want
管理,458710,0.205,manage
到,441382,0.207,arrive
国家,437759,0.209,nation
就,415204,0.211,at once
问题,407639,0.213,question
会,405641,0.215,meeting
从,397176,0.217,from
可以,396986,0.219,can
或,393316,0.221,or
来,380363,0.222,come
之,376712,0.224,of
个,373987,0.226,indivual
进行,366514,0.228,conduct
新,364306,0.229,new
自己,359674,0.231,own
并,358850,0.233,and
你,354587,0.234,you
大,347460,0.236,big
所,346748,0.238,place
月,344234,0.239,moon
其,340628,0.241,that
市场,336971,0.242,market
都,336132,0.244,all
时,331168,0.246,time
研究,329432,0.247,research
及,324577,0.249,and
他们,323911,0.25,them
服务,323679,0.252,serve
但,321426,0.253,but
将,319999,0.255,will
没有,319683,0.256,no
第,312228,0.258,the first
文化,309076,0.259,culture
建设,308089,0.261,construction
公司,306720,0.262,company
于,304134,0.264,at
生产,299943,0.265,production
说,296629,0.266,say
政府,295351,0.268,government
组织,293788,0.269,organize
化,293648,0.27,change
日,290401,0.272,day
教育,279838,0.273,educate
下,279385,0.274,down
被,279125,0.276,quilt
者,275697,0.277,by
通过,259937,0.278,pass
主要,252870,0.28,main
技术,251492,0.281,technology
关系,251384,0.282,relation
投资,247219,0.283,invest
就是,243713,0.284,that is
后,241982,0.285,back
二,241345,0.286,two
信息,240513,0.288,information
情况,233978,0.289,happening
影响,232857,0.29,influences
各,232140,0.291,each
它,231238,0.292,it
方面,230772,0.293,aspect
三,229721,0.294,three
把,229539,0.295,bundle
需要,229387,0.296,need
制度,228789,0.297,system
重要,226959,0.298,important
活动,226949,0.3,activity
产品,225648,0.301,product
其他,224889,0.302,other
由,223585,0.303,depend on
着,215857,0.304,writing
种,215336,0.305,kind
多,215046,0.306,many
这些,214350,0.307,these
使,214205,0.308,make
能,214015,0.309,can
政策,212810,0.31,policy
业,210530,0.311,industry
如果,209802,0.312,if
美国,209201,0.313,U.S.
亿,208590,0.314,100 million
还,205004,0.315,return
不同,204790,0.316,different
用,204564,0.317,use
政治,198622,0.318,politics
世界,198161,0.318,world
这个,197440,0.319,this
国际,196708,0.32,internationality
项目,196139,0.321,project
资源,193378,0.322,resource
更,193177,0.323,even
基础,192564,0.324,base
因为,189032,0.325,because
以及,187677,0.326,as well as
增长,187266,0.327,increase
出,186743,0.328,out
产业,186440,0.328,industry
国,185713,0.329,country
可能,185531,0.33,possible
生活,185265,0.331,life
要求,185065,0.332,require
环境,184141,0.333,surroundings
法,181945,0.334,law
应,180446,0.334,answer
提供,180222,0.335,supply
能力,180063,0.336,ability
地区,180034,0.337,area
单位,179235,0.338,unit
人员,179160,0.339,personnel
实现,178877,0.34,accomplish
市,178315,0.34,city
部门,177802,0.341,department
这样,177511,0.342,so
万,176460,0.343,ten thousand
包括,175545,0.344,include
向,175319,0.345,towards
作为,174869,0.345,as
过程,174175,0.346,process
方式,173969,0.347,way
主义,173787,0.348,doctrine
提高,173487,0.349,improve
可,173213,0.349,can
价格,171744,0.35,price
人民,169580,0.351,people
机构,169261,0.352,mechanism
收入,168303,0.353,income
必须,167894,0.353,must
因此,167693,0.354,therefore
成为,167045,0.355,become
分析,166793,0.356,analyze
一种,165658,0.357,a sort of
