ngram,freq,cumshare
the,3090159793,0.052
to,1655457385,0.080
and,1642708884,0.108
a,1292660699,0.130
of,1249769697,0.151
I,1176779607,0.171
he,963020468,0.187
was,843827696,0.202
in,825682730,0.216
her,753086818,0.229
it,744055969,0.241
you,730383369,0.253
she,724661111,0.266
not,722792230,0.278
that,695268505,0.290
his,644031897,0.301
had,470478176,0.309
with,445488453,0.316
for,430094827,0.323
on,409843236,0.330
as,407991411,0.337
but,364495053,0.343
at,362048078,0.350
my,312990330,0.355
him,308750435,0.360
is,298039212,0.365
be,289092093,0.370
me,281534416,0.375
they,270981428,0.379
have,265220941,0.384
said,254323808,0.388
do,246770490,0.392
this,239507049,0.396
from,238459179,0.401
what,231268399,0.404
we,227466967,0.408
out,213659457,0.412
up,213248841,0.416
all,211729347,0.419
would,208484554,0.423
so,203164980,0.426
were,203008418,0.430
did,192867956,0.433
there,190304798,0.436
one,188380408,0.439
could,188143031,0.442
if,186714929,0.446
when,168207862,0.448
no,162352191,0.451
by,158976921,0.454
like,158110126,0.457
about,156379974,0.459
been,153421034,0.462
them,151555332,0.464
into,149307840,0.467
back,148011690,0.469
then,147024839,0.472
an,146021520,0.474
or,143743407,0.477
are,143304788,0.479
your,132790731,0.481
can,129802647,0.484
just,129102252,0.486
their,126089519,0.488
know,122013747,0.490
who,119988456,0.492
time,119782275,0.494
now,118023562,0.496
will,114774747,0.498
more,112654969,0.500
down,111145348,0.502
over,110063287,0.504
how,99161515,0.505
get,93170881,0.507
see,90806227,0.508
which,89261535,0.510
man,87687378,0.511
some,87686635,0.513
before,87566033,0.514
only,86157303,0.516
here,83509270,0.517
way,82868138,0.519
eyes,81865268,0.520
even,79900404,0.521
go,78126306,0.523
than,76255184,0.524
after,76190785,0.525
other,76190716,0.527
two,74382621,0.528
too,73941208,0.529
think,73882088,0.530
well,72882875,0.532
right,72686680,0.533
off,72094353,0.534
going,72083480,0.535
looked,71079136,0.537
through,70957976,0.538
again,70799264,0.539
good,70342109,0.540
head,69350256,0.541
where,69036303,0.542
little,68593236,0.544
around,68125588,0.545
still,68051442,0.546
never,67762986,0.547
any,67662747,0.548
thought,67044457,0.549
made,66692871,0.550
away,65873962,0.552
hand,65723578,0.553
want,65000232,0.554
come,64291332,0.555
us,63723343,0.556
much,63252159,0.557
something,63037386,0.558
face,61752279,0.559
our,61209691,0.560
very,61141027,0.561
asked,60661105,0.562
has,60653497,0.563
first,60185997,0.564
long,58289279,0.565
got,57886499,0.566
why,56474698,0.567
let,56381708,0.568
make,56026555,0.569
look,55860291,0.570
take,55036808,0.571
say,54970518,0.572
knew,53924953,0.573
room,53871462,0.574
door,53351002,0.575
because,53071741,0.576
should,51930003,0.576
came,51784258,0.577
took,50666422,0.578
day,50232132,0.579
people,48997774,0.580
life,47743962,0.581
tell,47731696,0.581
went,47118639,0.582
felt,46500956,0.583
told,46411769,0.584
might,46255369,0.585
while,45972501,0.585
left,45813731,0.586
turned,45675414,0.587
old,45245089,0.588
own,44534304,0.588
another,44184425,0.589
its,43930596,0.590
last,43574596,0.591
being,43076795,0.591
night,42048526,0.592
wanted,41603516,0.593
nothing,41570135,0.594
sure,41223730,0.594
need,41003056,0.595
house,40582357,0.596
himself,40110297,0.596
few,40045314,0.597
those,39978810,0.598
put,39807487,0.598
hands,39578307,0.599
saw,39353730,0.600
really,39264022,0.600
though,39141414,0.601
must,39027790,0.602
yes,38743390,0.602
