ngram,rank,freq,cumshare
the,1,13616383631,0.051
of,2,7326553569,0.079
and,3,6741856038,0.104
to,4,5823525350,0.126
a,5,4654134702,0.143
in,6,4475443275,0.160
that,7,2459476338,0.169
is,8,2168689816,0.177
for,9,1971619618,0.185
I,10,1914539339,0.192
it,11,1783994211,0.199
was,12,1764069688,0.205
as,13,1651543238,0.212
not,14,1624805797,0.218
with,15,1590588927,0.224
he,16,1521191359,0.229
on,17,1442418052,0.235
you,18,1307005747,0.240
be,19,1240994095,0.244
his,20,1130561654,0.249
this,21,1084496580,0.253
by,22,1056606781,0.257
or,23,1008603246,0.260
are,24,1006418825,0.264
at,25,1002451373,0.268
her,26,988880596,0.272
from,27,967857590,0.275
she,28,922777784,0.279
had,29,858440610,0.282
but,30,848791190,0.285
have,31,820638813,0.288
an,32,769975875,0.291
they,33,748364045,0.294
we,34,710875482,0.297
were,35,597215417,0.299
one,36,596212964,0.301
all,37,594197086,0.303
can,38,579289804,0.305
which,39,577029046,0.308
their,40,566026432,0.310
my,41,553290590,0.312
if,42,510915608,0.314
what,43,505706878,0.316
do,44,495367225,0.318
there,45,489663149,0.319
when,46,484806452,0.321
would,47,478473962,0.323
him,48,467938122,0.325
so,49,462617198,0.326
more,50,448238722,0.328
me,51,442129639,0.330
will,52,435344816,0.331
been,53,420262765,0.333
out,54,417163658,0.335
up,55,410234657,0.336
about,56,407857983,0.338
who,57,399030325,0.339
has,58,398615425,0.341
no,59,398416653,0.342
into,60,382387143,0.344
time,61,372268216,0.345
other,62,370294681,0.346
them,63,365294066,0.348
your,64,362140786,0.349
said,65,352354644,0.350
could,66,351728819,0.352
did,67,322931387,0.353
then,68,322124711,0.354
some,69,321151402,0.355
these,70,316340147,0.357
also,71,315542941,0.358
like,72,311468514,0.359
than,73,309024058,0.360
its,74,300262869,0.361
may,75,299112430,0.362
only,76,297499522,0.363
see,77,296968015,0.365
new,78,286904042,0.366
how,79,277296801,0.367
two,80,275684730,0.368
such,81,269277836,0.369
over,82,260515853,0.370
our,83,251583413,0.371
first,84,249050473,0.372
any,85,244766359,0.372
just,86,240252378,0.373
after,87,238051481,0.374
back,88,231228476,0.375
now,89,229279794,0.376
through,90,226006723,0.377
even,91,220429304,0.378
people,92,218042740,0.379
where,93,216182639,0.379
well,94,214750058,0.380
most,95,212510854,0.381
between,96,211520885,0.382
way,97,208853778,0.383
because,98,208525242,0.383
know,99,201623284,0.384
should,100,201028382,0.385
before,101,195613426,0.386
many,102,187001406,0.386
down,103,186779798,0.387
very,104,182420392,0.388
made,105,181665499,0.388
life,106,179737585,0.389
work,107,176469622,0.390
those,108,175938742,0.390
us,109,171565362,0.391
here,110,170333092,0.392
get,111,169830190,0.392
use,112,167961291,0.393
make,113,167716439,0.393
being,114,167353020,0.394
good,115,166743101,0.395
much,116,166680223,0.395
each,117,166548951,0.396
both,118,164031840,0.397
man,119,163073964,0.397
right,120,160145452,0.398
while,121,158805440,0.398
used,122,157100373,0.399
world,123,150971568,0.400
same,124,149435329,0.400
must,125,147539331,0.401
long,126,146293935,0.401
go,127,144829920,0.402
years,128,143354478,0.402
still,129,142757170,0.403
day,130,140899689,0.403
own,131,140885831,0.404
does,132,139839719,0.404
too,133,137947003,0.405
under,134,137760821,0.405
take,135,137706841,0.406
another,136,133839860,0.406
part,137,133520053,0.407
state,138,132295563,0.407
little,139,130992569,0.408
however,140,130826567,0.408
off,141,130313425,0.409
three,142,129394696,0.409
around,143,129304406,0.410
think,144,128792255,0.410
need,145,127306503,0.411
never,146,126834630,0.411
come,147,125498246,0.412
might,148,125118007,0.412
different,149,124796905,0.413
again,150,124520067,0.413
without,151,119814733,0.414
God,152,119734712,0.414
system,153,118641588,0.415
going,154,116905375,0.415
want,155,116580144,0.415
hand,156,116274253,0.416
social,157,116103806,0.416
during,158,114715423,0.417
place,159,114661684,0.417
thought,160,113710748,0.418
against,161,112836204,0.418
something,162,112668802,0.418
found,163,112404428,0.419
high,164,112339592,0.419
case,165,111422675,0.420
say,166,110402823,0.420
why,167,109966993,0.421
away,168,109708339,0.421
information,169,109064896,0.421
head,170,105568427,0.422
within,171,105385734,0.422
let,172,105241131,0.423
eyes,173,104629947,0.423
number,174,104468828,0.423
left,175,104380109,0.424
old,176,102598838,0.424
every,177,102411425,0.425
great,178,101924584,0.425
example,179,101280654,0.425
since,180,100344089,0.426
data,181,99332939,0.426
came,182,98912554,0.426
men,183,98889063,0.427
set,184,97993635,0.427
look,185,97779435,0.428
children,186,97221557,0.428
water,187,96584645,0.428
university,188,96151296,0.429
few,189,95849580,0.429
face,190,95375550,0.429
research,191,95151315,0.430
chapter,192,94917433,0.430
small,193,94884490,0.430
things,194,94425671,0.431
year,195,93359922,0.431
based,196,93316468,0.431
find,197,92967527,0.432
end,198,92934494,0.432
human,199,92679807,0.432
last,200,92548551,0.433
home,201,92492742,0.433
always,202,92441144,0.434
power,203,92097599,0.434
asked,204,91812422,0.434
figure,205,91672990,0.435
often,206,91562368,0.435
order,207,91383770,0.435
family,208,91303364,0.436
important,209,90853618,0.436
using,210,90545902,0.436
women,211,90486266,0.437
process,212,90192264,0.437
house,213,89922349,0.437
point,214,89889042,0.438
though,215,89551966,0.438
law,216,89520253,0.438
took,217,89281843,0.439
states,218,89086807,0.439
called,219,89018208,0.439
looked,220,89004916,0.440
second,221,88243587,0.440
public,222,88170152,0.440
given,223,88025492,0.441
got,224,87585269,0.441
help,225,87501643,0.441
once,226,87142774,0.442
body,227,86934784,0.442
until,228,85777603,0.442
change,229,84960455,0.443
put,230,84213354,0.443
development,231,83989360,0.443
went,232,83928309,0.444
room,233,83890561,0.444
group,234,83528617,0.444
next,235,82984738,0.444
general,236,81421677,0.445
love,237,81368507,0.445
am,238,80306174,0.445
form,239,79829494,0.446
side,240,79632693,0.446
following,241,79393854,0.446
give,242,79350650,0.447
large,243,78957594,0.447
less,244,78652157,0.447
told,245,78535533,0.447
better,246,78390590,0.448
knew,247,78264877,0.448
yet,248,78050303,0.448
table,249,77933095,0.449
control,250,77506793,0.449
upon,251,77436989,0.449
later,252,77060190,0.449
study,253,76763202,0.450
others,254,76742645,0.450
himself,255,76205298,0.450
school,256,75891002,0.451
press,257,75721475,0.451
war,258,75714706,0.451
rather,259,75136838,0.451
best,260,74833545,0.452
government,261,74514672,0.452
book,262,74111001,0.452
American,263,73470766,0.453
person,264,73462732,0.453
business,265,73396506,0.453
nothing,266,73326046,0.453
tell,267,72953158,0.454
fact,268,72579671,0.454
mind,269,72477729,0.454
although,270,72340860,0.455
really,271,72225606,0.455
level,272,71978681,0.455
early,273,71897700,0.455
father,274,71867738,0.456
national,275,71839390,0.456
political,276,71775032,0.456
name,277,71557666,0.456
shall,278,71535709,0.457
thus,279,71110000,0.457
felt,280,70952123,0.457
words,281,70883660,0.457
enough,282,70720089,0.458
among,283,70518104,0.458
seen,284,70451565,0.458
far,285,70205158,0.459
course,286,70201216,0.459
night,287,70137350,0.459
health,288,69548964,0.459
history,289,69515740,0.460
making,290,69499667,0.460
together,291,69186653,0.460
open,292,69023673,0.460
times,293,68957841,0.461
possible,294,68763233,0.461
door,295,68489859,0.461
value,296,68454513,0.461
mother,297,67745410,0.462
young,298,67582639,0.462
several,299,67403927,0.462
model,300,67069009,0.462
self,301,67039445,0.463
light,302,66839342,0.463
four,303,66654286,0.463
days,304,66641662,0.463
care,305,66636725,0.464
become,306,66632726,0.464
thing,307,66525318,0.464
having,308,66430026,0.464
saw,309,65939765,0.465
ever,310,65885462,0.465
least,311,65358938,0.465
whether,312,65332489,0.465
international,313,65313897,0.466
white,314,65214509,0.466
woman,315,64897667,0.466
section,316,64845625,0.466
sure,317,64775351,0.467
wanted,318,64652701,0.467
means,319,64581667,0.467
turned,320,64580535,0.467
including,321,64303341,0.468
already,322,63039352,0.468
done,323,63018806,0.468
along,324,62922576,0.468
whole,325,62669305,0.469
across,326,62164510,0.469
question,327,62151117,0.469
known,328,61907917,0.469
black,329,61772786,0.469
feel,330,61729758,0.470
rights,331,61667145,0.470
analysis,332,61601011,0.470
city,333,61596892,0.470
heart,334,61569539,0.471
support,335,61345499,0.471
child,336,61290282,0.471
present,337,60696387,0.471
