ngram,freq,cumshare,en
de,1380202965,0.048,of
la,823756863,0.077,the
et,651571349,0.1,and
le,614855518,0.121,the
à,577644624,0.142,at
l',527188618,0.16,the
les,503689143,0.178,them
en,390657918,0.191,in
des,384774428,0.205,of the
un,372111345,0.218,a
d',370306287,0.231,of
il,367267829,0.244,he
que,308592281,0.254,that
une,305141330,0.265,a
est,298461365,0.276,is
du,269326380,0.285,from
dans,253551189,0.294,in
qui,228671263,0.302,who
pour,209998348,0.309,for
pas,206722861,0.316,not
je,193924074,0.323,I
qu',177962550,0.329,that
elle,176030334,0.336,she
ne,174874707,0.342,not
au,169399263,0.348,to
ce,168373119,0.353,this
se,163590803,0.359,to
par,156360306,0.365,by
a,154508619,0.37,has
sur,149435865,0.375,on
plus,136841941,0.38,more
son,134503327,0.385,his
n',130389016,0.389,not
s',119112948,0.394,if
mais,109277203,0.397,but
avec,106402072,0.401,with
vous,103219801,0.405,you
on,100332709,0.408,we
c',96742500,0.412,this
était,96121051,0.415,was
lui,96018718,0.418,him
nous,94493501,0.422,we
ou,93631155,0.425,where
sa,93294583,0.428,her
comme,87072875,0.431,as
avait,84141407,0.434,had
ses,79985038,0.437,his
tout,77060818,0.44,everything
cette,75345546,0.442,this
si,70352934,0.445,if
sont,68475032,0.447,are
même,67934864,0.45,same
j',67274854,0.452,I
être,66728217,0.454,be
me,64823260,0.456,me
y,63761548,0.459,there
bien,62861656,0.461,good
ils,62599625,0.463,they
aux,62182010,0.465,to
tu,54393079,0.467,you
leur,53064557,0.469,their
fait,52115084,0.471,do
ces,48951382,0.473,these
sans,48567420,0.474,without
ai,46997364,0.476,have
deux,46505779,0.478,of them
peut,44091245,0.479,may
faire,43534550,0.481,to do
où,42654791,0.482,where
aussi,42295369,0.484,too
mon,41417447,0.485,my
ont,37656659,0.486,have
été,37602794,0.488,summer
entre,36387225,0.489,between
dit,36034619,0.49,said
moi,35243107,0.491,me
autre,34723524,0.493,other
non,32902407,0.494,Nope
tous,32784741,0.495,all
temps,31902539,0.496,time
m',31510977,0.497,me
encore,31498312,0.498,again
très,31094465,0.499,very
après,30787337,0.5,after
alors,30340235,0.501,then
autres,30165767,0.503,others
là,29531840,0.504,the
ma,29166752,0.505,my
dont,28541512,0.506,whose
quand,28515100,0.507,when
peu,28441281,0.508,little
sous,27506119,0.509,under
ça,26297844,0.509,that
vie,26218577,0.51,life
avoir,25601531,0.511,have
leurs,25580128,0.512,their
ainsi,25468125,0.513,thus
fois,25327497,0.514,time
avant,24850109,0.515,before
cela,24747043,0.516,that
rien,24116812,0.517,nothing
vers,23632203,0.517,towards
homme,23588264,0.518,man
toujours,23128074,0.519,still
puis,22926685,0.52,then
suis,22845626,0.521,am
dire,22760775,0.521,say
donc,22511651,0.522,so
toute,22117900,0.523,all
moins,21754628,0.524,less
monde,21088469,0.524,world
jamais,20897000,0.525,never
quelques,20645272,0.526,some
notre,20551467,0.527,our
voir,20296482,0.527,see
