ngram,freq,cumshare,en
die,1382028889,0.031,the
und,1298842519,0.06,and
der,1289979020,0.088,the
in,728908441,0.105,in
sie,559405887,0.117,you
zu,537050069,0.129,to
das,513189212,0.14,the
den,492080229,0.151,the
ich,421721041,0.161,I
von,410603411,0.17,from
sich,408570986,0.179,itself
nicht,401617143,0.188,not
er,393014242,0.197,he
mit,384396800,0.205,with
auf,362596634,0.213,on
es,347807409,0.221,it
ist,345425901,0.229,is
ein,321289252,0.236,a
des,301912959,0.243,of
eine,292183897,0.249,one
dem,268313362,0.255,to the
als,265750388,0.261,as
im,258402639,0.267,in the
für,238620146,0.272,for
an,232860833,0.277,on
auch,228519734,0.282,also
war,221553111,0.287,was
wie,205346345,0.292,how
dass,195543129,0.296,that
so,182659900,0.3,so
aus,171594787,0.304,out
aber,164525895,0.308,but
nach,159336815,0.311,after
werden,153924474,0.315,will
oder,152388572,0.318,or
bei,149056419,0.322,at
einer,140988030,0.325,one
noch,137509937,0.328,still
um,134903992,0.331,around
einen,133966187,0.334,a
nur,133208086,0.337,only
wir,132892865,0.34,we
hatte,131820426,0.343,would have
sind,127286475,0.345,are
wird,124025955,0.348,becomes
wenn,122991920,0.351,if
durch,119970859,0.354,through
was,118058915,0.356,what
du,113922314,0.359,you
über,111690629,0.361,above
einem,110501112,0.364,one
ihr,108200994,0.366,her
sein,106549127,0.368,be
hat,106517235,0.371,has
man,103397713,0.373,man
vor,101914800,0.375,before
mir,98617721,0.378,me
dann,95258867,0.38,then
zur,94951742,0.382,to the
zum,94842920,0.384,to the
mich,92906543,0.386,me
kann,91625975,0.388,can
diese,87934251,0.39,this
haben,83407708,0.392,to have
ihm,80486591,0.394,him
am,78599695,0.395,at the
da,78452700,0.397,there
ihn,78145551,0.399,him
ihre,77748338,0.401,their
seine,75191179,0.402,his
doch,73605782,0.404,yet
mehr,72468791,0.406,more
wieder,69789011,0.407,again
daß,68675573,0.409,that
dieser,66437229,0.41,this
hier,64881463,0.412,here
schon,64685930,0.413,beautiful
können,63550124,0.414,be able
immer,62482728,0.416,always
wurde,61520344,0.417,became
uns,59106826,0.419,us
bis,58452795,0.42,until
eines,55308320,0.421,one
unter,54001068,0.422,under
waren,51879973,0.423,were
habe,51007448,0.425,have
ja,50803004,0.426,yes
keine,49047794,0.427,no
denn,47683930,0.428,then
alle,47395074,0.429,everyone
vom,47171344,0.43,from the
etwas,47092532,0.431,some
sehr,46668251,0.432,very
jetzt,45336298,0.433,now
seiner,44979657,0.434,his
sagte,44486498,0.435,said
selbst,43100760,0.436,even
Zeit,42391921,0.437,time
konnte,42133748,0.438,could
damit,41899036,0.439,in order to
anderen,41472760,0.44,others
würde,41277202,0.441,would
meine,41268109,0.442,think
ihrer,40839812,0.442,of their
zwischen,40374318,0.443,in between
alles,39302384,0.444,all
ihnen,39095856,0.445,them
ohne,39053727,0.446,without
nun,38973412,0.447,well
ganz,38843937,0.448,all
also,38805250,0.449,so
ihren,38309441,0.449,their
seinen,38236418,0.45,his
nichts,37166433,0.451,nothing
diesem,36611517,0.452,this
sondern,34896817,0.453,but
zwei,34435177,0.453,two
gut,33243524,0.454,well
weil,33171495,0.455,because
Menschen,32406027,0.456,people
dabei,32020926,0.456,included
mein,31817633,0.457,my
dieses,31766569,0.458,this
leben,31549061,0.458,life
ob,31381960,0.459,if
während,31244199,0.46,while
mal,31144948,0.461,times
gegen,30764312,0.461,versus
dich,30555746,0.462,you
wo,30295047,0.463,where
seinem,30129933,0.463,his
ab,29793114,0.464,away
einmal,29787056,0.465,once
dir,29734127,0.465,to you
dies,29730931,0.466,this
muss,29646609,0.467,got to
gibt,29003617,0.467,are
wollte,28460440,0.468,wanted to
sah,28437895,0.469,saw
viel,28390270,0.469,a lot of
Frau,28350519,0.47,woman
hätte,28229621,0.47,would have
andere,28116639,0.471,other
lassen,27390973,0.472,to let
bin,27268386,0.472,am
Augen,26898159,0.473,eyes
hatten,26822704,0.473,had
Mann,26747116,0.474,man
sollte,26616482,0.475,should
wäre,26532044,0.475,would
sei,26338046,0.476,be
erst,26046232,0.476,first
wurden,26004469,0.477,became
diesen,25812787,0.478,this
kein,25596248,0.478,no
machen,25386208,0.479,make
müssen,25144573,0.479,have to
ihrem,25108267,0.48,her
dazu,24771537,0.48,to
vielleicht,24571847,0.481,perhaps
soll,24555332,0.481,target
Hand,24544745,0.482,hand
jedoch,24471653,0.483,however
bereits,23932224,0.483,already
beiden,23926266,0.484,both
beim,23913785,0.484,at the
welche,23535690,0.485,which
dort,23278948,0.485,there
geht,23268330,0.486,goes
zurück,22980800,0.486,return
ins,22962353,0.487,into the
kam,22685101,0.487,came
will,22259041,0.488,want
gerade,22053577,0.488,just
weiter,21956219,0.489,further
sehen,21918286,0.489,see
weg,21846845,0.49,away
heute,21826232,0.49,today
ging,21801534,0.491,went
Kopf,21607475,0.491,head
sowie,21353912,0.492,such as
drei,21341037,0.492,three
ersten,21165350,0.493,first
wohl,20775565,0.493,probably
darauf,20684222,0.493,thereon
gar,20551319,0.494,at all
weiß,20356343,0.494,white
gab,20316321,0.495,gave
gewesen,20260428,0.495,been
wissen,20256625,0.496,to know
stand,20129538,0.496,was standing
denen,19794307,0.497,those
Welt,19690061,0.497,world
kommt,19430067,0.497,comes
frage,19241029,0.498,ask
Jahre,19195672,0.498,years
einfach,19190665,0.499,easy
hast,19085585,0.499,have
sagen,19061888,0.5,to say
recht,19006163,0.5,law
Blick,18820172,0.5,view
fragte,18787627,0.501,asked
kommen,18723056,0.501,come
nie,18718531,0.502,never
viele,18702582,0.502,many
seit,18629970,0.503,since
davon,18228357,0.503,from that
etwa,18168483,0.503,about
macht,18082037,0.504,power
lange,17921336,0.504,long
worden,17724235,0.505,been
ließ,17666213,0.505,let
allem,17593435,0.505,everything
tun,17489995,0.506,do
zwar,17447128,0.506,that is
wer,17398167,0.507,who
deren,17387939,0.507,whose
neben,17267746,0.507,next
gehen,17262658,0.508,walk
Jahren,17252072,0.508,years
könnte,17172852,0.508,could
wirklich,17011512,0.509,really
meinen,16861971,0.509,think
Mutter,16768687,0.51,mother
musste,16617273,0.51,had to
warum,16554877,0.51,why
Seite,16418973,0.511,side
hin,16365143,0.511,there
großen,16350481,0.511,huge
fast,16266726,0.512,nearly
Arbeit,16219283,0.512,work
wenig,16052601,0.512,little
dafür,16024543,0.513,therefore
Ende,16012536,0.513,end
nein,15986695,0.514,no
Tag,15972937,0.514,day
allerdings,15957337,0.514,indeed
neue,15956367,0.515,new
einige,15867036,0.515,some
später,15834602,0.515,later
meiner,15826073,0.516,mine
hinter,15761819,0.516,behind
Fall,15721237,0.516,case
genau,15671214,0.517,I agree
allen,15608298,0.517,everyone
Gesicht,15550717,0.517,face
Teil,15543302,0.518,part
zusammen,15540366,0.518,together
Art,15481983,0.518,kind
gleich,15349611,0.519,same
finden,15226741,0.519,find
stehen,15169419,0.519,stand
jeder,15154851,0.52,everyone
wollen,15103159,0.52,want
Vater,15008478,0.52,father
oft,14952607,0.521,often
werde,14932348,0.521,will
sogar,14781209,0.521,even
Kinder,14673061,0.522,children
allein,14564434,0.522,alone
darüber,14563260,0.522,about that
natürlich,14539901,0.523,naturally
dessen,14505007,0.523,whose
keinen,14449201,0.523,none
steht,14409271,0.524,stands
kaum,14288975,0.524,hardly
schließlich,14223421,0.524,after all
besonders,14078631,0.525,especially
liegt,13996010,0.525,lies
große,13964098,0.525,size
möglich,13921067,0.526,possible
eigenen,13723972,0.526,own
geben,13607095,0.526,give
kleinen,13571102,0.527,small
paar,13532199,0.527,few
Gott,13488245,0.527,God
bist,13473764,0.527,are you
gegenüber,13472453,0.528,opposite to
daher,13467694,0.528,hence
unsere,13442699,0.528,our
ganze,13420506,0.529,whole
and,13401886,0.529,other
weit,13278361,0.529,far
neuen,13262083,0.53,new
euch,13247265,0.53,you
je,13194685,0.53,ever
Beispiel,13156726,0.53,example
machte,13096311,0.531,made
nahm,13054128,0.531,took
sicher,13040887,0.531,secure
schnell,12896831,0.532,quickly
deutschen,12800726,0.532,German
meinem,12759590,0.532,my
gemacht,12749410,0.532,did
kleine,12705988,0.533,small
Haus,12655948,0.533,a house
daran,12651173,0.533,to it
letzten,12604038,0.534,last
kurz,12541510,0.534,short
liebe,12492936,0.534,love
Form,12442320,0.534,shape
solche,12349508,0.535,such
wegen,12320478,0.535,because
deshalb,12310558,0.535,for this reason
fragen,12294781,0.535,ask
Geschichte,12180829,0.536,story
Weise,12175451,0.536,way
beide,12079797,0.536,both
Herr,12069586,0.537,Mister
Tür,11981731,0.537,door
besser,11952436,0.537,better
Stimme,11857361,0.537,voice
Wasser,11855769,0.538,water
erste,11799302,0.538,first
eigentlich,11775611,0.538,actually
gesagt,11714179,0.538,said
Stadt,11643641,0.539,city
weniger,11607246,0.539,fewer
aller,11605615,0.539,all
Jahr,11590732,0.539,year
hielt,11553810,0.54,held
lässt,11516008,0.54,leaves
Gedanken,11443047,0.54,throughts
sollten,11429261,0.54,should
dachte,11427030,0.541,thought
Bild,11416188,0.541,picture
wusste,11402744,0.541,knew
Bedeutung,11383681,0.541,meaning
fest,11335688,0.542,celebration
oben,11317422,0.542,above
Frauen,11291367,0.542,women
überhaupt,11213425,0.542,at all
nehmen,11175528,0.543,take
weitere,11170945,0.543,further
stelle,11135953,0.543,job
Kind,11129080,0.543,child
eben,11041379,0.544,even
seines,10989899,0.544,his
Unternehmen,10961803,0.544,company
alten,10928004,0.544,old
stellen,10914257,0.545,place
sofort,10878527,0.545,instantly
gesehen,10853200,0.545,seen
Körper,10802129,0.545,body
gilt,10788109,0.546,is applicable
sagt,10715882,0.546,says
plötzlich,10676941,0.546,suddenly
Deutschland,10607944,0.546,Germany
zog,10563698,0.547,pulled
sollen,10529849,0.547,must
muß,10502798,0.547,got to
würden,10450107,0.547,would
zunächst,10433114,0.548,first
ebenfalls,10330737,0.548,likewise
Moment,10314701,0.548,moment
lag,10306372,0.548,lay
Entwicklung,10243085,0.548,development
ebenso,10230304,0.549,as well
Nacht,10093693,0.549,night
anders,10076898,0.549,different
Wort,10071657,0.549,word
Kapitel,10070179,0.55,chapter
schien,10030016,0.55,seemed
deutlich,10017296,0.55,clear
zeigt,9997532,0.55,indicates
endlich,9996627,0.55,at last
deine,9945663,0.551,yours
gehört,9917191,0.551,heard
vier,9884595,0.551,four
Berlin,9878217,0.551,Berlin
Grund,9873000,0.552,reason
her,9872592,0.552,here
bleiben,9871974,0.552,stay
sonst,9850854,0.552,otherwise
ganzen,9840877,0.552,entire
Gesellschaft,9797373,0.553,company
leicht,9782047,0.553,easy
Boden,9781173,0.553,floor
bevor,9773391,0.553,before
sieht,9742712,0.554,sees
klar,9697033,0.554,clear
nachdem,9683507,0.554,after this
denken,9672186,0.554,think
indem,9662295,0.554,in which
obwohl,9647967,0.555,although
Namen,9641981,0.555,names
eher,9641703,0.555,rather
