ngram,freq,cumshare,en
של,1115928,0.018,of
את,972517,0.033,you
על,760038,0.046,on
לא,532745,0.054,no
הוא,425219,0.061,he
זה,317962,0.066,this
כל,278116,0.07,all
כי,260632,0.075,because
גם,238224,0.078,also
היה,228804,0.082,was
עם,214654,0.085,with
או,208111,0.089,or
היא,207635,0.092,she
אם,165087,0.095,if
לו,164669,0.097,to him
מה,158146,0.1,what
אל,156464,0.102,to
יש,142772,0.105,there is
אלא,142593,0.107,but rather
בין,135098,0.109,between
אין,133712,0.111,nothing
אני,133592,0.113,I am
ישראל,129410,0.115,Israel
זו,127117,0.118,this
רק,126727,0.12,only
ה,126174,0.122,God
הם,125614,0.124,they
שם,124199,0.126,there
אבל,123853,0.128,but
ולא,123345,0.13,and no
כך,122662,0.131,so
אחד,114726,0.133,one
עד,112184,0.135,until
יותר,110139,0.137,more
שלא,108131,0.139,no
שהוא,106115,0.14,that he
ב,102933,0.142,"B, beth, 2"
מן,101486,0.144,from
לי,96229,0.145,to me
אשר,95287,0.147,which
כמו,95150,0.148,same as
אותו,92485,0.15,him
היו,92448,0.151,there were
כן,88226,0.153,yes
בו,87106,0.154,at him
אך,86358,0.155,but
כדי,84675,0.157,in order to
א,78180,0.158,"A, aleph, 1"
בכל,77387,0.159,in all
אחר,74972,0.16,other
ידי,74869,0.162,my hand
בית,72876,0.163,house
הזה,70399,0.164,this
אף,69684,0.165,nose
זאת,69669,0.166,this
"היו""ר",69443,0.167,the chairman
אדם,67339,0.168,a person
עוד,67329,0.169,more
בן,65733,0.17,son
לה,65320,0.171,her
אמר,65037,0.172,said
להיות,65010,0.173,to be
דבר,63626,0.174,nothing
ר,60790,0.175,"R, resh, 200"
להם,59478,0.176,to them
שלו,58735,0.177,his
תא,58470,0.178,cell
אינו,58378,0.179,is not
כאן,57704,0.18,here
לאחר,57630,0.181,after the
שאין,56272,0.182,there is no
שיש,55841,0.183,that
בה,55557,0.184,in her
כבר,55395,0.185,already
מי,55372,0.186,who will
ל,55338,0.186,to
בני,55328,0.187,my son
לפני,55010,0.188,before
אלה,54876,0.189,goddess
האדם,54080,0.19,the person
לפי,54038,0.191,as per
אחת,53476,0.192,one
אז,52951,0.192,then
שני,51762,0.193,"two, second"
אותה,51541,0.194,her
מ,51010,0.195,"M, mem, 40"
כמה,50863,0.196,some
עצמו,50573,0.197,himself
פי,50211,0.197,times
הייתה,50079,0.198,was
רבי,49130,0.199,rabbi
העולם,48400,0.2,the world
יום,48249,0.201,a day
י,46970,0.201,"J, yodh, 10"
משום,46969,0.202,because
יכול,46959,0.203,can
והוא,46426,0.204,and he
לנו,45785,0.204,us
אותם,45020,0.205,them
כלל,45017,0.206,rule
אתה,44791,0.206,are you
כאשר,44665,0.207,when the
צריך,44477,0.208,must
הרמב,44347,0.209,The Rambam
לך,43914,0.209,to you
מקום,43785,0.21,place
עליו,43030,0.211,on him
הן,42640,0.211,they
אלו,42605,0.212,these
היתה,42342,0.213,was
ועל,42318,0.213,and on
וכן,42065,0.214,also
אפשר,42052,0.215,it is possible
שהם,41959,0.215,that they
ו,41593,0.216,and
ראה,41143,0.217,see
שהיא,40813,0.217,she is
רב,40711,0.218,multi
הרי,40429,0.219,after all
טוב,40342,0.219,are good
לכל,40212,0.22,to all
עמ,39678,0.221,p
ז,39661,0.221,"G, zayin, 7"
הרב,39475,0.222,the rabbi
לש,39241,0.222,Lash
ואת,39154,0.223,and you
חיים,38215,0.224,Haim
מאוד,38193,0.224,is very
וגם,37448,0.225,and also
היום,37431,0.225,today
כפי,37348,0.226,as
ד,36925,0.227,"D, daleth, 4"
לעשות,36661,0.227,to do
התורה,36657,0.228,The Torah
משה,36606,0.228,Moses
בהם,36564,0.229,in them
שלי,36282,0.23,my
חלק,36217,0.23,smooth
יהיה,35935,0.231,will be
לומר,35838,0.231,to tell
באופן,35699,0.232,in a way
זמן,35498,0.232,time
שהיה,35089,0.233,was
דרך,34926,0.234,way
בבית,34868,0.234,at home
נראה,34610,0.235,seen
בזה,33847,0.235,plunder
ביותר,33728,0.236,most
אחרי,33188,0.236,after
שנים,32803,0.237,years
תורה,32711,0.237,Bible
בתוך,32661,0.238,inside
רבים,32646,0.238,many
אנו,32637,0.239,we
מתוך,32475,0.239,of
