ngram,rank,freq,cumshare
и,1,538643689,0.037
в,2,439522859,0.067
не,3,261397767,0.084
на,4,230614670,0.100
что,5,167166609,0.111
с,6,164829775,0.123
я,7,125705628,0.131
а,8,105567501,0.138
он,9,96606939,0.145
как,10,96022214,0.152
по,11,86366337,0.157
к,12,85057028,0.163
но,13,79938937,0.169
это,14,75286918,0.174
его,15,74954516,0.179
из,16,63695090,0.183
все,17,62820403,0.188
от,18,60516965,0.192
у,19,56665821,0.196
за,20,56336201,0.199
для,21,52182328,0.203
о,22,51621239,0.206
так,23,50459046,0.210
она,24,49251309,0.213
же,25,47188563,0.216
то,26,46182242,0.220
или,27,41502518,0.222
ее,28,40065260,0.225
было,29,39722358,0.228
ты,30,38222793,0.230
только,31,36509082,0.233
мы,32,35246759,0.235
они,33,34444600,0.238
если,34,34249576,0.240
их,35,34034993,0.242
бы,36,33604183,0.245
еще,37,32802160,0.247
мне,38,32741424,0.249
меня,39,32305920,0.251
до,40,30236817,0.253
когда,41,30113178,0.255
вы,42,29017665,0.257
был,43,28372934,0.259
уже,44,27832057,0.261
чтобы,45,27170211,0.263
при,46,27122998,0.265
да,47,24097715,0.267
может,48,21138873,0.268
ему,49,20677938,0.269
даже,50,20514531,0.271
время,51,20019559,0.272
ни,52,19778895,0.273
нет,53,19728441,0.275
вот,54,19378378,0.276
во,55,18739561,0.277
быть,56,18680536,0.279
есть,57,18429196,0.280
себя,58,18348966,0.281
со,59,18041832,0.282
чем,60,17973323,0.284
была,61,17747719,0.285
были,62,17233327,0.286
очень,63,16814804,0.287
того,64,16656454,0.288
можно,65,16502884,0.289
под,66,16368010,0.291
будет,67,16149047,0.292
после,68,15933744,0.293
этого,69,15923698,0.294
него,70,15614177,0.295
этом,71,15317015,0.296
где,72,15274084,0.297
ли,73,14749036,0.298
там,74,14494668,0.299
раз,75,14266143,0.300
которые,76,14255756,0.301
том,77,14213206,0.302
без,78,14096285,0.303
более,79,13660035,0.304
этот,80,13653512,0.305
нас,81,13566575,0.306
себе,82,13042427,0.306
кто,83,13038511,0.307
теперь,84,12975574,0.308
сказал,85,12653549,0.309
них,86,12582738,0.310
тебя,87,12563325,0.311
тем,88,12230812,0.312
который,89,12220702,0.312
здесь,90,12219703,0.313
через,91,12102645,0.314
ничего,92,11988717,0.315
ну,93,11969402,0.316
просто,94,11682580,0.317
один,95,11623858,0.317
потом,96,11623620,0.318
больше,97,11549276,0.319
всех,98,11410561,0.320
тут,99,11337603,0.320
сейчас,100,11180728,0.321
тебе,101,11170628,0.322
вас,102,11142092,0.323
также,103,10875627,0.324
жизни,104,10819199,0.324
всего,105,10815002,0.325
ей,106,10788312,0.326
надо,107,10701605,0.326
об,108,10574308,0.327
тогда,109,10511932,0.328
человек,110,10463727,0.329
между,111,10257998,0.329
вам,112,10217357,0.330
потому,113,10095654,0.331
им,114,10074984,0.331
тоже,115,9840944,0.332
своей,116,9802753,0.333
эти,117,9800224,0.333
нам,118,9705152,0.334
несколько,119,9631955,0.335
лишь,120,9420045,0.335
тот,121,9371207,0.336
этой,122,9365978,0.337
лет,123,9185695,0.337
ним,124,9116522,0.338
перед,125,9112330,0.338
ней,126,9057204,0.339
ведь,127,9033716,0.340
пока,128,8932821,0.340
хотя,129,8892678,0.341
всегда,130,8741144,0.342
свою,131,8651687,0.342
нее,132,8595414,0.343
сам,133,8566559,0.343
въ,134,8504735,0.344
день,135,8453495,0.344
года,136,8302162,0.345
глаза,137,8202543,0.346
такой,138,8038675,0.346
людей,139,8004138,0.347
именно,140,7989568,0.347
над,141,7982258,0.348
однако,142,7887633,0.348
два,143,7873808,0.349
человека,144,7782482,0.349
хорошо,145,7780386,0.350
нужно,146,7776739,0.350
жизнь,147,7700272,0.351
времени,148,7444281,0.351
своего,149,7432332,0.352
что-то,150,7391815,0.352
дело,151,7376436,0.353
конечно,152,7368725,0.353
люди,153,7288105,0.354
чего,154,7269858,0.354
своих,155,7180044,0.355
много,156,7157201,0.355
почему,157,7115862,0.356
поэтому,158,7053331,0.356
свои,159,6988784,0.357
почти,160,6965174,0.357
собой,161,6761636,0.358
которых,162,6714650,0.358
снова,163,6641616,0.359
мог,164,6615921,0.359
случае,165,6614768,0.360
мой,166,6491880,0.360
которой,167,6452818,0.360
которая,168,6450588,0.361
руки,169,6415714,0.361
совсем,170,6358868,0.362
всем,171,6339525,0.362
никогда,172,6332237,0.363
сразу,173,6289636,0.363
вместе,174,6221962,0.363
эта,175,6143045,0.364
другой,176,6070285,0.364
затем,177,5977898,0.365
лучше,178,5943464,0.365
является,179,5925106,0.366
этих,180,5922073,0.366
вдруг,181,5917475,0.366
стал,182,5904239,0.367
слова,183,5893038,0.367
три,184,5892385,0.368
могут,185,5837657,0.368
знаю,186,5739504,0.368
стороны,187,5717746,0.369
сказать,188,5634832,0.369
свое,189,5621857,0.369
такое,190,5587388,0.370
образом,191,5536735,0.370
должен,192,5530381,0.371
уж,193,5528459,0.371
сегодня,194,5509696,0.371
одной,195,5503185,0.372
других,196,5497460,0.372
друг,197,5455310,0.372
свой,198,5451714,0.373
например,199,5408943,0.373
место,200,5408839,0.374
оно,201,5404368,0.374
таким,202,5378262,0.374
тех,203,5341495,0.375
эту,204,5304499,0.375
которого,205,5259202,0.375
дома,206,5199117,0.376
будто,207,5169049,0.376
спросил,208,5165941,0.376
этим,209,5137075,0.377
значит,210,5120967,0.377
России,211,5107988,0.378
никто,212,5077265,0.378
рядом,213,5038954,0.378
тому,214,5010802,0.379
лицо,215,5006901,0.379
своим,216,5003888,0.379
словно,217,4975775,0.380
те,218,4951226,0.380
быстро,219,4923505,0.380
вообще,220,4922822,0.381
сказала,221,4895652,0.381
кроме,222,4870762,0.381
голову,223,4833714,0.382
каждый,224,4830811,0.382
должны,225,4808300,0.382
часть,226,4792164,0.383
одного,227,4782772,0.383
куда,228,4749562,0.383
вернуться,229,4744747,0.384
руку,230,4686075,0.384
российской,231,4655509,0.384
работы,232,4624883,0.384
нем,233,4614000,0.385
про,234,4595391,0.385
одна,235,4582609,0.385
вопрос,236,4556562,0.386
такие,237,4556115,0.386
сделать,238,4505456,0.386
году,239,4504225,0.387
делать,240,4458370,0.387
слишком,241,4436208,0.387
совершенно,242,4361357,0.388
точно,243,4337039,0.388
сторону,244,4301295,0.388
могу,245,4243672,0.388
сколько,246,4233198,0.389
которое,247,4223655,0.389
немного,248,4202608,0.389
из-за,249,4177474,0.390
Федерации,250,4175401,0.390
двух,251,4157540,0.390
наконец,252,4151750,0.390
другие,253,4148816,0.391
говорит,254,4138779,0.391
части,255,4134139,0.391
часто,256,4130431,0.392
против,257,4128055,0.392
ко,258,4126445,0.392
назад,259,4109242,0.392
хоть,260,4081395,0.393
будут,261,4074503,0.393
среди,262,4069038,0.393
первый,263,4060336,0.394
ответил,264,4046463,0.394
нельзя,265,4042044,0.394
дверь,266,4007056,0.394
момент,267,3998451,0.395
следует,268,3992169,0.395
самом,269,3990166,0.395
всю,270,3985536,0.395
весь,271,3965965,0.396
голос,272,3958154,0.396
особенно,273,3954637,0.396
имеет,274,3949944,0.396
моя,275,3949187,0.397
стало,276,3946057,0.397
правда,277,3935144,0.397
мир,278,3905592,0.398
одно,279,3890761,0.398
прямо,280,3880170,0.398
возможно,281,3869424,0.398
две,282,3865926,0.399
какой,283,3840917,0.399
дня,284,3837239,0.399
пусть,285,3829920,0.399
кажется,286,3792207,0.400
опять,287,3785164,0.400
которую,288,3783724,0.400
ними,289,3781270,0.400
таких,290,3774566,0.401
деятельности,291,3751764,0.401
мной,292,3746944,0.401
прежде,293,3742178,0.401
права,294,3732158,0.402
сама,295,3722165,0.402
второй,296,3697104,0.402
дом,297,3689694,0.402
такого,298,3680460,0.403
стоит,299,3677937,0.403
лица,300,3647394,0.403
деле,301,3634342,0.403
действительно,302,3628387,0.404
взгляд,303,3608396,0.404
стали,304,3585233,0.404
иногда,305,3570509,0.404
вокруг,306,3558859,0.405
менее,307,3558316,0.405
нему,308,3557819,0.405
либо,309,3556190,0.405
хотел,310,3553376,0.406
дальше,311,3540980,0.406
год,312,3532123,0.406
дела,313,3524964,0.406
знал,314,3523402,0.407
чуть,315,3521692,0.407
мои,316,3518798,0.407
деньги,317,3514125,0.407
месте,318,3510491,0.408
отец,319,3495385,0.408
говорил,320,3492303,0.408
самого,321,3474284,0.408
давно,322,3438881,0.409
моей,323,3427966,0.409
зачем,324,3417734,0.409
той,325,3405817,0.409
долго,326,3394004,0.409
детей,327,3371863,0.410
хочу,328,3369302,0.410
этому,329,3348466,0.410
минут,330,3317410,0.410
должна,331,3308948,0.411
мира,332,3303127,0.411
головой,333,3287325,0.411
могла,334,3284678,0.411
системы,335,3252094,0.411
поскольку,336,3248613,0.412
слово,337,3244981,0.412
понял,338,3243821,0.412
говорить,339,3242679,0.412
связи,340,3238432,0.413
котором,341,3230577,0.413
необходимо,342,3224638,0.413
равно,343,3194285,0.413
власти,344,3186298,0.413
достаточно,345,3170132,0.414
могли,346,3169069,0.414
стала,347,3164845,0.414
сердце,348,3153943,0.414
ответ,349,3153907,0.415
сами,350,3153037,0.415
должно,351,3152890,0.415
своем,352,3146048,0.415
места,353,3145077,0.415
пор,354,3141927,0.416
РФ,355,3140924,0.416
женщина,356,3123014,0.416
видел,357,3117794,0.416
развития,358,3100873,0.416
самое,359,3099052,0.417
вполне,360,3096819,0.417
такая,361,3095508,0.417
кто-то,362,3082739,0.417
начала,363,3076950,0.418
мало,364,3070187,0.418
друга,365,3056742,0.418
воды,366,3056633,0.418
