ngram,freq,cumshare
de,881291847,0.062
la,560211936,0.101
que,457875853,0.133
y,418590078,0.162
el,373056329,0.188
en,371495877,0.214
a,322394311,0.237
los,220257242,0.252
se,196888672,0.266
no,165750105,0.277
un,157186684,0.288
las,149924664,0.299
con,144237424,0.309
del,144143167,0.319
por,139634858,0.329
una,132643802,0.338
su,117992302,0.346
lo,104038323,0.353
para,102808927,0.361
es,93681621,0.367
al,86379668,0.373
como,75756941,0.379
más,63020283,0.383
o,58947668,0.387
me,55192961,0.391
le,54234156,0.395
pero,51810365,0.398
sus,46034433,0.402
había,42580398,0.405
si,40830935,0.407
era,34831508,0.410
cuando,32185334,0.412
mi,30294854,0.414
sin,29649161,0.416
sobre,28521737,0.418
todo,27072611,0.420
qué,26179426,0.422
él,26055790,0.424
ya,25155266,0.426
ha,24547988,0.427
este,24501439,0.429
ser,24359680,0.431
ella,22679479,0.432
entre,22670575,0.434
te,22119921,0.435
esta,21179606,0.437
también,20830133,0.438
muy,20371744,0.440
yo,20185404,0.441
estaba,20164710,0.443
son,19867267,0.444
así,18828153,0.445
dos,18641517,0.447
vez,18493879,0.448
hasta,18306890,0.449
nos,17896660,0.450
está,17375080,0.452
fue,17160019,0.453
porque,16985938,0.454
puede,16455258,0.455
bien,16414574,0.456
desde,16125446,0.457
dijo,16064075,0.459
todos,16030118,0.460
vida,15806849,0.461
ni,15547946,0.462
tiempo,15542473,0.463
eso,14637287,0.464
e,14477403,0.465
tan,14151770,0.466
mismo,13767580,0.467
años,13655216,0.468
sí,13644724,0.469
parte,13617448,0.470
hay,13315784,0.471
cada,13260889,0.472
algo,13205300,0.473
ese,13103041,0.474
después,12955118,0.474
tenía,12455163,0.475
otro,12443418,0.476
uno,12322774,0.477
nada,12197050,0.478
tu,12022664,0.479
hacia,12003850,0.480
tiene,11917143,0.480
antes,11889175,0.481
hacer,11662519,0.482
siempre,11516613,0.483
donde,11415359,0.484
tanto,11405588,0.484
mientras,11372129,0.485
otra,11358358,0.486
solo,11317682,0.487
ahora,11243843,0.488
aunque,11224875,0.488
cómo,11195312,0.489
día,11169177,0.490
esa,10877778,0.491
forma,10781299,0.491
casa,10602702,0.492
esto,10200277,0.493
momento,10125228,0.494
otros,10108998,0.494
han,10106986,0.495
poco,10039686,0.496
