ngram,freq
中 的,167117
自己 的,155392
的 人,149738
这 一,133307
人 的,123089
的 是,115856
发展 的,107360
这 是,105459
的 发展,104799
他 的,103602
各 种,102706
上 的,101590
亿 元,89392
新 的,87927
的 问题,86794
企业 的,79125
过程 中,78800
的 影响,75541
的 工作,73594
二 是,71707
的 重要,70528
的 社会,69245
两 个,69168
是 指,69086
重要 的,68757
是 一个,67775
不同 的,66769
经济 增长,66323
工作 的,64449
性 的,63853
是 在,63800
的 时候,62785
这样 的,62646
十 四条,62644
市场 经济,62298
的 基础,61073
及 其,60782
我 的,60426
方面 的,60091
你 的,59578
万 元,59545
了 一,59414
的 经济,58985
他们 的,57886
我们 的,57335
的 情况,57258
中国 的,56762
这 种,55645
年 的,55280
之间 的,55027
的 关系,55008
亿 美元,54826
一 种,54760
一 是,54547
十 五条,54412
之 一,53951
社会 保障,53644
来 说,52284
的 研究,51906
的 一个,51113
社会 的,50615
情况 下,50545
的 主要,49663
另 一,48828
的 基本,48403
问题 的,48374
三 是,48071
十 三条,47915
金融 机构,47586
并 不,47574
信息 化,47542
国家 的,47419
经济 社会,47166
经济 发展,47018
的 作用,47018
中小 企业,46789
各 级,46048
基础 上,45715
特别 是,45229
农民 工,45123
而 言,45098
对话 框,44980
的 过程,44576
来 越,44388
三 个,43285
和 社会,43264
化 的,42837
党 的,42629
来 看,42286
加 大,42151
公司 的,41640
的 一,41611
知识 产权,41520
的 方式,41322
越 来,40642
之 间,40638
中 医药,40555
第 一,40510
的 新,40438
十 六条,40209
经济 学,40033
到 了,39962
的 时间,39704
图书 馆,39507
的 历史,39436
它 的,39321
各 项,39197
看 到,38946
进行 了,38910
年 来,38835
的 政治,38738
经济 的,37907
六 届,37867
间 的,37322
也 有,37020
者 的,36968
一定 的,36928
的 要求,36835
万 人,36593
则 是,36444
可 持续,36390
巿 场,36385
是 一种,36382
的 企业,36141
的 话,36101
的 方法,35817
一个 人,35677
国有 企业,35614
做 好,35325
大 的,35325
产业 的,35118
管理 的,34788
个 方面,34737
的 国家,34517
文化 的,34481
社会 主义,34296
市场 的,34268
的 生活,34008
了 一个,33988
就 会,33968
产品 的,33797
第 二,33729
的 行为,33574
一 系列,33495
的 生产,33398
的 目标,33213
二 十,33007
关系 的,32960
活动 的,32743
的 能力,32661
一 九,32553
是 对,32546
了 中国,32499
的 思想,32427
的 信息,32310
的 内容,32114
存在 的,32011
商业 银行,31798
持续 发展,31713
体制 改革,31647
的 金融,31602
较 大,31562
的 价值,31554
主要 是,31412
的 结果,31407
在 中国,31398
个 月,31331
提供 了,31266
充分 发挥,31243
的 文化,30426
的 管理,30402
中国 经济,30352
是 一,30200
在 这,30177
的 变化,30061
提出 了,30046
人民 群众,29924
尤其 是,29802
企业 在,29689
安全 生产,29627
个 百分点,29509
面 对,29452
等 方面,29375
而 不是,29149
各 类,29096
的 市场,28952
显 着,28816
有 利于,28752
加强 对,28741
组织 的,28688
服务 的,28643
的 重大,28596
某 些,28552
产生 的,28398
不 可能,28266
更 好,28185
人民 法院,28125
几 个,28123
政府 的,28017
下 的,28017
义务 教育,28010
的 需要,27709
也 可以,27662
中国 人民,27602
之 中,27417
的 利益,27406
发 展,27257
所有 的,27249
现 有,27222
城市 化,27149
单位 的,27042
两 种,26996
的 东西,26970
的 目的,26942
中共 中央,26915
一 年,26881
