ngram,freq
in der,132471275
in den,67429285
für die,53950995
auf die,52295018
und die,52194818
in die,46457383
mit dem,43626139
mit der,37407649
von der,34752151
auf den,34231704
und der,32639436
auf dem,29870323
durch die,29573887
aus dem,29439933
auf der,29196831
über die,28903026
sie sich,28380396
bei der,26935276
an der,25779344
nicht mehr,25433909
mit einem,23781424
mit den,23687423
aus der,23154808
es ist,22359323
er sich,22291943
in einem,21651915
sich die,21547356
und das,20660648
dass die,20513341
für den,20266249
auch die,19358763
ich habe,19306736
dass sie,19277678
in dem,19272718
das ist,18902120
an den,18867003
sich in,18739638
ist die,18729898
an die,18677446
von den,18644911
es war,18186524
dass er,18092789
um die,17959133
in einer,17488694
nach dem,17298651
und ich,16999767
ist es,16674969
in diesem,16392984
zu den,14985894
mit einer,14943015
ich bin,14853683
nicht nur,14831428
die sich,14654305
und den,14358090
und in,14332049
vor allem,13826954
dass ich,13787613
es nicht,13745225
dass es,13666325
auf das,13568554
über den,13339897
sie die,13186971
nach der,13152872
ist das,13148391
ich mich,13110378
sich auf,12993042
sie nicht,12724784
für das,12560041
und sie,12511399
es sich,12310105
durch den,12285220
ist der,12268308
zu einem,12224168
wenn sie,12049203
gar nicht,12040280
sie in,11989381
zu sein,11980152
als er,11917742
wie die,11805209
die in,11649585
nicht zu,11589177
ist ein,11581946
zu einer,11566303
wie ein,11516268
ein paar,11458740
von dem,11381867
sich nicht,11369523
habe ich,11321729
den Kopf,11230403
aber auch,11216334
als die,11054280
noch nicht,10977922
bei den,10953753
wenn ich,10899701
gibt es,10873587
als sie,10752503
vor dem,10670963
wenn er,10529929
für eine,10509763
war es,10372463
und dann,9982393
sich mit,9935842
auch nicht,9896444
und er,9856063
dass der,9617626
auch in,9545324
er die,9542163
von einem,9506104
sind die,9384144
aus den,9344287
und mit,9301567
das war,9256121
in das,9228839
die beiden,9224721
er war,9192235
nicht so,9152728
ist eine,9099979
wenn man,9019581
sich der,8985802
und dem,8982313
und es,8946676
wie sie,8848262
ich nicht,8820211
in dieser,8791309
sie mit,8767338
daß die,8623822
sich um,8609587
als ich,8525303
ich weiß,8512420
auf eine,8500939
hatte er,8499656
wenn die,8477804
er hatte,8394812
auf und,8346207
nicht in,8301589
um den,8271985
durch das,8200642
aber ich,8163051
wir uns,8126526
sich zu,8101345
in seinem,8062547
sich an,8038546
wenn es,8038435
ist nicht,8021045
und sich,7993110
mehr als,7981570
sie zu,7911725
aber nicht,7890121
die Augen,7881767
über das,7869249
immer wieder,7824664
und ein,7806059
gegen die,7732626
zu können,7695635
zwischen den,7664869
und zu,7562693
immer noch,7553077
hast du,7540296
sagte er,7498199
und auch,7480434
in seiner,7422524
vor der,7369625
und so,7360266
und eine,7313933
und nicht,7295754
zu tun,7270936
von einer,7260774
wie es,7202358
die von,7153107
für einen,7118498
wie er,7118127
hatte sie,7116474
zu machen,7091577
der sich,7084624
sie das,7075385
zu haben,7065731
nur noch,7037162
sie auf,6997766
er ist,6978196
war ein,6976599
nur die,6956601
es gibt,6955748
sie den,6914456
und damit,6860313
als auch,6834750
zu sehen,6791341
sie war,6690015
er in,6675687
er nicht,6648087
auch der,6586605
unter dem,6562486
noch einmal,6546614
in eine,6534434
zu dem,6521614
die Frage,6515520
zu werden,6503425
werden kann,6482152
sich das,6472184
ein wenig,6463107
nicht die,6423246
die sie,6401198
an dem,6340784
daß er,6298260
ich kann,6282133
kann man,6279136
nur ein,6273457
was ich,6266941
