ngram,freq
I do not,46206977
I did not,21939422
out of the,20063903
he did not,19931164
one of the,18266625
do not know,17628974
I can not,17119719
she did not,16216600
it was a,14263199
you do not,14213483
I 'm not,13641844
in front of,13623085
not want to,13275107
it was not,13186057
there was a,12587449
did not know,10693819
did not want,9998494
he could not,9948224
I could not,9749281
there was no,9618991
she could not,9317566
was going to,9216368
back to the,9141125
the rest of,8899600
he was not,8885847
do not want,8811898
for a moment,8554605
be able to,7936798
it would be,7865022
that he was,7807077
it 's not,7796834
I want to,7785752
side of the,7757189
a lot of,7680288
it was the,7664008
it 's a,7616723
the back of,7539204
to be a,7411809
do not you,7349531
she was not,7282270
what do you,7196057
but it was,7172563
the end of,7069230
do not think,6993882
as soon as,6974659
going to be,6971294
a couple of,6826769
the first time,6513065
shook his head,6509953
he had not,6494091
not going to,6413926
did not have,6386698
you can not,6384227
end of the,6236457
I was not,6216377
I 'm sorry,6156318
I 'm going,6153113
do not have,6076891
"him , and",5991217
that it was,5937346
that he had,5875522
you want to,5873032
do you think,5769700
that she was,5766644
would not be,5733959
I will not,5718201
not know what,5633152
I have to,5597522
it had been,5597231
she had not,5537008
and it was,5470700
he was a,5455815
had not been,5449387
to do with,5397246
he had been,5377980
as if he,5363008
it did not,5164086
the fact that,5156891
not have to,5139310
on the other,5048266
away from the,5033984
I ' m,5019840
some of the,4983578
that 's what,4964964
as well as,4944136
he 'd been,4923293
I would not,4876559
shook her head,4873982
I 'll be,4858554
"it , and",4822195
part of the,4792553
he wanted to,4780419
I 'm sure,4763259
"her , and",4756959
would have been,4725020
I wanted to,4722747
he had to,4705267
you did not,4701293
I 've been,4684963
we do not,4673101
what are you,4658929
the middle of,4654413
rest of the,4621066
front of the,4580142
the edge of,4570611
I have not,4534984
a long time,4526093
in the middle,4485154
would not have,4475173
at the same,4467857
I had to,4448834
it is not,4447292
and he was,4430648
up to the,4417754
"well , I",4413268
he would not,4404112
the sound of,4397663
on the floor,4384128
you 're not,4382702
she 'd been,4362171
will not be,4316291
for the first,4312257
there 's a,4288543
was not a,4283899
the top of,4243051
I need to,4230043
"me , and",4188571
it ' s,4188332
in the world,4185959
out of his,4185777
she wanted to,4128126
in the morning,4123745
do you know,4120511
the same time,4065267
and I 'm,4045186
one of them,4025666
seemed to be,4025445
as if she,4008547
she had been,3993648
she had to,3988168
the side of,3985443
but he was,3952731
that she had,3946222
they did not,3937605
had to be,3929778
for a while,3922399
most of the,3917483
I 've got,3885949
by the time,3843736
as long as,3823776
the other side,3808990
you have to,3771661
to go to,3758254
for a few,3736205
was about to,3731962
to look at,3721794
he had a,3710810
I think I,3710435
a few minutes,3702568
"no , I",3692788
out of her,3681305
was in the,3681152
of the room,3673268
I have a,3670101
to talk to,3667688
do you want,3647016
"yes , I",3644366
at the end,3606183
and she was,3577741
as much as,3555772
to have a,3494156
on the table,3493579
was not the,3484611
she would not,3483450
edge of the,3477361
but I 'm,3458723
had been a,3458541
he does not,3452023
there 's no,3441777
to be the,3433000
looked at the,3426204
more than a,3417367
can not be,3406639
it does not,3398823
"it , but",3391755
when he was,3390172
I had not,3363667
could not help,3355366
he would have,3350193
but it 's,3304777
over to the,3303815
you will not,3296147
in the air,3287992
but I do,3272886
of the house,3271718
it 's the,3268600
he looked at,3266001
"him , but",3260162
could not be,3251682
she was a,3238174
but there was,3224493
that I was,3224094
as far as,3219967
to see the,3208484
a deep breath,3205754
down to the,3174884
want to be,3161535
when I was,3146301
that 's the,3141195
down on the,3120801
the door and,3118610
want you to,3096529
I know you,3078003
was not sure,3075285
top of the,3061862
the front door,3050096
the two of,3040505
we can not,3032019
"said , and",3028462
and I was,3018015
there is no,3011416
but she was,3001279
for a long,3001263
one of those,3000086
would have to,2999281
get out of,2996879
for him to,2988144
went to the,2985700
not know how,2972187
and there was,2971434
he ' d,2970593
if he had,2968354
back of the,2950761
back into the,2948143
if he was,2947524
in order to,2943743
if you do,2942892
up and down,2929344
to make a,2926020
looked at her,2917869
must have been,2916306
all the time,2914263
on the ground,2896352
to see you,2882207
take care of,2881646
"me , I",2870420
a pair of,2868976
it 's just,2864576
did not think,2857415
all the way,2853307
on his face,2850657
if it was,2850633
you 're a,2848600
I am not,2827994
did not even,2827143
we need to,2822359
would be a,2817858
in the same,2815741
the old man,2812270
on top of,2807848
that 's not,2797331
"her , but",2793916
I 'm a,2791607
have to be,2788080
was not going,2781673
that 's all,2773943
for me to,2772168
him in the,2771383
that was the,2769728
middle of the,2757254
he was going,2756641
I love you,2756141
you need to,2748803
why do not,2746557
was one of,2746495
that had been,2746076
to the ground,2742178
there is a,2731642
up at the,2726890
"them , and",2725985
they do not,2725631
a bit of,2721672
it is a,2720300
up in the,2716725
go to the,2716386
you know what,2698155
to make sure,2682503
that he would,2678829
I want you,2676418
to the door,2665872
I would have,2660651
I told you,2644129
and I 'll,2642053
there was nothing,2637961
it would not,2633978
the one who,2631667
to tell you,2629691
we have to,2629629
do not worry,2629260
do you mean,2609694
that 's why,2607409
you 're going,2606899
I think you,2597659
had no idea,2595785
