ngram,freq
one of the,66464125
I do not,63663473
as well as,52977493
in order to,37668834
the United States,36534398
out of the,35937786
part of the,33575003
I did not,31889018
the end of,30615235
he did not,27138700
do not know,25865707
the fact that,25529166
some of the,25402042
there is a,24779276
it was a,24637129
you do not,24510766
I can not,23715906
the use of,23596976
be able to,23108040
to be a,23060505
it is not,23033876
there is no,22929461
the number of,22773065
end of the,22544916
there was a,22212152
it was not,21990620
a number of,21769223
on the other,21671605
in terms of,20849457
can not be,20817506
in front of,20772901
at the same,19959187
not want to,19755481
she did not,19055690
the rest of,18877700
the same time,18706305
a lot of,18338349
it is a,17107642
there was no,17061825
it would be,16955017
I 'm not,16914486
side of the,16514555
back to the,16370886
"however , the",16311123
most of the,15957790
at the end,15957257
as a result,15880529
at the time,15574295
according to the,15348021
in the United,15173646
based on the,15145562
did not know,15024775
in which the,14770715
in the same,14673204
the case of,14579348
I could not,14563470
that he was,14405101
do not have,14148057
the development of,14106055
it was the,14092986
in the world,13980364
of the world,13863753
that it was,13771212
did not want,13705784
such as the,13688388
the other hand,13648414
that it is,13541745
may not be,13461765
this is the,13431116
to be the,13345154
do not want,13328767
you want to,13277764
the first time,13231896
in the case,13217045
the presence of,13023890
it 's a,12962886
of the most,12937021
because of the,12903508
he could not,12853368
was going to,12851681
this is a,12666029
it is the,12628836
in the first,12591982
we do not,12557719
as soon as,12492028
and in the,12475384
he was not,12392466
you can not,12370930
I want to,12271948
in addition to,12155669
due to the,12082938
it 's not,12005713
a couple of,11601331
but it was,11580228
would have been,11544528
it does not,11519169
did not have,11450849
that he had,11447521
the role of,11404512
all of the,11369247
is not a,11192982
for the first,11094156
to do with,11072521
would not be,11060275
going to be,10962038
rest of the,10942699
she could not,10580485
to have a,10578054
the back of,10530950
with respect to,10530221
and it was,10520317
need to be,10515949
they do not,10457364
for a moment,10368378
will not be,10294360
a variety of,10272503
members of the,10186536
many of the,10153195
away from the,10058948
what do you,10026306
as long as,10024232
a series of,9997843
do not think,9988228
he was a,9982585
"him , and",9929420
"it , and",9874898
up to the,9861331
the importance of,9829524
well as the,9814091
I was not,9682169
not have to,9677184
in this case,9673253
the form of,9655531
the nature of,9630665
in other words,9620856
a result of,9577271
can be used,9570900
have to be,9528523
the time of,9524233
and it is,9448741
the middle of,9416928
the amount of,9386812
the idea of,9324289
in the middle,9261168
the name of,9195367
that there is,9191735
had to be,9144145
the value of,9121968
the basis of,9105005
not going to,9062122
it can be,9039110
the top of,9033895
he had been,9021068
it ' s,9014783
to make a,9002150
this is not,8980396
but it is,8959652
do not you,8931775
is one of,8925958
the beginning of,8891788
the process of,8875748
you need to,8734390
in relation to,8711160
be used to,8682010
she was not,8636072
as much as,8611750
it did not,8590244
do you think,8589066
that can be,8567437
more than a,8553975
as part of,8472853
they did not,8467712
had not been,8336351
we need to,8333891
it has been,8301088
in the early,8229099
you have to,8218427
it had been,8215046
the University of,8185610
that she was,8140608
we can not,8135630
in this chapter,8130981
of the first,8124331
not know what,8077455
he had not,8037978
is to be,8034405
front of the,7980042
the context of,7950229
I will not,7937296
it will be,7935755
as far as,7930513
it may be,7909000
is that the,7888891
a long time,7881472
in the past,7874893
it is important,7863200
the right to,7863037
of the same,7860260
I had to,7841334
was not a,7837062
"example , the",7825792
would not have,7815392
what is the,7793918
the concept of,7774484
I have to,7747215
to go to,7725851
the effect of,7711487
is not the,7710485
of the United,7673045
I 'm going,7647697
the most important,7608106
I wanted to,7596788
nature of the,7571174
could not be,7557389
should not be,7539185
top of the,7527342
was in the,7505071
to make the,7496981
a matter of,7472839
by the time,7470531
of the two,7443832
I ' m,7437686
the purpose of,7415096
a set of,7389859
in the form,7386046
use of the,7374584
the course of,7368539
in the morning,7367763
one of them,7338553
to see the,7334854
the level of,7312175
on the basis,7294681
that of the,7292414
was one of,7283773
the ability to,7274208
of all the,7230702
in accordance with,7211980
each of the,7206935
Parallel Bible Halseth,7195753
Oxford University Press,7165142
All Rights Reserved,7150401
and he was,7059067
to have been,7013213
"me , and",7009538
the effects of,6994110
I would not,6986159
the other side,6969143
a sense of,6949414
whole or in,6944801
shook his head,6941299
in whole or,6933191
the edge of,6909561
if you are,6889588
and so on,6873353
or in part,6872561
I 'm sorry,6855540
"them , and",6843833
the absence of,6841623
to do so,6838242
parts of the,6831342
so that the,6818114
a part of,6816333
there 's a,6809340
of the other,6807348
the history of,6767228
look at the,6730222
he does not,6725967
would have to,6718785
the power of,6716913
between the two,6708264
that 's what,6696449
if you do,6683296
the work of,6674516
it is also,6669040
the relationship between,6667742
related to the,6637581
is important to,6636252
the need for,6622334
that they are,6611132
he wanted to,6600831
I have not,6599685
go to the,6586347
as shown in,6581903
that I was,6570183
would be a,6561333
as if he,6551917
when he was,6549796
that they were,6527159
is based on,6525941
when I was,6525361
he had to,6519056
seemed to be,6518576
to deal with,6507267
not be copied,6486455
shown in Figure,6461906
his or her,6453093
of the following,6452147
as it is,6451404
member of the,6436106
part of a,6408211
to look at,6405548
the side of,6404941
the size of,6398337
a group of,6392222
the result of,6384230
it should be,6375856
in the context,6375746
in the following,6359658
"copied , scanned",6353529
is in the,6309134
suppressed from the,6277589
Due to electronic,6277407
on the floor,6266687
"duplicated , in",6259295
and the other,6258181
to electronic rights,6254568
"scanned , or",6253814
may be suppressed,6251271
some third party,6249443
was not the,6243113
you did not,6230558
Cambridge University Press,6223394
the possibility of,6221845
in such a,6212039
for a few,6203992
be suppressed from,6189021
third party content,6187805
she had not,6182548
content may be,6179613
to be in,6177348
any of the,6166663
party content may,6141325
on the ground,6128488
"her , and",6095615
he would not,6094909
and that the,6074673
much of the,6072459
"rights , some",6064600
I 've been,6059327
a kind of,6058222
we have to,6052794
was able to,6038115
likely to be,6035425
needs to be,6028282
from the eBook,6023081
want to be,6022902
the eBook and,6015620
the sound of,5984513
up in the,5962379
would like to,5956932
for a while,5954043
to say that,5935385
as in the,5913578
the majority of,5895742
they are not,5894874
history of the,5883377
referred to as,5872054
edge of the,5871691
the impact of,5863493
if it is,5862237
you 're not,5860470
not to be,5855124
the existence of,5854122
in this way,5841293
that she had,5830921
I am not,5827094
understanding of the,5817462
down to the,5817057
view of the,5814012
it is possible,5798726
"however , it",5794539
he had a,5792728
"well , I",5766784
associated with the,5766003
that there was,5763426
I 'm sure,5760472
value of the,5750099
had been a,5747436
the kind of,5747064
middle of the,5742804
if you 're,5738658
out of his,5732388
but he was,5712400
in spite of,5706698
the face of,5695104
not have a,5687256
to ensure that,5684916
what are you,5681082
seems to be,5673191
in a way,5668628
I 'll be,5665462
you have a,5665398
the need to,5649533
at a time,5648073
and I was,5633008
you will not,5621332
has to be,5618634
the same way,5603698
in response to,5584093
I have a,5558161
found in the,5556564
of the day,5542736
on top of,5541481
the question of,5535676
a few minutes,5535412
the center of,5533215
to be able,5513775
more likely to,5497628
that had been,5490142
I need to,5479117
"it , but",5463210
the same as,5461354
more than one,5460413
for a long,5444425
can also be,5441681
it 's the,5441327
this was the,5440935
in the end,5436605
do you know,5433207
of the house,5433110
in the future,5416020
that he would,5408697
depending on the,5399083
"and , in",5398761
to make sure,5398710
of the time,5397493
in the next,5397125
the lack of,5394388
he 'd been,5390138
but it 's,5388170
the results of,5381713
she had been,5380249
point of view,5362077
the bottom of,5358782
all the time,5349420
was the first,5346388
half of the,5345926
the cost of,5326670
and I 'm,5317130
a great deal,5308201
must have been,5300128
terms of the,5290654
the age of,5277397
percent of the,5269165
used in the,5268568
of the city,5267191
if you have,5265186
in the last,5261513
the quality of,5261173
to the other,5260156
one of his,5256904
fact that the,5251900
is the most,5241807
it to the,5221749
he would have,5209666
in the way,5194788
one of those,5188841
of the people,5184314
to get the,5179575
a member of,5176144
the risk of,5176069
was about to,5168603
an example of,5163884
there 's no,5163707
with regard to,5158841
went to the,5152494
in the air,5152016
in the process,5148824
to create a,5146907
to use the,5143932
the point of,5143311
of the new,5134554
analysis of the,5130033
there are no,5125652
"Washington , DC",5106652
shook her head,5102581
in the field,5101966
to talk to,5085659
more and more,5074551
and there was,5073900
who had been,5064678
close to the,5063001
is going to,5062488
if you want,5060280
been able to,5058271
at the beginning,5050508
the direction of,5047142
that is not,5044967
to take a,5002101
be found in,4995747
they were not,4993399
known as the,4991577
to get a,4986493
a piece of,4982259
I think I,4977847
that there are,4976006
I had not,4971759
in New York,4962376
that would be,4960143
to do it,4959504
a range of,4946959
for me to,4943782
was to be,4938326
it must be,4937875
of his own,4937774
the creation of,4928758
and to the,4919023
and do not,4916980
in this book,4913896
a few days,4907073
she wanted to,4903936
all the way,4901758
"time , and",4894400
as a whole,4894179
of the country,4888291
a way to,4880910
and all the,4877998
whether or not,4874181
a pair of,4862291
do you want,4837488
there are many,4820134
over to the,4818035
what to do,4817353
by means of,4814111
can be seen,4813928
at the top,4811334
and on the,4808969
"yes , I",4807128
out in the,4806844
at that time,4795612
I had a,4792518
the meaning of,4787552
the next day,4785152
the influence of,4782761
to take the,4778637
the study of,4760086
the difference between,4757302
in the face,4755515
a way that,4754469
a bit of,4753782
that 's the,4752714
of the room,4749420
the one who,4743855
of the state,4742957
of the American,4736889
she had to,4734805
of this book,4732755
as it was,4732611
to each other,4722659
I 've got,4721388
and of the,4719105
that I had,4717506
take care of,4716357
does not have,4714636
at this point,4705585
may have been,4703621
on the table,4701587
per cent of,4700480
in the late,4698672
back of the,4698618
men and women,4698444
that does not,4686331
it in the,4675710
can be found,4674106
she was a,4672889
but there was,4669751
might have been,4665024
there is an,4661854
which is the,4645837
is used to,4637959
that in the,4629040
has not been,4625089
the formation of,4623367
that you are,4620947
not seem to,4620536
to make it,4618101
but I do,4618056
changes in the,4615078
"no , I",4608423
if there is,4604137
and she was,4600048
in patients with,4595501
not know how,4593713
you ' re,4591466
the part of,4590876
back into the,4583362
"Thus , the",4582704
in the second,4578424
she 'd been,4576246
and did not,4574833
the world 's,4570509
you are not,4569499
this was a,4568516
to find out,4568277
the idea that,4558828
you will be,4555240
as if she,4553901
beginning of the,4553370
have been a,4547942
he or she,4542478
the head of,4533917
the heart of,4533099
up and down,4517714
of this section,4515667
do not need,4510109
involved in the,4509060
the type of,4503414
along with the,4501631
are going to,4500259
the opportunity to,4499543
to find a,4496731
in one of,4476389
to find the,4468126
because it is,4467153
for him to,4462243
that was the,4458266
seem to be,4440679
it would not,4438891
I would have,4431101
not need to,4430017
I have been,4427123
we did not,4424450
more or less,4417568
to keep the,4415644
"time , the",4414902
get out of,4411262
"him , but",4406322
him in the,4398909
not have the,4396151
the state of,4391642
would be the,4384920
to the right,4382604
I was a,4381145
looked at the,4379439
how do you,4379262
the subject of,4368426
the way to,4360934
and it 's,4359409
of their own,4355757
way to the,4354105
the most common,4353471
in some cases,4353385
to be an,4351219
not have been,4348503
"me , I",4347694
there will be,4344923
out of her,4340836
attention to the,4336309
to determine the,4325440
so as to,4318004
the notion of,4307821
down on the,4305527
or at least,4299972
role in the,4296688
development of the,4295230
if it was,4282637
but I 'm,4280300
the problem of,4276705
on the one,4273632
"that , in",4272617
portion of the,4269910
at least one,4263167
result of the,4252255
to the ground,4251010
if he had,4250831
New York Times,4245687
of this chapter,4242371
the death of,4237369
want you to,4234849
that he could,4231099
size of the,4223145
a form of,4218331
which can be,4211817
he was the,4204088
on the way,4199810
to the next,4196011
go back to,4194441
it might be,4192983
know how to,4191709
and at the,4189264
as to the,4189176
was on the,4186400
only a few,4180407
to understand the,4179818
on to the,4161850
"and , as",4157917
could not have,4157288
one or more,4148002
that is the,4143019
she would not,4127446
and I will,4121471
there are two,4118533
to see if,4116357
no matter how,4108600
this type of,4107640
there would be,4093537
of the body,4090286
and I have,4082187
time of the,4078201
addition to the,4076428
a list of,4073393
the story of,4072072
I think it,4068075
he was in,4060243
that you can,4058715
the loss of,4055241
could not help,4054786
the New York,4048154
name of the,4039158
not in the,4037444
it could be,4036783
it 's just,4036653
some kind of,4031473
the rate of,4029989
