ngram,freq
il y a,10203393
et de la,6915867
d ' un,6746866
d ' une,6284954
que l' on,5997475
à la fois,4136859
de ne pas,4092296
et de l',3963386
ce que je,3909311
ne sont pas,3801967
tout le monde,3720257
de la vie,3517281
à partir de,3463586
il y avait,3315797
ce qui est,3303274
de plus en,3269011
plus en plus,3242064
je ne sais,3133429
de l' autre,3044320
je me suis,2999343
que je ne,2963614
l' un des,2803606
ce que tu,2726358
de la ville,2686905
en même temps,2585087
en train de,2524796
le temps de,2492518
de l' homme,2481212
la première fois,2471390
à la fin,2410415
je ne suis,2400784
et à la,2329260
la fin de,2326344
point de vue,2278619
tout à fait,2273749
de tous les,2269062
la plupart des,2263562
je l' ai,2263526
à l' intérieur,2258999
un peu plus,2248289
dans le cadre,2216650
que ce soit,2215948
la mise en,2207050
tout ce qui,2162041
ne sais pas,2129061
ce que vous,2058283
si l' on,2000608
de la société,1999608
en tant que,1970867
d' une voix,1922019
à l' autre,1919114
une sorte de,1884790
un peu de,1857907
pour ne pas,1847241
ne suis pas,1843918
tout de suite,1834042
de l' État,1813101
plus ou moins,1809700
dans le monde,1797960
au cours de,1797733
tout ce que,1768775
que je suis,1765497
de ce que,1741429
de l' eau,1735211
tous les jours,1727337
à ce que,1715339
je ne peux,1701690
ne peut pas,1700085
de ce qui,1691213
la fin du,1684795
l' une des,1677332
ce qui se,1673056
en cas de,1665176
on ne peut,1647561
le nom de,1633174
pour la première,1617957
à cause de,1615762
de la maison,1581178
"moi , je",1570359
se mit à,1568919
que nous avons,1562076
à côté de,1558355
de toutes les,1556125
au lieu de,1527585
la jeune femme,1520208
en tout cas,1517198
à l' heure,1513979
à l' époque,1513639
le droit de,1500621
à la maison,1499400
au sein de,1497785
où l' on,1497346
de la même,1484589
de l' histoire,1465790
quelque chose de,1463636
ce que nous,1459557
par rapport à,1454745
de la loi,1454067
et à l',1430732
dans le cas,1417152
l ' on,1412225
de la République,1409968
d' autre part,1403491
de la famille,1398925
au moment où,1394201
mais je ne,1391562
de la nature,1389177
il faut que,1384977
d' autant plus,1368204
ce que l',1367359
un coup de,1359823
peu à peu,1356934
de la guerre,1354627
en matière de,1351198
au milieu de,1346331
ne peux pas,1345916
la mort de,1336977
tout de même,1325044
dans ce cas,1323485
le fait que,1317453
je crois que,1311144
dans les années,1309009
que vous avez,1306819
que je me,1306482
l' ensemble des,1297431
l' idée de,1284714
à son tour,1277563
de la France,1270691
le plus souvent,1263580
d ' autres,1263203
d' un air,1257193
dans tous les,1254101
tous les deux,1252358
de sa vie,1250323
coup d' œil,1248527
je ne veux,1237658
à tous les,1230032
de la population,1224298
de la part,1223141
et d' une,1220243
lors de la,1218376
pas du tout,1216689
l' histoire de,1205054
l ' autre,1201395
y a des,1198430
à l' égard,1193905
d' un ton,1191904
la question de,1191331
au bout de,1186316
je ne me,1185749
l' un de,1183359
de l' entreprise,1181086
d' une part,1178878
que tu as,1173691
et je ne,1171905
dans la mesure,1170025
de l' article,1163093
sur le plan,1162847
la porte de,1157449
de la mort,1131439
de la rue,1130960
en ce qui,1127251
sur la table,1123187
y a un,1118079
un coup d',1106199
ne veux pas,1105489
ce sont les,1102614
à la main,1101989
dans la salle,1100508
d' entre eux,1097921
de toute façon,1094238
de ceux qui,1085986
dans la vie,1085029
à la suite,1084691
de l' enfant,1078384
tout à coup,1076218
à propos de,1076043
ce qui concerne,1074061
à ce moment,1073682
d ' être,1072385
de l' ordre,1072209
ne peut être,1067869
une partie de,1065197
de son père,1060317
a pas de,1056164
la jeune fille,1053338
de la main,1052340
partie de la,1050335
l' absence de,1049783
à peu près,1047381
dans le même,1046774
et d' un,1045972
dans ses bras,1045212
le cadre de,1044911
à l' aide,1044731
le point de,1040868
entre les deux,1040557
je sais que,1038898
du mal à,1034989
la mesure où,1034474
côté de la,1032588
à l' origine,1031604
mise en œuvre,1029892
la notion de,1023868
de l' année,1022925
mais il ne,1021024
par la suite,1017923
à la porte,1017647
de l' art,1013773
y a une,1012245
celui de la,1012220
de la nuit,1010865
le nombre de,1009315
un de ses,1008754
il a été,1006703
l ' homme,1006425
et de ses,1005439
il ne faut,1004764
je lui ai,1002181
ou de la,996757
d' un coup,991398
en raison de,988851
d' un autre,988246
en fonction de,986339
dans le domaine,986252
la vie de,983098
de la porte,983013
la salle de,982972
le long de,981826
l' autre côté,980034
au moment de,964160
l' occasion de,963095
à la recherche,956384
que les autres,950342
parce que je,946334
au fond de,945974
de sa mère,941076
sur le sol,940564
l' on peut,939446
ce sont des,936144
il est vrai,935504
et je me,934224
et de son,933728
le cas de,931389
de l' argent,929632
de la terre,929603
ce genre de,926228
près de la,925195
celle de la,923412
pas non plus,921623
de la région,920314
à ne pas,917717
à travers les,916398
un certain nombre,910930
le plus grand,909425
la tête de,909392
mise en place,908816
ne faut pas,902129
en ce moment,897953
à l' école,897620
ne pouvait pas,893860
dans la chambre,885188
dans la rue,884349
autour de la,882165
fin de la,874242
d' une manière,874038
l' objet d',870870
à la vie,864814
la plus grande,862449
de la situation,861536
l' intérieur de,855018
ainsi que les,852815
la loi du,849502
comme si elle,848370
la présence de,847777
à la tête,845793
de la tête,844629
de la première,841711
à l' aise,840812
je pense que,840738
la façon dont,839820
président de la,839080
le jeune homme,837644
"et , en",835830
la tête et,834274
que je vous,832398
ou d' une,825132
ce que le,824845
de l' esprit,822209
et l' on,822057
il y en,821806
d' un homme,819160
à quel point,815805
au cours des,813826
ce que les,810304
de l' Union,805837
je ne l',805571
et que je,803098
tout au long,803015
tout d' abord,800849
tous ceux qui,798204
peu de temps,795630
la suite de,793737
qui a été,791313
la possibilité de,790295
tout à l',790191
ce qui lui,789960
dans la maison,789657
de l' action,789236
le reste de,788712
histoire de la,786916
mais il est,785326
de la mer,785000
en quelque sorte,784143
droits de l',783386
à travers la,781597
de l' Église,780293
ne va pas,779769
et l' autre,779434
ce qui ne,779300
"que , dans",777097
des droits de,775490
deux ou trois,773635
de l' amour,773541
d' une autre,772922
à partir du,769397
ne doit pas,768146
l' ensemble de,765703
de la salle,764478
l' objet de,763053
dans les yeux,762277
l' intention de,762088
de la politique,761525
de la pièce,760892
en dehors de,759468
au nom de,759191
l ' un,759017
au milieu des,754930
un de ces,749750
ou d' un,746940
à l' occasion,746677
au cœur de,744353
le sens de,744085
l' état de,743612
du lundi au,742312
pas à la,742156
de la pensée,740984
de l' époque,739595
ce qui a,738943
nous l' avons,736451
la maison de,734960
et d' autres,734733
ce que la,733898
de la personne,733761
au niveau de,729824
se tourna vers,728296
face à la,728067
de l' école,724928
la part de,722845
ne voulait pas,720919
de la femme,720003
qui se passe,719214
la force de,717994
la manière dont,717103
y en a,714820
pas de la,714248
de la langue,714118
de la jeune,713912
à toutes les,713185
que tu ne,711164
en face de,710144
à l' idée,710126
au début du,710122
la voix de,709375
de le faire,708361
et de sa,707940
à travers le,705308
ce qui était,705252
milieu de la,705094
"non , je",703533
la ville de,701663
autour de lui,701591
la direction de,700181
que tu es,699892
dans le temps,699495
que nous sommes,699097
y a de,697377
de la culture,697293
du point de,695745
de l' Europe,694754
il est possible,694452
que vous ne,693983
l' âge de,693343
secoua la tête,692326
la même chose,690077
de même que,687165
le visage de,684726
le fait de,684379
au point de,684342
de plus de,684041
de la chambre,682543
je ne pouvais,682133
l' un d',681807
que vous êtes,680820
en ce sens,679249
l' air de,678907
hocha la tête,678754
la place de,677112
je ne le,676104
il l' avait,675808
sur le point,674714
de l' espace,674639
dans la pièce,674371
à cette époque,673788
pas besoin de,673748
de temps en,672960
à d' autres,672765
la main de,672477
ne pas être,671768
la Cour de,670783
l' impression que,670605
l' ordre de,670243
avant de se,669322
quoi que ce,669313
de ma vie,669083
dans la région,667882
encore une fois,666401
ou de l',665448
la recherche de,665427
il ne se,664692
"oui , je",664574
de l' armée,663673
que tous les,662535
pour l' instant,662327
je me sens,662319
les yeux et,661742
une fois de,661194
en fin de,661158
et il est,660834
en direction de,659312
je vous ai,658728
d' un côté,658647
de temps à,658349
et que les,657665
dans la nuit,657280
sur la route,657275
"lui , il",657014
au bord de,656482
l ' histoire,655841
de l' île,654524
une série de,654112
le principe de,652828
il ne peut,652668
à l' extérieur,652318
de mettre en,652152
de la liberté,651365
certain nombre de,650945
un point de,650392
et les autres,649333
il ne pouvait,647187
ne serait pas,645082
de son côté,642994
ne l' avait,642648
l' on ne,642061
alors que les,641968
la qualité de,641761
l' idée d',641577
dans le sens,641344
temps en temps,641161
plus d' un,641102
l' origine de,641033
alors que le,640477
celle de l',640196
"et , à",640035
à la place,639823
la fin des,639789
en termes de,637712
d' une certaine,636892
de la musique,635796
la main sur,635732
que nous ne,634948
l' image de,634648
d' une grande,633254
dans toutes les,633167
en vue de,632271
qui ne sont,631810
et je suis,631794
et que le,631704
au début de,631428
du fait de,631383
Copyright Arvensa Editions,630843
de la communauté,630032
la base de,629905
à l' esprit,629612
le rôle de,629159
l' aide de,629003
il y eut,628726
de l' être,627548
prise en charge,627324
à ce sujet,626924
dans l' espace,626712
ceux qui ont,626581
l' impression d',626293
les yeux de,624653
au sujet de,624619
un homme qui,623906
de tout ce,622535
et il ne,621571
l' impression de,621264
à l' article,620244
ainsi que le,619812
mais il y,619797
je me souviens,618312
ne veut pas,617973
que je vais,617965
par la loi,616811
"qui , en",616568
ne pas avoir,616225
tandis que les,616092
salle de bains,613660
que je lui,613110
long de la,612749
je ne vous,612216
quant à la,611963
fois de plus,611440
cours de la,611220
nous nous sommes,610716
de la route,608571
et de l,608442
l' esprit de,607955
avec un sourire,607263
ce type de,604854
alors que la,604810
dans les deux,604394
sous la forme,602987
dans les pays,602627
à l' abri,602412
pour le moment,602265
de se faire,601541
les jours de,600964
au long de,600874
la loi de,599928
de la place,599102
plus d' une,598728
à ceux qui,598253
la prise de,597310
quelque chose d',597028
de la Cour,596942
dans sa chambre,594982
"là , il",593771
à l' étranger,592847
que je l',592814
bord de la,592158
je ne vois,591553
est à la,591085
tout le temps,590658
de l' économie,589898
chaque fois que,589772
de la réalité,589708
il me semble,589575
sur la base,589192
de son corps,588849
et que la,587683
dans l' eau,587190
tous les autres,586220
dans la cuisine,585802
au sein du,585642
le temps d',585590
du côté de,584500
dans la même,584485
à l' entrée,583221
à l' hôpital,583050
l' existence de,582323
l' égard de,582123
au bout d',581317
le début de,581093
qui l' avait,580630
d ' abord,580393
la peine de,579893
et dans les,579268
en cas d',578983
de l' environnement,578713
la nécessité de,577799
d' un geste,577786
de la journée,577162
la liste des,576400
d' un pas,576156
une de ses,575268
d' une façon,575231
sein de la,574966
en plus de,574690
à un autre,573962
l' homme qui,573570
je veux dire,573403
ce qui me,570978
pas le temps,570972
même temps que,570894
de la table,570519
à partir des,570500
ne crois pas,569541
rien d' autre,569369
sur le site,568060
celui de l',567514
l' une de,567109
à ce qui,566908
sous le nom,566614
sur le terrain,566495
l' idée que,565499
de la production,565063
si je ne,564721
et dans le,563647
en dépit de,563579
Arvensa Editions Page,563579
le jour où,563387
question de la,563003
pas ce que,562697
on l' a,560746
faut que je,560291
la création de,560127
quelque chose qui,559251
fin de l',557794
"qui , à",556374
plutôt que de,555647
d ' avoir,553923
sur le marché,553131
XIX e siècle,552975
les conditions de,550996
et que l',550967
l' Union européenne,550954
de la justice,550156
par rapport aux,549975
que je te,549906
ne sera pas,548190
il en est,548000
avec les autres,547846
l' existence d',547631
à l' écart,546891
la volonté de,546797
que d' autres,546539
qui l' a,545404
à partir d',544653
de l' existence,543661
sur ce point,543401
nous ne sommes,542753
ne soit pas,542230
ainsi que la,541810
partie de l',541782
de la recherche,541294
de l' âme,541293
à chaque fois,540211
de ce fait,539939
combien de temps,539728
dans l' histoire,539434
la prise en,538548
membres de la,538383
de ne plus,537991
d' un grand,536216
sur le dos,535881
pas à l',534874
de l' humanité,534862
je ne savais,533860
un des plus,533707
grand nombre de,533407
à voir avec,532304
à plusieurs reprises,531777
l ' eau,531628
on ne sait,531604
l ' air,530188
un grand nombre,529894
ans plus tard,529067
mais elle ne,528573
qui est le,527649
à la mort,526917
le développement de,525691
je suis un,525520
que tout le,525042
et à mesure,524737
de l' un,524712
que je le,524428
de l' information,523711
une de ces,522540
que de la,522342
de la police,522293
que dans les,522127
est vrai que,521149
dessus de la,520848
"et , dans",520633
ne fait pas,520623
de la santé,518961
le domaine de,518575
rien à voir,518563
de mon père,518408
le chef de,517043
d' un seul,516334
ne sait pas,515980
pour des raisons,515841
le jour de,514763
fur et à,514541
quelque chose à,514415
que l' homme,514087
de la fin,513180
tandis que le,512936
sur le côté,512486
de l' activité,512316
en faveur de,512178
grâce à la,511971
cause de la,511239
au fur et,510585
un peu d',510033
sur le lit,509837
la dernière fois,509757
je me demande,509609
l' endroit où,509496
à mesure que,509424
le regard de,509050
je viens de,508751
que je veux,508716
de la cuisine,508223
fait de la,508210
qui ne se,508025
les deux hommes,507986
à la même,507758
de la science,507395
se dirigea vers,506706
le but de,506497
pour ce qui,506073
"et , pour",505593
l ' article,505518
dans la ville,504782
ceux qui sont,503566
je vous en,503461
de ces deux,502768
il avait été,502195
de la cour,501186
ce qui nous,501122
la forme d',501103
ainsi que des,500959
et il se,500617
de l' état,500551
loin d' être,500454
de l' ensemble,500304
le cadre d',500258
toute l' année,499246
"qui , dans",498813
et il y,498327
je ne voulais,497813
lors de l',497796
au milieu du,497732
du mardi au,497599
au centre de,497470
de la grande,496616
de la vérité,496093
début de la,495624
heures du matin,495468
à un moment,495414
en fonction des,495328
la nature de,495062
en d' autres,494607
de l' auteur,493533
pour la plupart,493484
entre les mains,493027
au fil des,492939
et dans la,492656
nous ne pouvons,492607
que nous nous,492267
et tous les,492246
sous forme de,491781
dans les bras,491226
si tu veux,490931
et d' autre,490876
y a eu,490425
et non pas,490155
l' air d',490076
de l' organisation,490025
je l' avais,489945
dans d' autres,489382
dans le couloir,489256
de l' hôtel,487461
si vous voulez,487117
porte de la,486566
même si elle,486372
ou à la,485985
dans la société,485981
l' on a,485979
rapport à la,485911
le chemin de,485569
à l' exception,485465
même de la,485375
fait l' objet,485123
d' une femme,484759
ouvert du lundi,484726
que dans le,484433
de nos jours,484255
la majorité des,483904
je ne crois,483619
rien de plus,482952
un groupe de,482400
l' homme et,482338
bout de la,482044
l' importance de,481375
l' aide d',480999
dans le salon,480971
ce ne sont,480928
et de leur,480866
un d' eux,480266
dans la cour,479786
à l' image,479430
de l' éducation,478494
en passant par,478374
par le biais,478348
et il a,478187
que dans la,478025
le corps de,477047
les membres de,476991
est le plus,476648
ouvert tous les,476199
une forme de,475297
depuis le début,475289
haussa les épaules,474892
au service de,474876
ne pas se,474683
à sa place,474181
je ne comprends,473554
eu le temps,473550
la liberté de,473118
fond de la,472531
en mesure de,472511
le cœur de,472225
de la valeur,472048
"que , pour",471808
alors que je,471462
début des années,470844
si vous avez,470829
dans les rues,470482
"lui , et",469961
partir de la,469436
une sorte d',469392
l' habitude de,469345
au sein des,469167
de l' enseignement,469012
au samedi de,468572
avait l' air,468291
sur la terre,467888
objet d' une,467573
"et , comme",467473
autre côté de,467287
mettre en place,465811
en forme de,465807
l ' enfant,465208
moment de la,464828
l' effet de,464310
d ' ailleurs,464163
Cour de cassation,463811
à celle de,463802
elle ne pouvait,463339
sur la tête,463031
dans un coin,462814
un ensemble de,461798
"oui , mais",461676
un signe de,461442
les moyens de,461385
"pas , mais",460546
nom de la,460210
mal à l',460189
ne savait pas,460160
histoire de l',459204
dans le pays,459120
de la littérature,458855
de l' église,458427
de la petite,458283
de sa propre,457794
d' une telle,457549
de la création,457145
était en train,456890
la chambre de,456431
elle l' avait,455802
à cet égard,455758
est à l',455255
l ' État,455172
en l' air,454968
mis en place,454396
lors d' une,453724
de celui qui,453565
de l' air,453250
l ' amour,452576
l' expression de,452217
quelle que soit,452097
cœur de la,451696
sur son visage,451515
ce que ça,450842
"pas , je",450041
l' œuvre de,449585
de la voiture,449127
à l' arrière,449021
le droit d',448941
est en train,448198
de sorte que,447973
pendant ce temps,447846
ne peut plus,447595
ne fut pas,447321
la vie et,446422
le risque de,445697
d ' autre,445614
de l' expérience,445428
à la hauteur,445227
dans un premier,444745
à mettre en,444620
qui ont été,444492
l ' esprit,444422
dans le ciel,444420
de ce genre,444301
le pouvoir de,444258
le processus de,444095
ne voulais pas,444004
se met à,443953
dans un contexte,443877
la forme de,443618
mais il faut,443143
sous la direction,442990
qui se sont,442549
un peu trop,442304
de la philosophie,442057
de mise en,442046
à l' âge,441818
"là , je",441636
de la lumière,441545
la création d',441298
la recherche d',440892
la main et,440566
une dizaine de,439983
sur le chemin,438989
de l' administration,438886
à la question,438836
sur la place,438192
si elle avait,438083
est possible de,437873
par rapport au,437604
de son fils,437408
ce qui fait,437329
avec d' autres,435176
au bout du,434550
la mère de,433911
à ce point,433429
l' entrée de,432899
que tu veux,432806
point de départ,432745
"et , de",432737
autour d' elle,432446
y avait un,432253
de l' Etat,432079
il l' a,431877
parce que le,431521
à moins que,431190
ne comprends pas,430806
pour tous les,430797
la construction de,430689
la présence d',430615
un premier temps,430307
parce que les,430209
la porte du,430101
si bien que,430036
que les deux,430031
de la classe,429932
niveau de la,429694
la moitié de,429245
qui avait été,429103
pour ceux qui,428897
de ma mère,428754
en l' absence,428703
mettre en œuvre,428649
au cours du,428481
de la raison,428159
et de leurs,427925
elle a été,427827
à cet instant,427822
à ses côtés,427746
de son mari,427586
à la lumière,427558
quel que soit,427217
le long du,427100
de manière à,426800
dans le but,426502
l ' idée,426071
d' un certain,425719
en matière d',424919
au cas où,424271
d' un point,424114
aux yeux de,423892
je vais vous,423719
où il est,423500
à côté d',423378
je ne te,423004
tout va bien,421946
le père de,421317
à la manière,420880
pas le cas,420832
sens de la,420758
la porte d',420554
direction de la,420498
un système de,420457
du Code de,420264
"que , si",420006
compte de la,418793
sens de l',418784
à l' homme,418448
il est donc,418387
le taux de,417905
parce que la,417721
dans un autre,417643
à l' état,416609
de la formation,415719
que tu me,415673
l ' ensemble,415667
d' une nouvelle,415228
d' entre elles,414841
"Paris , Gallimard",414478
que personne ne,414399
la part des,413994
à la demande,413940
de l' œuvre,413528
de la mise,413244
l ' une,412886
il convient de,412703
la plupart du,411984
de tout le,411749
de la sécurité,411268
ne vois pas,410990
face à l',410814
la gestion des,410586
dans l' autre,410455
tu ne peux,410286
dans le contexte,410185
la valeur de,410004
sein de l',409952
de la communication,409895
de la mère,408908
que je peux,408837
prise en compte,408600
le coup de,407977
d' une main,407947
la lutte contre,407386
reste de la,407327
à celui de,407079
de la sorte,406968
un moyen de,406692
leva les yeux,406292
de la propriété,405756
ne l' ai,405585
sur le visage,405396
"pas , il",405052
la même manière,405045
qui permet de,404656
qui est en,404595
minutes plus tard,404442
tandis que la,404409
fois que je,404314
plupart du temps,404130
le plan de,403842
de l' Afrique,403755
du fait que,403681
de la forêt,403240
"et , par",403140
au milieu d',402938
toute la journée,402924
les yeux vers,402802
bout d' un,402710
que les hommes,402632
comme les autres,402613
la question du,402226
la durée de,401863
au sein d',401746
pour les autres,401276
de la paix,401013
l' on se,400771
de la religion,400730
d' être un,400484
la tête en,400270
de vue de,400122
y avait une,399759
l' ensemble du,399681
vers la porte,399238
la même façon,399174
cadre de la,399047
"moi , et",398951
"toi , tu",398679
jours plus tard,398617
au niveau des,398547
la théorie de,398499
la porte et,398424
de l' intérieur,398230
a l' air,398159
la date de,397825
l' homme de,397790
ne l' a,397788
l ' entreprise,397597
salle à manger,397433
de la nouvelle,397289
d' un petit,396954
ainsi que l',396811
l ' avait,396585
à l' inverse,396213
dans le jardin,396128
de sa femme,395976
elle ne se,395806
à l' échelle,395693
mais je suis,395301
besoin d' un,395296
à l' instar,394845
bien sûr que,394726
de la cité,394268
celle d' un,394196
à tout le,393617
tu l' as,393324
raison pour laquelle,393241
de savoir si,393170
de la scène,392788
de lui faire,392645
de l' équipe,392631
et de se,392588
par la fenêtre,392569
le choix de,392348
de ce dernier,392324
"cas , il",391997
mais il était,391617
la possibilité d',391287
prendre en compte,391232
je suis en,390609
ne savais pas,390394
l' intérieur du,390087
de sa famille,390024
de l' image,389994
l' évolution de,389407
"non , non",389374
que vous vous,389350
dans l' ordre,389137
il d' une,389131
mais aussi de,389030
a besoin de,388955
de la fonction,388914
de la conscience,388908
de la Constitution,388692
l ' ordre,388573
une des plus,388213
un homme de,388210
à la différence,387614
dont il est,387596
de faire un,387115
ils ne sont,386985
et le plus,386876
l' histoire du,386719
à l' eau,386657
une fois que,386538
à la surface,386319
des gens qui,386283
à l' oreille,386180
l' exercice de,386001
tous les cas,385927
et qui ne,385711
de l' énergie,385490
l' intérêt de,385276
de la foi,385011
de la qualité,384408
avant d' être,384112
bel et bien,384081
si vous êtes,384027
de façon à,383603
le contrôle de,383296
pas le droit,382692
à l' encontre,382255
dans l' air,382186
il est à,382127
toutes sortes de,381886
le reste du,381833
cours de l',381652
le champ de,381601
sur un ton,381131
de la zone,380771
d' une société,380720
le cas des,380408
l ' a,380320
mise en scène,380270
une nouvelle fois,380149
l' auteur de,379975
de la maladie,379919
de la période,379257
y a quelques,379252
"fois , il",378761
ce qui peut,378753
de la relation,378189
domaine de la,377994
à New York,377691
la protection de,377628
de faire des,377446
pour que je,377238
retour à la,377120
l' égard des,377078
de ses yeux,376905
du droit de,376634
à une autre,376569
dès lors que,376560
je ne puis,376372
de l' Empire,376284
de la procédure,376207
on peut dire,376160
d' autres termes,376155
qui lui est,376112
à l' université,376105
à long terme,375960
dans le champ,375756
de la question,375744
Conseil d' État,375434
le désir de,375361
de la force,375333
dans le secteur,375221
de la connaissance,375162
temps à autre,375117
dans un monde,375095
l ' objet,374853
à la première,374707
en premier lieu,374612
vous ne pouvez,374560
"et , d'",374470
même si je,374284
"mais , en",374236
pour cette raison,374053
y avait des,373734
pour que les,373262
l' un et,373007
à l' instant,372628
la capacité de,372430
les yeux sur,372058
l' art de,371931
l ' auteur,371499
"temps , il",371275
ou l' autre,371233
au niveau du,371211
d' une personne,371135
"elle , et",371033
le projet de,370977
fin des années,370786
la France et,370325
de son frère,370151
je le sais,370088
en l' occurrence,370016
pour que le,369909
ne sommes pas,369813
dans ses yeux,369601
grâce à l',369556
et celle de,369523
l' occasion d',369344
pour ainsi dire,369172
de la fenêtre,369098
de toute la,368630
et sur les,368412
autour de moi,368322
"pas , et",368308
de l' univers,368208
il se mit,368193
la perte de,368145
par le fait,367607
l ' espace,367590
le cas échéant,367407
l' honneur de,367057
de l' autorité,366889
de la crise,366708
la table de,365975
ne pense pas,365789
pas tout à,365478
de la présence,365237
intérieur de la,365118
à l' hôtel,364923
ministre de la,364788
sur le fait,364285
de la Commission,364110
de l' aide,363900
l' heure de,363872
de la Terre,363817
ensemble de la,363757
fonction de la,363690
la politique de,363672
de la rivière,363612
à l' endroit,363461
l' arrivée de,363419
première fois que,363372
de se rendre,363157
il ne lui,362968
des milliers de,362833
"plus , il",362702
Retour au texte,362554
tous les hommes,362543
place de la,362361
il suffit de,362310
dans le dos,361829
le lendemain matin,361769
ferma les yeux,361649
un jeune homme,361481
la demande de,361369
que les gens,361286
le fait d',360838
moment où il,360815
une espèce de,360553
dans un état,360537
de la plus,360480
de l' évolution,360424
du XIX e,360177
comme nous l',360138
l' absence d',359341
au pied de,359328
côté de l',359305
que la vie,359287
parce que tu,359268
ne peut se,359248
au lieu d',359246
alors que l',359124
après la mort,359112
dans l' esprit,359091
le travail de,359006
de sa fille,358668
de sa main,358441
de l' objet,358368
dans sa vie,357992
que celle de,357910
à l' œuvre,357884
en compagnie de,357682
delà de la,357434
centre de la,357228
que nous avions,356984
de la manière,356520
ce point de,356501
je ne vais,356177
le sentiment de,356020
de la Révolution,355880
à voix basse,355676
