ngram,freq
",_.",18811626
的_PRT,14364958
._.,7761379
"""_.",4209762
和_CONJ,2590006
是_VERB,2311289
在_ADP,2271074
了_PRT,1827883
)_.,1523204
(_.,1499905
对_ADP,972625
人_NOUN,944115
中_PRT,915731
有_VERB,865585
:_.,767069
年_NOUN,735297
与_CONJ,729557
一_NUM,722755
企业_NOUN,675941
;_.,648600
社会_NOUN,642705
中国_NOUN,625296
他_PRON,614052
经济_NOUN,598762
也_ADV,595787
等_PRT,587066
我_PRON,567042
不_ADV,563801
工作_NOUN,553848
上_PRT,543226
·_NOUN,509888
发展_NOUN,508814
为_VERB,486896
我们_PRON,476719
要_VERB,452385
管理_NOUN,438073
国家_NOUN,437657
问题_NOUN,407411
地_PRT,398048
可以_VERB,396809
为_ADP,390336
从_ADP,389172
就_ADV,388894
或_CONJ,386036
以_ADP,381759
到_VERB,378839
进行_VERB,363673
一个_ADV,363550
自己_PRON,359299
个_NUM,357978
你_PRON,353891
月_NOUN,342482
市场_NOUN,336366
其_PRON,333683
都_ADV,331658
%_NUM,324668
他们_PRON,323778
但_ADV,320455
及_CONJ,315214
这_DET,309311
文化_NOUN,308747
之_PRT,308215
与_ADP,306846
公司_NOUN,306595
所_PRT,305119
时_PRT,296106
这_PRON,293105
而_ADV,291934
服务_NOUN,291594
政府_NOUN,290463
会_VERB,289904
说_VERB,288098
第_NUM,282851
日_NOUN,281726
性_NOUN,279031
被_X,277442
教育_NOUN,275734
者_NOUN,274433
组织_NOUN,263176
研究_NOUN,261488
建设_NOUN,259538
?_.,257639
新_ADJ,255498
技术_NOUN,251336
关系_NOUN,245656
就是_ADV,243314
信息_NOUN,240387
生产_NOUN,235883
情况_NOUN,233927
方面_NOUN,230705
它_PRON,230679
制度_NOUN,228747
把_X,227284
产品_NOUN,225592
活动_NOUN,224540
下_PRT,223827
其他_DET,223403
由_ADP,221470
二_NUM,220606
来_PRT,220044
各_DET,219799
发展_VERB,217751
大_ADJ,217658
后_PRT,216821
一个_NUM,215680
三_NUM,214408
1_NUM,213140
使_VERB,211801
业_NOUN,210057
如果_CONJ,209689
通过_ADP,209486
美国_NOUN,208607
并_CONJ,208531
政策_NOUN,208476
投资_NOUN,207319
亿_NUM,206833
能_VERB,203840
--_.,203307
还_ADV,202923
这些_DET,202226
而_PRT,201354
种_NUM,199296
政治_NOUN,198013
年_NUM,196913
世界_NOUN,196838
项目_NOUN,196089
国际_NOUN,195017
性_ADJ,193654
资源_NOUN,193338
更_ADV,192882
基础_NOUN,190894
因为_ADP,188934
以及_CONJ,187586
环境_NOUN,184070
这个_DET,183604
产业_NOUN,182990
国_NOUN,182944
需要_VERB,182171
出_VERB,181700
法_NOUN,180756
能力_NOUN,180008
地区_NOUN,179358
单位_NOUN,179182
人员_NOUN,179121
应_VERB,178599
没有_VERB,178512
市_NOUN,178079
提供_VERB,177945
着_PRT,177055
2_NUM,176682
部门_NOUN,176119
包括_VERB,175326
过程_NOUN,174120
方式_NOUN,173781
主义_NOUN,173745
万_NUM,172547
价格_NOUN,171714
实现_VERB,170306
人民_NOUN,169510
机构_NOUN,169221
化_NOUN,168891
向_ADP,167914
生活_NOUN,167750
必须_VERB,167653
因此_ADV,167626
收入_NOUN,167603
成为_VERB,166986
认为_VERB,165550
于_ADP,165200
中_NOUN,164228
将_ADV,162739
影响_NOUN,162490
具有_VERB,161918
理论_NOUN,160408
最_ADV,159808
成本_NOUN,159292
目标_NOUN,157344
将_X,156908
价值_NOUN,155596
提高_VERB,155413
3_NUM,155341
建立_VERB,154970
来_VERB,154729
金融_NOUN,153504
时间_NOUN,153226
历史_NOUN,152582
区_NOUN,152390
很_ADV,152156
方法_NOUN,151591
对于_ADP,151043
城市_NOUN,150926
行为_NOUN,149965
可_VERB,149787
并_ADV,149340
2009_NOUN,148121
台湾_NOUN,146314
一些_NUM,145240
系统_NOUN,144716
存在_VERB,144519
做_VERB,144236
已经_ADV,143755
但是_ADV,143683
法律_NOUN,142963
改革_NOUN,141887
重要_ADJ,141834
没有_ADV,141039
元_NUM,140755
根据_ADP,140524
可能_VERB,139118
指_VERB,138871
加强_VERB,138506
作用_NOUN,137327
我国_NOUN,137239
由于_ADP,137007
思想_NOUN,136995
又_ADV,135733
科学_NOUN,134121
提出_VERB,132896
工业_NOUN,132786
主要_ADJ,132688
业务_NOUN,131773
如_ADV,131069
内容_NOUN,130100
水平_NOUN,130017
基本_ADJ,128569
于_VERB,128330
安全_NOUN,128158
体系_NOUN,126628
合作_NOUN,126555
则_ADV,126277
结构_NOUN,125717
计划_NOUN,125610
个人_NOUN,125524
农村_NOUN,125481
让_VERB,125423
标准_NOUN,125097
同时_ADV,124862
形成_VERB,124270
不同_ADJ,124193
发生_VERB,122929
关于_ADP,122877
责任_NOUN,121103
省_NOUN,121047
资本_NOUN,121004
内_PRT,120218
条件_NOUN,118907
或者_CONJ,118796
主要_ADV,118684
已_ADV,118505
党_NOUN,118471
能够_VERB,118297
领导_NOUN,118166
其中_NOUN,118057
资产_NOUN,117919
不能_ADV,117869
!_.,117766
经营_NOUN,117740
即_ADV,117552
中央_NOUN,117551
她_PRON,117534
人们_NOUN,116848
学生_NOUN,116776
利益_NOUN,116657
四_NUM,116445
相关_ADJ,115845
权_NOUN,115690
产生_VERB,115620
完成_VERB,115592
五_NUM,115552
会_NOUN,115519
开始_VERB,115156
该_DET,114573
银行_NOUN,114366
之间_PRT,114250
人类_NOUN,113902
也是_ADV,113699
风险_NOUN,113463
增加_VERB,113219
大学_NOUN,112553
看_VERB,112527
开展_VERB,112510
机制_NOUN,112129
资金_NOUN,111072
部_NOUN,110817
人口_NOUN,110780
这种_DET,110717
总_ADJ,110500
需求_NOUN,110473
行政_NOUN,110323
农业_NOUN,110013
地_NOUN,110012
应该_VERB,109765
知识_NOUN,109633
中心_NOUN,109625
十_NUM,109597
力_NOUN,109443
以_PRT,108994
创新_NOUN,108982
地方_NOUN,108901
比_ADP,107645
在_ADV,107206
所以_ADV,107175
质量_NOUN,105989
精神_NOUN,105938
为了_ADP,105784
得到_VERB,105721
实施_VERB,104413
解决_VERB,104228
不是_CONJ,103338
行业_NOUN,103219
4_NUM,103030
会议_NOUN,102950
公共_ADJ,102587
战略_NOUN,101737
不断_ADV,101413
两_NUM,101413
要求_VERB,100946
所有_DET,100580
因素_NOUN,100279
去_VERB,100137
量_NOUN,99319
两岸_NOUN,99079
出现_VERB,98929
会计_NOUN,98914
报告_NOUN,97817
增长_VERB,97018
用_VERB,96991
全_DET,96820
获得_VERB,96777
推进_VERB,96765
本_DET,96728
数据_NOUN,96475
旅游_NOUN,96468
学_NOUN,95886
用_ADP,95826
民族_NOUN,95685
当_ADP,95242
里_PRT,94824
变化_NOUN,94793
2010_NOUN,94736
作为_VERB,94710
任何_DET,94579
模式_NOUN,94425
间_PRT,94376
亿元_NUM,93640
促进_VERB,93557
形式_NOUN,92961
劳动_NOUN,92430
财政_NOUN,92228
使用_VERB,91571
而且_ADV,91237
达到_VERB,91048
数_NOUN,90849
领域_NOUN,90781
消费_NOUN,90511
规定_NOUN,90426
作_VERB,90261
增长_NOUN,90233
万元_NUM,90194
网络_NOUN,89895
工程_NOUN,89110
现在_NOUN,88805
5_NUM,88524
日本_NOUN,88331
这样_ADV,88227
应当_VERB,88159
们_NOUN,88145
竞争_NOUN,88017
