ngram,freq
2009 年,108791
2010 年,62495
12 月,50690
6 月,43836
2011 年,42589
5 月,42493
7 月,41420
年 12,34463
2008 年,33107
20 世纪,30609
2012 年,29427
2003 年,29248
年 6,29114
年 4,27090
年 7,26624
年 5,26599
10 月,25470
2013 年,25207
9 月,24639
3 月,24294
1 月,24092
30 年,23682
4 月,23600
11 月,23455
90 年代,22159
8 月,20581
2007 年,19634
年 1,19119
制造业 Manufacture,18672
1998 年,18090
1999 年,17020
2005 年,16919
月 1,16866
1 日,16521
2 月,16493
年 3,16369
年 10,16217
100.0 100.0,16091
1997 年,15945
2006 年,15730
2000 年,15346
世纪 90,14659
年 9,14617
年 11,14142
1978 年,13600
1995 年,13573
1994 年,13038
1990 年,12957
1992 年,12513
2004 年,12452
1996 年,12411
第 1,12397
年 8,12215
30 日,11780
5 年,11666
70 年代,11638
21 世纪,11496
28 日,11320
10 日,11273
年 2,11134
000000 000000,11088
5 个,10908
月 10,10739
2014 年,10658
3 个,10359
月 30,10331
31 日,10319
2015 年,10264
18 日,10227
月 31,10082
月 28,10076
80 年代,10047
5 日,9980
第 2,9959
2001 年,9846
月 5,9719
2002 年,9655
20 年,9617
22 日,9482
3 年,9351
29 日,9280
23 日,9275
14 日,9248
17 日,9225
月 18,9158
9 日,9041
1949 年,8955
10 个,8877
24 日,8801
owned Enterprises,8749
11 日,8748
13 日,8720
Manufacture of,8707
月 9,8636
1980 年,8627
7 日,8570
第 3,8556
月 6,8548
3 日,8536
6 日,8520
1 个,8504
1988 年,8486
月 22,8450
月 2,8406
月 14,8388
1979 年,8360
10 年,8321
月 17,8321
世纪 70,8288
月 7,8276
月 11,8246
月 23,8218
月 29,8186
60 年代,8172
2 日,8163
1984 年,8088
2020 年,8077
开放 30,7938
月 24,7847
月 13,7839
1982 年,7731
1987 年,7556
计 Total,7464
目 Item,7459
标 Item,7312
1986 年,7262
6 个,7185
在 2008,7177
15 日,7127
问 8,6942
4 个,6830
第 4,6728
20 日,6631
世纪 80,6615
月 15,6480
业 Manufacture,6477
8 个,6419
19 世纪,6419
60 年,6407
在 20,6250
建筑业 Construction,6156
业 Miningand,6153
25 日,6136
GDP 的,6114
分 Grouped,6057
月 20,5957
人均 00,5954
7 个,5919
100.00 100.00,5892
1983 年,5768
26 日,5726
8 日,5696
的 1,5624
1981 年,5607
16 日,5554
月 8,5548
1993 年,5546
12 日,5529
27 日,5505
1 期,5504
0 0,5485
世纪 60,5446
10 万,5411
21 日,5396
月 25,5365
30 年代,5341
月 12,5304
月 4,5268
1956 年,5185
第 5,5184
19 日,5142
世纪 50,5138
在 2009,5122
4 日,5103
月 3,5068
9 个,5009
100 万,4995
股份有限公司 Share,4977
月 26,4967
月 16,4917
的 20,4895
1950 年,4838
2 期,4764
月 21,4763
月 27,4737
2 个,4736
2007 2008,4726
1 年,4712
