ngram,freq
的 _NOUN_ _NOUN_ _._ _END_,477909
的 _NOUN_ _NOUN_ . _END_,436759
_START_ _NOUN_ _NOUN_ _NOUN_ _NOUN_,360638
的 _NOUN_ _NOUN_ _NOUN_ _._,335115
的 _NOUN_ _._ _ADV_ _VERB_,323991
"的 _NOUN_ , _ADV_ _VERB_",314155
的 _NOUN_ _NOUN_ _NOUN_ _NOUN_,259601
_VERB_ _._ _NOUN_ _NOUN_ _NOUN_,241118
的 _ADJ_ _NOUN_ _._ _END_,234118
的 _ADJ_ _NOUN_ . _END_,218378
的 _NOUN_ _NOUN_ _._ _ADV_,217718
"的 _NOUN_ _NOUN_ , _ADV_",209536
的 _NOUN_ _NOUN_ _._ _VERB_,204005
"的 _NOUN_ _NOUN_ , _VERB_",193587
"的 _NOUN_ _NOUN_ _NOUN_ ,",184398
的 _NOUN_ _CONJ_ _NOUN_ _._,172702
的 _NOUN_ _NOUN_ _._ _NOUN_,168678
的 _NOUN_ _._ _NOUN_ _NOUN_,165211
的 _NOUN_ _NOUN_ _CONJ_ _NOUN_,162253
的 _NOUN_ _NOUN_ _ADV_ _VERB_,158167
的 _NOUN_ _._ _VERB_ _NOUN_,151836
"_VERB_ , _NOUN_ _NOUN_ _NOUN_",148209
_VERB_ _ADJ_ _PRT_ _NOUN_ _._,146979
_VERB_ _ADJ_ 的 _NOUN_ _._,146339
年 _NOUN_ _NOUN_ _NOUN_ _NOUN_,144530
"的 _NOUN_ , _VERB_ _NOUN_",143462
"的 _NOUN_ _NOUN_ , _NOUN_",140532
的 _NOUN_ _._ _ADV_ _ADV_,138515
_VERB_ _ADJ_ _NOUN_ _PRT_ _NOUN_,137529
"的 _NOUN_ , _NOUN_ _NOUN_",136952
的 _NOUN_ _CONJ_ _NOUN_ _NOUN_,134901
"的 _NOUN_ , _ADV_ _ADV_",134846
和 _NOUN_ _NOUN_ _NOUN_ _NOUN_,132839
_VERB_ _._ _NOUN_ _NOUN_ _._,131850
_VERB_ _ADJ_ _NOUN_ _NOUN_ _NOUN_,130559
_VERB_ _ADJ_ _NOUN_ 的 _NOUN_,130420
的 _NOUN_ _ADV_ _VERB_ _._,127956
的 _NOUN_ _._ _VERB_ _VERB_,123221
_VERB_ _._ _VERB_ _NOUN_ _NOUN_,122907
_VERB_ _._ _ADV_ _VERB_ _NOUN_,122370
_VERB_ _ADJ_ _NOUN_ _._ _END_,120655
_VERB_ _._ _ADV_ _VERB_ _VERB_,119763
_START_ _ADP_ _NOUN_ _NOUN_ _NOUN_,119070
_VERB_ _ADJ_ _PRT_ _NOUN_ _NOUN_,118956
_VERB_ _ADJ_ 的 _NOUN_ _NOUN_,118768
