ngram,freq
.,4164480105
",",3639663738
the,2801661163
"""",2188652438
to,1639532230
and,1536750270
of,1236546281
a,1222444353
I,1176779607
was,835865211
in,784719805
her,715330117
not,695507081
',644540365
he,643391028
that,632221423
his,597391670
you,589199395
it,566508817
's,505809819
she,479194078
had,466013819
?,465813877
with,428901836
for,408198837
on,397902086
as,369879947
-,369212840
at,339499723
He,319629440
him,307674758
The,288193922
be,286404470
is,281887428
my,278773734
me,278650041
have,258446704
but,254663411
said,253661221
She,245467033
from,230671541
up,211955079
out,211840791
do,210982498
would,202462248
were,201195523
this,196623081
they,196060092
all,190241223
could,184174738
did,178805510
It,177547152
one,170977776
so,166040210
!,155703522
what,154635247
about,153285376
been,153099699
we,152557590
them,151313799
like,150669761
by,149991040
into,148945026
back,145951663
You,141183974
if,139772488
an,138629831
'd,137139034
there,134354048
or,132210185
are,129549106
when,127341713
;,124760170
know,121589217
your,121074508
can,120812534
their,120661721
time,117316958
no,116183435
just,112113527
down,110195440
But,109831642
who,108657445
more,108609326
over,108118283
then,107483988
will,106846836
And,105696577
--,103899203
now,94200498
'm,89135063
get,88644260
see,86894455
which,84806952
man,84752370
way,82229312
before,81503356
...,81395445
eyes,81292744
some,80264180
only,79529898
What,76633152
here,76342226
than,76087004
They,74921336
We,74909377
other,74538820
'll,72872579
go,72788058
think,72257102
off,71618090
're,71606893
going,71379834
too,71243275
looked,70913432
A,70216346
through,69507511
head,68633597
again,68137411
two,67814381
right,67779322
even,67694445
:,67491650
around,67491441
how,67393136
thought,66533216
made,66316839
little,65915140
away,65569220
hand,65284076
any,64770305
want,64063709
never,63992704
us,63468969
That,63047082
still,62813293
much,62205653
face,61409517
asked,60661105
good,60482858
has,59203700
something,57597134
where,57466021
very,57414419
got,56517235
long,56340540
our,56290453
after,56130361
first,55970458
There,55950750
come,55087122
make,54419610
knew,53782914
say,53705054
've,53571339
door,53200390
room,53177629
came,51617537
take,51469535
took,50421751
should,49898119
look,49874202
day,48522940
went,46967031
If,46942441
well,46882061
His,46640227
felt,46500956
No,46168756
told,46117583
life,45935213
might,45567787
turned,45543725
people,45448697
left,45439400
own,44534304
because,44422462
This,42883968
tell,42472154
let,42287461
old,42275936
its,42207751
s,41986536
last,41853122
being,41468966
wanted,41390398
night,40959049
When,40866149
In,40825731
while,40706933
need,40641847
another,40082951
himself,39934193
few,39747060
Then,39540851
hands,39200331
saw,39146856
put,38573330
must,38297664
against,38209242
As,38111464
Her,37756701
house,37224070
So,37124770
voice,36971037
sure,36969806
thing,36636513
place,36436352
woman,36389601
home,36330680
really,36326553
enough,36205808
those,36150073
things,35869251
Do,35787992
always,35406672
though,35402285
found,35383557
anything,35295497
side,35094732
find,34754314
nothing,34713699
work,34373129
men,34270204
moment,34269499
My,34216596
am,34043734
love,33332326
mind,33085044
ever,33035432
behind,32951336
same,32856350
without,32822459
seemed,32609304
years,32382558
father,32332333
until,32329417
mother,32230874
such,31887997
most,31880522
How,31768379
every,31564768
looking,31545616
does,31433421
),31380480
heard,31250765
next,31242919
(,31055662
both,30677234
these,30586228
help,30545534
once,30193723
why,30043909
Yes,29858917
feel,29845148
herself,29342147
each,29339120
body,29287081
between,29002183
many,28856862
three,28849048
new,28517292
Oh,28497810
better,28466749
under,27899486
front,27852574
stood,27718430
give,27592468
gave,27554925
Not,27285149
great,26974670
done,26853425
small,26782934
Why,26430789
hard,26158343
open,26087626
heart,26078876
also,26069205
keep,26056981
Well,26000814
seen,25901404
hair,25716670
far,25610925
across,25547380
almost,25266073
already,25265528
sat,25202280
called,25154732
course,25043626
world,24963648
Mr.,24741918
bed,24432768
together,24336152
began,24128395
yet,24109005
words,24049612
name,24004545
Now,23823064
end,23819332
light,23817705
since,23674862
girl,23672617
young,23619422
walked,23352463
inside,23313745
else,23297461
water,23062743
morning,23048148
everything,22837344
upon,22739878
family,22732164
may,22723304
mean,22635166
At,22548355
mouth,22517858
table,22463095
held,22408591
smile,22347071
gone,22300105
started,22253741
toward,22176803
doing,22175319
pulled,22100935
trying,22099626
arms,22042109
feet,21928512
someone,21902483
along,21896407
For,21895990
tried,21885078
set,21708420
call,21654342
days,21647744
All,21488124
leave,21448632
car,21437187
part,21374681
myself,21230682
says,21228580
hear,21162284
dark,20963914
best,20934476
talk,20865160
kind,20852642
half,20784666
soon,20604061
used,20371079
close,20262381
black,20236088
big,20120222
white,20072258
After,20060424
smiled,19949228
air,19934005
least,19823206
God,19823043
believe,19770312
coming,19692249
nodded,19563883
past,19249123
later,18635467
friend,18583599
having,18574444
happened,18474142
arm,18389857
quite,18265345
lot,18247614
getting,18221745
floor,18118922
opened,18055489
needed,17971474
ask,17793930
making,17671867
reached,17671282
bit,17455996
full,17447803
second,17404817
One,17402632
matter,17327073
kept,17289222
whole,17264898
stopped,17248587
shook,17231228
moved,17226206
lips,17185080
taken,17169524
idea,17157680
stop,17155629
Just,16988725
able,16955208
brought,16939041
sound,16899300
breath,16869689
dead,16832259
boy,16804562
deep,16776137
rest,16685118
alone,16656007
money,16594928
With,16586617
word,16387844
feeling,16310898
care,16308236
phone,16301941
Is,16151784
high,15975036
Maybe,15787537
fact,15775844
To,15755017
understand,15634272
wife,15557692
taking,15549059
point,15465679
thinking,15424106
bad,15338261
probably,15318274
times,15308031
anyone,15296776
turn,15174762
quickly,15164400
minutes,15154177
fingers,15147554
friends,15087251
lost,15060204
ready,14997780
forward,14935396
remember,14919325
women,14856782
window,14847078
children,14804433
ground,14772761
outside,14768303
use,14708851
red,14701919
stay,14691408
others,14619748
ran,14612281
year,14607298
five,14532128
case,14529979
four,14529206
fire,14500152
either,14446991
child,14399174
met,14332645
ago,14305832
different,14302526
brother,14254765
wrong,14232299
top,14207225
talking,14150363
person,14130569
read,14108182
Let,14094247
real,14075239
Did,14062446
replied,14050475
move,13988328
watched,13965585
closed,13963794
large,13961446
waiting,13947499
blood,13869122
school,13863269
run,13791481
death,13772579
Are,13755682
hope,13740394
try,13691278
given,13616732
wall,13612411
shoulder,13584907
question,13540817
cold,13537828
son,13514474
Mrs.,13454836
rather,13443366
laughed,13418220
known,13408830
caught,13395540
suddenly,13355112
business,13333249
answer,13311719
followed,13308696
finally,13197830
chair,13170655
reason,13095252
fell,13080595
slowly,13050299
Of,13027618
show,13026708
onto,13018253
Chapter,12983205
happy,12968731
maybe,12960665
sorry,12946878
towards,12843401
continued,12796133
standing,12793244
chest,12778303
town,12743275
everyone,12693586
office,12673841
shall,12643322
hours,12633843
story,12616000
fine,12596088
saying,12593324
blue,12548940
passed,12517305
hold,12446341
longer,12442576
true,12434926
short,12429986
pretty,12427664
sense,12425184
near,12348648
less,12261832
eye,12213376
sitting,12212014
Even,12205959
stared,12167987
living,12147900
spoke,12047168
live,11978453
job,11965856
On,11941150
book,11861848
line,11836948
round,11830799
speak,11825390
kitchen,11823313
beautiful,11811108
start,11810610
returned,11810094
Miss,11808002
hour,11735819
Your,11716223
several,11699537
meant,11699394
above,11691538
in.,11685518
sister,11681636
walk,11646806
Where,11570282
Or,11533222
glass,11506079
sleep,11481591
clear,11420953
wait,11382221
late,11375242
Who,11331011
meet,11321040
couple,11319607
skin,11307388
road,11264805
become,11259692
sent,11259109
lay,11198358
attention,11198105
change,11197739
chance,11195519
decided,11189055
husband,11132965
bring,11073319
__,11064230
neck,11058371
legs,10997206
stepped,10926195
pain,10885128
cut,10833042
gaze,10797435
John,10791941
loved,10788889
evening,10727316
baby,10707692
possible,10675939
beside,10657346
glanced,10648618
sort,10642269
power,10603945
actually,10579080
within,10574163
working,10571968
running,10558808
answered,10524611
hurt,10522082
week,10487047
today,10485167
free,10471096
daughter,10455137
d,10434879
became,10400590
looks,10383627
city,10368130
watch,10351408
perhaps,10346218
yourself,10327273
hot,10299479
watching,10295717
truth,10286782
ten,10285861
Yeah,10281154
filled,10264544
holding,10255200
Jack,10241743
guy,10185307
fear,10175205
hell,10123903
raised,10028118
appeared,10018859
shot,10010492
leaving,9994477
stand,9982285
exactly,9866059
Good,9859251
return,9810548
seat,9808020
pushed,9793101
shoulders,9781204
parents,9766521
hit,9757638
during,9745893
often,9733619
corner,9724033
certain,9704625
strong,9680711
food,9668050
straight,9642992
silence,9642555
hundred,9600623
twenty,9598765
picked,9564530
seem,9546127
added,9538648
leaned,9537052
street,9536458
sun,9510224
low,9507986
whispered,9487060
girls,9430014
die,9425614
order,9410681
throat,9403694
nice,9379343
touch,9359054
afraid,9324036
six,9318000
guess,9308444
wish,9293102
dropped,9228569
worked,9227721
sir,9214159
Come,9204210
number,9187176
early,9172849
okay,9168082
play,9155561
realized,9152285
kill,9140488
sight,9130679
step,9098226
months,9094637
police,9084692
sit,9077208
mine,9053024
tears,9020175
themselves,9014262
died,9012795
Can,8990113
By,8985881
knows,8971340
waited,8970551
coffee,8962357
thoughts,8958942
quiet,8940715
clothes,8929181
country,8922070
noticed,8920514
human,8910272
closer,8904091
yes,8884473
dinner,8867332
warm,8866620
green,8864626
rose,8846731
Lord,8823548
New,8806230
kiss,8804709
wondered,8775051
moving,8761331
building,8721919
soft,8711524
expression,8709078
easy,8699699
whether,8659492
Because,8649279
minute,8610441
led,8554394
means,8552562
instead,8552360
killed,8523823
seeing,8523667
arrived,8523068
safe,8514635
deal,8493876
No.,8493287
control,8470431
desk,8467504
cried,8465890
whatever,8463579
lady,8454811
please,8449168
fast,8441320
strange,8432666
doubt,8431497
nearly,8398814
happen,8398412
changed,8398403
paper,8390620
wide,8389632
lifted,8372633
edge,8341959
finished,8339805
figure,8328682
trouble,8321773
shirt,8311620
immediately,8305787
foot,8303792
heavy,8263840
conversation,8242220
telling,8233194
among,8197224
dear,8189991
Thank,8186243
important,8167881
fall,8144623
giving,8141643
horse,8134369
grabbed,8127636
news,8098196
beneath,8087348
empty,8053612
married,8037239
walking,8031218
poor,8026056
surprised,7967875
Was,7962485
spent,7950508
Will,7927911
makes,7897792
middle,7877819
however,7875354
covered,7871631
simply,7869823
drink,7853432
wind,7849366
liked,7828390
war,7821462
whom,7817611
bag,7798860
From,7787638
fight,7769121
beyond,7763735
tonight,7754201
trees,7744158
sky,7721235
pointed,7712202
lived,7708728
plan,7701848
party,7693414
itself,7691967
problem,7688540
weeks,7677369
shut,7661626
supposed,7644063
seems,7643209
placed,7642237
dress,7617051
remembered,7608679
Okay,7592486
steps,7587423
break,7576996
worry,7542901
boys,7534410
afternoon,7528960
dog,7521025
comes,7513804
eat,7468689
completely,7455871
Like,7440365
Some,7422455
glad,7399345
further,7397992
whose,7392055
An,7391689
land,7390632
single,7380675
laugh,7377352
company,7369417
turning,7356232
Sam,7346346
ship,7344411
ahead,7338337
Mr,7330878
expected,7320031
information,7310110
space,7302150
quick,7299641
distance,7292400
position,7274654
meeting,7270873
knowing,7264976
tree,7252956
Perhaps,7243999
sighed,7243725
kissed,7229556
pay,7225015
finger,7223819
perfect,7222815
sometimes,7222380
questions,7221709
surprise,7215177
Sir,7204088
Once,7187408
entered,7180356
sea,7175556
Here,7167044
nose,7165804
group,7162069
form,7159433
tone,7152768
present,7136034
direction,7134383
except,7121646
wonder,7079477
Please,7070859
area,7061244
certainly,7061145
broken,7056934
box,7056292
piece,7055066
hall,7037617
doctor,6990004
letter,6968580
drew,6961083
teeth,6938684
anyway,6914830
silent,6912566
carried,6909430
pressed,6903427
broke,6889325
headed,6881385
Mary,6878516
de,6866371
Nothing,6856436
hers,6848090
drive,6825946
gun,6824145
staring,6815503
sign,6790867
suppose,6782739
wearing,6775576
Have,6774237
nor,6772251
entire,6769528
stone,6762169
wants,6756773
tomorrow,6751276
showed,6749978
King,6731574
age,6724903
THE,6703292
kids,6691793
although,6684031
pocket,6681263
future,6659076
lives,6654073
view,6650982
bright,6639628
agreed,6633635
Tom,6627958
Only,6627405
tongue,6616395
slightly,6609724
stairs,6608998
force,6605997
rolled,6603237
earth,6591603
shrugged,6578790
paused,6576461
stomach,6574894
situation,6573087
walls,6570344
Two,6568240
trust,6556986
follow,6545653
game,6545303
CHAPTER,6515998
thick,6497051
state,6495237
managed,6487164
especially,6465275
pull,6440552
pleasure,6438543
touched,6432826
self,6422820
London,6422638
Dad,6415013
somewhere,6412891
visit,6387101
worse,6386521
sweet,6361134
remained,6359396
sounded,6335267
following,6330993
alive,6328887
hung,6317103
reach,6314985
huge,6305237
check,6288722
ones,6283316
talked,6278601
barely,6267830
bedroom,6252823
threw,6250288
James,6244690
grew,6243239
catch,6241492
indeed,6234842
beginning,6226694
thousand,6223045
tight,6219679
quietly,6218223
ear,6212050
lying,6206610
stuff,6192734
knees,6186546
secret,6177608
below,6171065
allowed,6143020
none,6134466
picture,6120558
brown,6116551
serious,6112073
tall,6109330
offered,6101356
tired,6098798
soul,6089249
gold,6077614
gently,6075360
dressed,6070081
Before,6062677
law,6057352
Lady,6056989
handed,6056555
angry,6053328
books,6047431
interest,6043944
crowd,6039757
Would,6022306
tea,6003154
guys,5990151
Look,5986089
Dr.,5977062
bar,5973520
doors,5973062
dad,5968469
darkness,5958265
hoped,5955060
forget,5951102
asking,5945752
playing,5922517
learned,5885399
David,5884177
send,5875679
forced,5858360
strength,5834121
....,5823641
save,5817870
helped,5784151
re,5767580
slow,5753890
till,5752193
river,5750025
path,5745469
music,5743206
carefully,5740780
clean,5736787
usual,5735172
slid,5731643
tiny,5728036
bottom,5723395
hardly,5714971
English,5705592
earlier,5701563
imagine,5665321
worried,5664725
slipped,5661888
explained,5659711
m,5652599
