ngram,freq
._.,4164168318
",_.",3639070663
the_DET,2799990591
"""_.",2188569672
to_PRT,1637034384
and_CONJ,1533742848
of_ADP,1234610879
a_DET,1219566959
I_PRON,1175304005
was_VERB,835813815
in_ADP,756397607
her_PRON,715268770
not_ADV,695335662
he_PRON,643358079
his_PRON,597289831
you_PRON,588905211
it_PRON,566341075
'_.,512886470
she_PRON,479012658
had_VERB,465999178
?_.,465798150
with_ADP,428639744
for_ADP,407739877
-_.,369104342
on_ADP,353655652
at_ADP,339074110
He_PRON,319610625
that_DET,316993565
that_ADP,312137481
him_PRON,307661185
as_ADP,306837260
's_PRT,287221935
be_VERB,285728942
The_DET,284616366
is_VERB,281810447
my_PRON,278266137
me_PRON,278230562
have_VERB,258351227
but_CONJ,253777651
said_VERB,253651106
She_PRON,245391838
from_ADP,230596992
do_VERB,210503711
's_VERB,209765436
would_VERB,202199879
were_VERB,201180978
this_DET,196552786
they_PRON,196043325
could_VERB,184166871
all_DET,181094756
did_VERB,178800165
It_PRON,177525325
!_.,155668605
been_VERB,153090461
we_PRON,152541731
them_PRON,151191526
up_PRT,150613624
into_ADP,148934347
what_PRON,148463473
about_ADP,146995692
by_ADP,146460784
You_PRON,141053664
if_ADP,139696511
an_DET,137856165
'd_VERB,137135486
or_CONJ,132006397
one_NUM,131420459
out_PRT,129751330
are_VERB,129524166
when_ADV,127275315
so_ADV,125378418
like_ADP,125135995
;_.,124760037
know_VERB,121279166
your_PRON,120863990
their_PRON,120644041
can_VERB,120065768
time_NOUN,115944911
back_ADV,113441520
just_ADV,111732601
But_CONJ,108907582
who_PRON,108643845
then_ADV,106985774
And_CONJ,105214371
--_.,103865261
will_VERB,103260760
no_DET,96390135
now_ADV,93710310
'm_VERB,89131709
get_VERB,88401811
see_VERB,86763704
which_DET,84797356
man_NOUN,84105631
..._.,81373027
eyes_NOUN,81289575
way_NOUN,80633822
some_DET,80084237
here_ADV,76295949
than_ADP,75909941
We_PRON,74904822
over_ADP,74750605
They_PRON,74712464
other_ADJ,74523306
there_DET,73761880
'll_VERB,72868090
think_VERB,72146117
're_VERB,71597889
go_VERB,71575280
going_VERB,71126522
too_ADV,70976009
looked_VERB,70911443
What_PRON,70426322
again_ADV,67934552
before_ADP,67885863
:_.,67306031
how_ADV,67185775
even_ADV,67057900
head_NOUN,66553590
made_VERB,65777905
A_DET,65670820
two_NUM,65630524
through_ADP,65168245
any_DET,64001352
never_ADV,63861096
us_PRON,63454602
want_VERB,63342846
hand_NOUN,62983935
as_ADV,62878299
away_ADV,62500493
out_ADP,62120976
more_ADJ,61894430
still_ADV,61308744
only_ADV,60864019
asked_VERB,60634473
there_ADV,60472666
'_PRT,60153602
has_VERB,59188407
good_ADJ,57973111
something_NOUN,57594807
where_ADV,57459146
That_DET,57200811
got_VERB,56514598
our_PRON,56261372
down_PRT,56129727
thought_VERB,55516850
after_ADP,55440878
face_NOUN,55436185
come_VERB,54957129
little_ADJ,53836203
knew_VERB,53779624
make_VERB,53754978
've_VERB,53568680
say_VERB,53496856
room_NOUN,53100262
door_NOUN,52850741
There_DET,52814318
came_VERB,51615726
very_ADV,51553462
off_PRT,51415705
take_VERB,51112985
took_VERB,50419772
should_VERB,49895464
went_VERB,46964753
If_ADP,46918538
more_ADV,46658572
His_PRON,46631632
day_NOUN,46553655
felt_VERB,46499363
told_VERB,46116115
life_NOUN,45625852
turned_VERB,45446887
people_NOUN,45430510
around_ADP,45370117
might_VERB,45048536
up_ADV,43617419
own_ADJ,43416395
because_ADP,43257476
first_ADJ,42420105
This_DET,42403100
tell_VERB,42299435
