ngram,freq
_._ _END_,4936335203
_NOUN_ _._,4693868539
_PRON_ _VERB_,4415563499
_DET_ _NOUN_,3781863735
. _END_,3585226858
._. _END_,3584941305
_NOUN_ _VERB_,2403450031
_NOUN_ _ADP_,2400984198
_ADP_ _DET_,2313995587
_NOUN_ ._.,2200911651
_NOUN_ .,2200911651
the _NOUN_,2160428347
the_DET _NOUN_,2160428347
_VERB_ _PRON_,2117284355
_ADJ_ _NOUN_,2004159546
_VERB_ _VERB_,2003649977
_ADP_ _PRON_,1876469496
_VERB_ _ADV_,1869856431
"_NOUN_ ,",1846074981
"_NOUN_ ,_.",1846074981
_VERB_ _ADP_,1707595918
_VERB_ _DET_,1593190229
_PRON_ _NOUN_,1572519624
_._ _._,1460406797
_ADP_ the,1435166211
_ADP_ the_DET,1435164986
_VERB_ _._,1386087467
_NOUN_ _NOUN_,1371766213
_START_ _PRON_,1357351701
_ADP_ _NOUN_,1320723632
_DET_ _ADJ_,1244362511
_._ _PRON_,1236146386
_ADV_ _VERB_,1229167145
_START_ _._,1200519533
_VERB_ _PRT_,1160906739
"_._ ""_.",1134628747
"_._ """,1134628747
I _VERB_,1109281373
I_PRON _VERB_,1109256824
_PRT_ _VERB_,1069475218
to _VERB_,1038641850
to_PRT _VERB_,1038638186
"_START_ """,985147148
"_START_ ""_.",985129638
_ADV_ _._,940563468
_NOUN_ of,908279153
_NOUN_ of_ADP,908279079
_._ _NOUN_,865884291
_VERB_ _NOUN_,864256489
_._ _VERB_,792712011
_ADJ_ _._,791829933
_PRON_ _._,780048719
_VERB_ to,755035016
_VERB_ to_PRT,755004450
_NOUN_ _CONJ_,752181951
a _NOUN_,725274406
a_DET _NOUN_,725274167
_NOUN_ _PRT_,721998377
_._ _CONJ_,713024838
_VERB_ .,675864924
_VERB_ ._.,675864924
_VERB_ the,670795379
_VERB_ the_DET,670775305
_START_ _NOUN_,665805919
_NOUN_ and,664878880
_NOUN_ and_CONJ,664878626
", _CONJ_",612979076
",_. _CONJ_",612979076
_VERB_ not,612358216
_VERB_ not_ADV,612358015
he _VERB_,602311868
he_PRON _VERB_,602311868
_VERB_ _ADJ_,591791210
_CONJ_ _VERB_,586078429
._. _._,578188257
. _._,578188257
",_. _PRON_",565404136
", _PRON_",565404136
the_DET _ADJ_,538947731
the _ADJ_,538947731
", _VERB_",528967118
",_. _VERB_",528967118
_DET_ _VERB_,523356828
"_VERB_ ,_.",520278930
"_VERB_ ,",520278930
and_CONJ _VERB_,513225465
and _VERB_,513225465
his_PRON _NOUN_,495866157
his _NOUN_,495866157
_ADV_ _ADP_,493402693
_START_ _DET_,492697753
_VERB_ a,484045611
_VERB_ a_DET,483760989
_NOUN_ _ADV_,475444202
". """,468191036
"._. """,468171179
"._. ""_.",468171179
". ""_.",468171179
_._ _ADV_,467436698
she _VERB_,450916621
she_PRON _VERB_,450915084
_._ _DET_,450315276
_ADV_ _ADV_,445680760
_._ _ADP_,441251212
not _VERB_,429717620
not_ADV _VERB_,429717342
a _ADJ_,428298920
a_DET _ADJ_,428298914
_ADP_ a,425606434
_ADP_ a_DET,425504212
_._ and,423980068
_CONJ_ _PRON_,423503033
_ADV_ _ADJ_,422489610
_._ and_CONJ,421327407
_ADV_ .,420959013
_ADV_ ._.,420959013
_PRT_ _NOUN_,418635592
of _NOUN_,410680073
of_ADP _NOUN_,410680071
of _DET_,409915531
of_ADP _DET_,409915485
"_ADV_ ,_.",403777653
"_ADV_ ,",403777653
_PRON_ was,401764846
_PRON_ was_VERB,401757750
", _NOUN_",395648579
",_. _NOUN_",395648579
", and",393390498
",_. and",393331120
",_. and_CONJ",393331120
", and_CONJ",393331120
_ADV_ _PRON_,392990339
", _._",388603570
",_. _._",388603570
her _NOUN_,386945290
her_PRON _NOUN_,386945290
_._ I,376935081
_._ I_PRON,376566476
_PRON_ ._.,376016864
_PRON_ .,376016864
_CONJ_ _NOUN_,367761658
_NOUN_ to,365169945
_NOUN_ to_PRT,365166890
_PRON_ _ADV_,355146711
you _VERB_,350592534
you_PRON _VERB_,350592464
_NOUN_ _PRON_,347321683
", _ADP_",340425949
",_. _ADP_",340425949
in _DET_,338428531
in_ADP _DET_,338276850
_START_ _ADV_,333462665
_._ _ADJ_,331677634
_START_ I,328287337
_START_ I_PRON,328272346
_VERB_ her,321401525
_VERB_ her_PRON,321401525
_ADJ_ _ADP_,318987996
_PRT_ _DET_,310716667
", """,306262185
", ""_.",306250211
",_. """,306250211
",_. ""_.",306250211
_PRON_ _ADP_,304619836
He_PRON _VERB_,302623534
He _VERB_,302623534
", _ADV_",301587578
",_. _ADV_",301587578
_PRON_ _ADJ_,300949528
and _NOUN_,290011339
and_CONJ _NOUN_,290011333
_START_ He,289667910
_START_ He_PRON,289650296
_ADP_ _ADJ_,287223337
_NOUN_ 's,286693034
of the,284896714
of_ADP the_DET,284857179
of_ADP the,284857179
of the_DET,284857179
_START_ _ADP_,284666289
", _DET_",284158172
",_. _DET_",284158172
_NOUN_ in,280813802
"_ADJ_ ,_.",280781615
"_ADJ_ ,",280781615
_NOUN_ in_ADP,280686905
_NOUN_ 's_PRT,280022615
? _._,275804769
?_. _._,275802979
