ngram,freq
"said , "" I",3267817
"you , "" he",1332910
"you , "" she",1174276
"me , "" he",988440
"said , "" You",949657
"me , "" she",869009
"it , "" he",828252
"it , "" she",648230
"said , "" but",631186
"here , "" he",619239
"no , "" she",571314
"it , "" said",570751
"you , "" said",570721
"you , "" I",569537
twenty - four hours,522067
"no , "" he",519239
"me , "" I",506253
"said , "" and",502797
"that , "" he",468617
"Yes , "" she",453932
"said , "" It",439070
"it , "" I",437953
"here , "" she",435079
"me , "" said",426781
"know , "" he",416243
"said , "" We",411884
"no , "" said",407542
"no , "" I",407138
"know , "" she",406255
"now , "" he",402636
"that , "" she",395728
"Yes , "" said",380641
"right , "" he",372019
"well , "" said",366971
"asked , "" What",361343
"Yes , "" he",352659
"that , "" said",350650
