ngram,freq
the _NOUN_ _ADP_,2864075047
the_DET _NOUN_ _ADP_,2864075047
the_DET _ADJ_ _NOUN_,2050946671
the _ADJ_ _NOUN_,2050946671
the_DET _NOUN_ of,1969019348
the _NOUN_ of,1969019348
the_DET _NOUN_ of_ADP,1969019257
the _NOUN_ of_ADP,1969019257
the_DET _NOUN_ _._,1907151205
the _NOUN_ _._,1907151205
of _DET_ _NOUN_,1667975206
of_ADP _DET_ _NOUN_,1667975206
the_DET _NOUN_ _NOUN_,1467668191
the _NOUN_ _NOUN_,1467668188
of_ADP the _NOUN_,1274507997
of_ADP the_DET _NOUN_,1274507997
of the_DET _NOUN_,1274507997
of the _NOUN_,1274507997
a _ADJ_ _NOUN_,1233451043
a_DET _ADJ_ _NOUN_,1233451043
the_DET _NOUN_ _VERB_,1110856843
the _NOUN_ _VERB_,1110856843
in _DET_ _NOUN_,1096593305
in_ADP _DET_ _NOUN_,1096370467
of _NOUN_ _._,965141519
of_ADP _NOUN_ _._,965141504
a _NOUN_ _ADP_,837914377
a_DET _NOUN_ _ADP_,837914212
the _NOUN_ ._.,803352461
the _NOUN_ .,803352461
the_DET _NOUN_ ._.,803352461
the_DET _NOUN_ .,803352461
in the_DET _NOUN_,771957651
in the _NOUN_,771957651
in_ADP the_DET _NOUN_,771899336
in_ADP the _NOUN_,771899336
to _VERB_ _DET_,750914923
to_PRT _VERB_ _DET_,750911863
"the _NOUN_ ,",729396619
"the _NOUN_ ,_.",729396619
"the_DET _NOUN_ ,_.",729396619
"the_DET _NOUN_ ,",729396619
and _NOUN_ _._,699408482
and_CONJ _NOUN_ _._,699408480
to _DET_ _NOUN_,663317812
to_PRT _DET_ _NOUN_,663317812
of_ADP _ADJ_ _NOUN_,623955884
of _ADJ_ _NOUN_,623955884
of _NOUN_ _NOUN_,568140271
of_ADP _NOUN_ _NOUN_,568140271
of _DET_ _ADJ_,530563191
of_ADP _DET_ _ADJ_,530563191
a _NOUN_ _._,525307931
a_DET _NOUN_ _._,525307387
and_CONJ _NOUN_ _NOUN_,525065500
and _NOUN_ _NOUN_,525065500
