ngram,freq
I do not know,17575369
the end of the,16022205
in the United States,12792982
at the same time,11604349
at the end of,11175415
the rest of the,9700702
as well as the,9642833
did not want to,9248714
do not want to,8142892
On the other hand,7751333
I do not think,7744914
in the case of,7694264
I do not want,7460663
Series : Parallel Bible,7177313
in whole or in,6873472
as a result of,6855997
one of the most,6813500
for the first time,6783036
whole or in part,6744570
in the form of,6672904
in the middle of,6574511
May not be copied,6419857
I 'm going to,6403312
is one of the,6311907
"be copied , scanned",6301687
"or duplicated , in",6249353
Due to electronic rights,6248517
"duplicated , in whole",6216537
"scanned , or duplicated",6197460
or eChapter ( s,6189743
and / or eChapter,6172922
be suppressed from the,6156912
some third party content,6156606
may be suppressed from,6152940
content may be suppressed,6146367
party content may be,6118471
third party content may,6105827
of the United States,6035375
on the basis of,6028997
"rights , some third",6026474
eBook and / or,6023240
suppressed from the eBook,6009141
"electronic rights , some",5998301
from the eBook and,5979834
At the same time,5693295
the middle of the,5611604
on the other hand,5604906
in front of the,5558656
in the context of,5338216
to be able to,5248957
the top of the,5233527
"said , "" I",4884276
I did not know,4754647
do not know what,4519443
the edge of the,4514464
at the time of,4427270
can be used to,4401486
do not have to,4329663
the fact that the,4318343
the back of the,4305269
was one of the,4262626
"For example , the",4255580
the beginning of the,4177513
Parallel Bible Halseth English,3994121
In the case of,3941746
the other side of,3782402
the side of the,3779940
the nature of the,3698528
I did not want,3561438
not be able to,3549739
on the other side,3540863
the bottom of the,3534956
"New York , NY",3519042
Cambridge : Cambridge University,3504276
at the University of,3497274
in terms of the,3481741
in the presence of,3418082
for a long time,3412668
with respect to the,3298581
was not going to,3259824
at the beginning of,3234162
it is important to,3232585
a member of the,3218753
in a way that,3195969
the name of the,3195603
in the first place,3139142
I do not have,3132692
on the part of,3118011
other side of the,3094255
"In addition , the",3030565
the so - called,3019085
Bible -- The Gospels,3010045
the center of the,3000545
the time of the,2999073
if you do not,2996509
as part of the,2981815
a great deal of,2974006
in the face of,2965582
a wide range of,2911971
the United States and,2882801
did not know what,2873611
the size of the,2860044
At the end of,2845960
at the top of,2822768
for the purpose of,2822716
in accordance with the,2806103
Oxford : Oxford University,2790645
it is possible to,2754331
that there is a,2743328
"for example , the",2723598
in the absence of,2707252
I 'm not sure,2681207
as well as a,2671384
in the midst of,2645807
I want you to,2630904
It is important to,2627885
in relation to the,2624075
the extent to which,2620873
a result of the,2617078
to the fact that,2601871
for the sake of,2593015
do not know how,2587757
was going to be,2576633
in the course of,2559628
I was going to,2548567
the use of the,2547748
to do with the,2530911
in the direction of,2528512
when it comes to,2523592
and I do not,2518317
can be found in,2514931
in front of him,2505008
is based on the,2504681
nothing to do with,2498522
I would like to,2489226
the value of the,2476146
the case of the,2474884
will be able to,2471757
as shown in Figure,2466353
for the rest of,2464931
he was going to,2464356
did not have to,2460360
in the same way,2448739
as a function of,2441515
a large number of,2430101
"For example , in",2428068
but I do not,2415002
in the name of,2401884
If you do not,2367100
you do not have,2348248
not want to be,2343559
the way in which,2322382
a part of the,2315468
I 'd like to,2287247
in front of her,2281817
the head of the,2269582
as one of the,2267423
"For example , if",2257067
What do you mean,2252536
on the one hand,2236550
the direction of the,2223790
the first time in,2215830
the course of the,2214288
"that is , the",2205074
in such a way,2193353
the ways in which,2180063
that there is no,2179538
do not need to,2172438
In addition to the,2170389
the role of the,2166349
in the process of,2157295
in one of the,2156675
the part of the,2153850
of one of the,2146314
the development of the,2133886
to go to the,2122280
to the United States,2116355
took a deep breath,2106841
"In fact , the",2100458
on the edge of,2098287
from time to time,2094679
University of Chicago Press,2089911
at the bottom of,2080730
"For example , a",2073269
the front of the,2071273
not know what to,2064375
are more likely to,2063031
you 're going to,2046436
the surface of the,2041928
the form of a,2034208
to get out of,2029520
but he did not,2025682
by the fact that,2011912
in the field of,2010393
did not seem to,2004923
the basis of the,2004476
as well as in,1993182
I did not have,1992348
turned out to be,1979983
it is necessary to,1977185
do not have a,1958745
New York : Oxford,1955628
that he did not,1940099
in the development of,1937793
"me , and I",1927285
What do you think,1921209
per cent of the,1911147
did not have a,1910555
the context of the,1896103
to take care of,1887061
I do not like,1874639
York : Oxford University,1872624
the power of the,1871222
the history of the,1834694
of the twentieth century,1834004
not know how to,1820298
One of the most,1818047
the two of them,1816987
you do not want,1803804
by the end of,1800948
of the fact that,1792972
"However , it is",1791626
in the history of,1791018
"other words , the",1783216
the length of the,1781382
"other hand , the",1773021
Why do not you,1772085
should be able to,1765910
on top of the,1765162
He shook his head,1762166
would be able to,1752345
the back of his,1746081
he did not want,1745283
She shook her head,1742485
but I did not,1740801
to the end of,1738447
in the way of,1737517
United States of America,1733385
of the world 's,1729585
for the most part,1729148
going to have to,1728917
in the hands of,1727144
could not help but,1716912
You do not have,1715339
at the expense of,1714478
to one of the,1713847
in and out of,1713481
of the most important,1703394
in the sense that,1700813
What are you doing,1700416
I do not believe,1697493
I do not care,1694742
I 'm not going,1687640
on the side of,1687004
out of the way,1685386
as well as to,1683401
the heart of the,1673593
in a variety of,1671766
"this case , the",1662715
University of California Press,1661770
she was going to,1653990
did not have the,1648324
Which of the following,1639033
John ( Basic English,1639005
be found in the,1634251
with the help of,1630017
and the United States,1613231
an important role in,1611758
the face of the,1608635
If you want to,1608473
in a number of,1599440
it is difficult to,1599039
would not have been,1596733
if you want to,1594273
you do not know,1591440
New York : Routledge,1589466
as part of a,1588335
that it would be,1588085
I do not see,1584818
On the one hand,1581379
to ensure that the,1580890
as a means of,1580077
the United States of,1579525
to the extent that,1579227
the presence of the,1577487
in the light of,1576585
do not think I,1574267
I did not think,1574024
I can not believe,1573312
does not mean that,1571329
For the first time,1569444
"him , and he",1569160
did not know how,1568826
on the back of,1565417
at the back of,1565188
at the age of,1562141
I do not understand,1560284
what was going on,1551609
he did not know,1546765
do not know if,1543121
I am going to,1541129
would have to be,1538251
that it is not,1535909
the case of a,1535273
in front of me,1530913
in the back of,1526359
as if it were,1523215
in addition to the,1518765
the base of the,1516694
to the development of,1513344
in an attempt to,1509125
at the heart of,1505064
to go back to,1502479
is going to be,1497330
"you , "" he",1497269
she did not want,1496263
it can not be,1492356
it is clear that,1489113
it would have been,1488964
Chicago : University of,1479091
that can not be,1477406
to look at the,1477344
and I did not,1475702
going to be a,1474646
on behalf of the,1474398
the relationship between the,1473511
is likely to be,1468331
have been able to,1467991
do not have the,1465705
"a result , the",1465227
as if they were,1464906
the quality of the,1461102
and colleagues published their,1460375
published their study in,1459954
colleagues published their study,1459754
that it was not,1448405
"said , "" You",1448078
a wide variety of,1447377
