ngram,freq
Series : Parallel Bible,7177313
or eChapter ( s,6189743
and / or eChapter,6172922
eBook and / or,6023240
"said , "" I",4884276
Cambridge : Cambridge University,3504276
the so - called,3290875
Bible -- The Gospels,3010045
Oxford : Oxford University,2790645
New York : Oxford,1955628
York : Oxford University,1872624
John ( Basic English,1639005
New York : Routledge,1589466
"you , "" he",1497269
Chicago : University of,1479091
"said , "" You",1448078
the long - term,1414645
John Wiley & Sons,1361638
"you , "" she",1279986
"Inc. , Until December",1265662
MA : Harvard University,1209530
twenty - first century,1185017
"me , "" he",1159143
Copyright 2011 Cengage Learning,1148855
Copyright 2012 Cengage Learning,1113982
the twenty - first,1086389
Berkeley : University of,1080307
a ) ( 1,1024847
The Gospels -- Matthew,1024480
a long - term,1022308
"it , "" he",1001784
John ( King James,989014
"me , "" she",974710
NTIS ( U.S. Sales,955856
In : Proceedings of,954790
"ed. ) , The",953865
Subd Geog ) UF,952043
two - thirds of,946880
one - third of,912031
twenty - four hours,903913
Copyright 2010 Cengage Learning,846429
