ngram,freq
:,1196251640
:_.,1193266046
;,821306546
;_.,821304764
?,751436878
?_.,751404144
A,354903033
A_DET,266166716
And,196700718
And_CONJ,195599970
=,90000725
A_NOUN,77280970
=_X,75595367
American,73450066
All,68299327
8_NUM,68230416
A.,67263319
A._NOUN,67045809
All_DET,60867081
9,57604436
After,57530221
After_ADP,57314404
9_NUM,56343672
An,53827674
An_DET,53184810
American_NOUN,37774832
Although,36515436
Although_ADP,36513057
American_ADJ,35654683
America,29637757
America_NOUN,29619067
Act,28583763
Act_NOUN,28479143
Are,24195788
Are_VERB,23131192
AND,21467870
AND_CONJ,21180779
>,19889517
African,19833711
Another,19606370
April,19385502
April_NOUN,19379511
Another_DET,19207476
According,18946465
Africa,17993669
Africa_NOUN,17987480
According_VERB,16572534
<,14961162
Americans,14536151
Americans_NOUN,14534282
Also,14061576
Also_ADV,14053882
90,13694932
90_NUM,13219337
Art,11741746
Art_NOUN,11685650
African_ADJ,11154361
Any,10803361
Any_DET,10783233
A_X,10583854
Army,10118754
Army_NOUN,10115240
Analysis,9937408
Analysis_NOUN,9934083
95,9363472
95_NUM,9347549
About,9170925
Adam,8944570
Adam_NOUN,8942058
About_ADP,8922725
African_NOUN,8674452
Am,8552416
Again,8447211
Again_ADV,7887460
Among,7623958
Among_ADP,7623124
Al,7517087
Al_NOUN,7515127
Age,7506846
Air,7412802
Air_NOUN,7409355
@,7403654
Age_NOUN,7363934
=_.,7299637
99,7146034
99_NUM,7129474
Alex,7037238
Alex_NOUN,7035179
Alexander,6908766
Alexander_NOUN,6905355
Ann,6898586
Ann_NOUN,6895437
Andrew,6804138
Andrew_NOUN,6799539
Add,6791959
87_NUM,6765516
88,6751345
Ah,6730785
96,6664202
96_NUM,6648786
88_NUM,6623973
Anna,6623019
Administration,6606894
91,6605503
Administration_NOUN,6600329
92,6578499
98,6575821
Anna_NOUN,6561497
89,6559650
93,6555055
89_NUM,6544205
94,6462948
98_NUM,6461424
94_NUM,6448223
93_NUM,6443066
Add_VERB,6430387
Anne,6424262
97,6404339
Anne_NOUN,6367122
91_NUM,6318005
97_NUM,6294086
92_NUM,6290524
Academy,6289530
Academy_NOUN,6286352
Arab,6262545
Ah_X,6160606
Am_NOUN,5925456
Agency,5893175
Agency_NOUN,5890454
Alice,5652604
Alice_NOUN,5650844
>_.,5558255
Action,5454563
Action_NOUN,5421067
Anderson,5175591
Anderson_NOUN,5174089
Appendix,4949470
Appendix_NOUN,4940091
Angeles,4866235
Application,4838977
Application_NOUN,4838121
Angeles_NOUN,4809090
Allen,4773440
Allen_NOUN,4771117
Affairs,4748359
Affairs_NOUN,4746038
Answer,4629910
Abraham,4548525
Abraham_NOUN,4547220
Annual,4540642
Acts,4288753
<_.,4270743
Acts_NOUN,4157681
Alan,4129425
Alan_NOUN,4126566
Anthony,4102798
Anthony_NOUN,4100146
Area,4068779
Area_NOUN,4062338
Albert,4038640
Albert_NOUN,4036598
Agreement,3987765
Agreement_NOUN,3985840
Answer_NOUN,3931170
=_PRT,3925042
Amendment,3850269
Annual_NOUN,3843615
Amendment_NOUN,3843520
Academic,3821484
Amy,3814441
Amy_NOUN,3812687
Adams,3783739
Adams_NOUN,3782596
Aristotle,3744309
Aristotle_NOUN,3743866
AIDS,3710939
AIDS_NOUN,3666775
>_NOUN,3663709
Additionally,3625750
Additionally_ADV,3625484
AD,3574118
AD_NOUN,3564268
Access,3558810
All_NOUN,3532361
Arab_ADJ,3524890
Almost,3522834
Almost_ADV,3522542
Applications,3483506
Applications_NOUN,3481933
Accessed,3481217
<_NUM,3458856
Afghanistan,3456494
Afghanistan_NOUN,3455778
Access_NOUN,3450893
Annie,3399361
Aaron,3384286
Aaron_NOUN,3383250
Annie_NOUN,3371807
Academic_NOUN,3356406
Applied,3345652
Applied_NOUN,3336369
Additional,3327718
Additional_ADJ,3326283
Actually,3222783
Actually_ADV,3222561
All_ADV,3220495
Agriculture,3216798
Agriculture_NOUN,3215507
Ali,3210299
Ali_NOUN,3181786
Against,3113413
Archives,3103162
Archives_NOUN,3063233
Amsterdam,3063015
Amsterdam_NOUN,3061941
>_NUM,3041901
Anglo,3014704
Anyway,3003817
Anyway_ADV,3003717
Always,2989205
Accordingly,2942182
Accordingly_ADV,2942120
Approach,2933819
Arabic,2932841
Anglo_NOUN,2921200
Approach_NOUN,2909106
Ancient,2906925
AC,2890041
Andy,2879359
AT,2878504
Andy_NOUN,2878037
Ancient_ADJ,2865554
AC_NOUN,2861454
AS,2845786
Alfred,2798809
Alfred_NOUN,2796374
Apparently,2791464
Apparently_ADV,2791414
Antonio,2754847
Antonio_NOUN,2753703
AM,2736672
Arab_NOUN,2736220
Anti,2719282
Advanced,2705837
App,2690160
App_NOUN,2689224
Arizona,2655265
Arizona_NOUN,2640537
Advanced_NOUN,2636608
Am_VERB,2626150
Activity,2585719
Activity_NOUN,2584964
Along,2566087
Arnold,2560615
Arnold_NOUN,2559469
Angel,2545401
Angel_NOUN,2544207
>_ADJ,2521358
Apple,2514793
Apple_NOUN,2513080
AP,2501489
AP_NOUN,2492038
Agricultural,2476559
Along_ADP,2476134
Always_ADV,2464679
Around,2375063
According_NOUN,2373393
Abstract,2359770
@_.,2341248
Anything,2334976
Anything_NOUN,2334761
Amanda,2307686
Above,2306318
Amanda_NOUN,2303997
Animal,2284465
Ages,2274200
Ages_NOUN,2272974
Argentina,2235044
Argentina_NOUN,2234460
Alaska,2230637
Alaska_NOUN,2229853
Apart,2219090
Apart_ADV,2212631
Around_ADP,2211963
Alternative,2211788
Agent,2205873
Agent_NOUN,2205551
Animal_NOUN,2201219
Abstract_NOUN,2200320
:_NOUN,2197789
Angela,2189944
Angela_NOUN,2168240
Agricultural_NOUN,2160854
Architecture,2117596
Against_ADP,2115639
Architecture_NOUN,2115566
Appl,2099646
Appl_NOUN,2099515
Alliance,2080824
Alliance_NOUN,2079453
Anti_NOUN,2068693
Adult,2068381
Address,2039583
Acta,2026158
Acta_NOUN,2016046
<_NOUN,2006135
Alternatively,1992370
Alternatively_ADV,1991999
Account,1987363
Alabama,1978984
Alabama_NOUN,1978194
Active,1973667
Arabia,1962704
Arabia_NOUN,1962164
Activities,1949280
Activities_NOUN,1948667
Account_NOUN,1945437
Administrative,1942227
Administrative_ADJ,1941454
Abby,1931835
Abby_NOUN,1931483
Allah,1918693
Arctic,1904213
Arctic_NOUN,1903557
AN,1901219
Allah_NOUN,1876466
Anyone,1870480
Anyone_NOUN,1870281
<_ADJ,1860191
Alternative_NOUN,1859642
Accounting,1849534
Accessed_NOUN,1844579
Admiral,1842318
Address_NOUN,1834732
Admiral_NOUN,1824787
Allied,1824106
Allied_NOUN,1819299
Above_ADP,1804144
@_VERB,1799824
Arch,1799299
Arch_NOUN,1798948
Aboriginal,1760834
Arabic_NOUN,1748139
Africans,1731044
Africans_NOUN,1725979
AB,1723175
AB_NOUN,1722917
Across,1702576
Accounting_NOUN,1701501
Acute,1699014
Acute_ADJ,1698875
Across_ADP,1685860
AM_NOUN,1677189
ABC,1651929
ABC_NOUN,1651416
Alzheimer,1648906
Arabs,1645282
Arabs_NOUN,1645150
Amazon,1640818
Alzheimer_NOUN,1639833
Abu,1639640
Armstrong,1633441
Armstrong_NOUN,1632796
Accessed_VERB,1617183
Amazon_NOUN,1612858
AA,1609295
Administrator,1604893
Administrator_NOUN,1604682
AR,1590431
Advances,1579905
Advances_NOUN,1579374
Abu_NOUN,1578811
Andrea,1565935
Already,1561305
ATP,1561177
Andrea_NOUN,1558323
Already_ADV,1556744
Anthropology,1556452
