ngram,freq
",_.",2055181973
._.,1470188151
de_ADP,1340848690
la_DET,725857283
et_CONJ,615335878
à_ADP,539435640
le_DET,480196887
les_DET,415605388
un_DET,324176252
en_ADP,295109098
une_DET,269381165
--_.,263698722
du_ADP,262274019
l'_NOUN,237249930
dans_ADP,233829326
des_ADP,226879117
qui_PRON,225096652
que_CONJ,208848774
pas_ADV,196116097
pour_ADP,192231257
il_PRON,171878247
ne_ADV,169965275
est_VERB,166576378
se_PRON,161833781
d'_ADP,158030832
:_.,157795957
au_ADP,151228600
)_.,149890677
par_ADP,149560963
des_DET,148863205
(_.,146250139
sur_ADP,143808942
-_PRON,137064664
l'_ADV,133166310
plus_ADV,132572474
son_DET,126660261
je_PRON,117174732
a_VERB,117093992
?_.,112445514
Il_PRON,110605818
avec_ADP,100802289
elle_PRON,96431655
lui_PRON,94430955
ou_CONJ,91284886
-_NOUN,90247577
l'_VERB,89850892
sa_DET,87723979
vous_PRON,87573302
;_.,87433704
!_.,83452996
Le_DET,81473267
nous_PRON,77284306
Je_PRON,76739523
ses_DET,75714649
..._.,74877364
La_DET,74575974
ce_DET,73704887
que_PRON,72922811
mais_CONJ,72427107
avait_VERB,71055354
ce_PRON,69879804
d'_DET,68843175
sont_VERB,68160290
»_ADJ,67178447
'_DET,66277502
comme_ADP,65793936
d'_ADJ,62258991
cette_DET,61401160
être_VERB,61274474
Les_DET,60390794
aux_ADP,59443386
était_VERB,58929764
l_DET,58341710
on_PRON,57627078
me_PRON,56643294
bien_ADV,53289243
le_PRON,52349979
«_NOUN,49063267
d'_ADV,48535133
'_ADP,47823791
Elle_PRON,47079427
d_ADP,46423780
qu'il_ADV,44259262
sans_ADP,43804157
»_NOUN,43063807
y_PRON,42951858
L'_NOUN,42766516
faire_VERB,42543148
ces_DET,41344602
peut_VERB,41050606
aussi_ADV,40461085
leur_DET,40385064
si_CONJ,39128843
fait_VERB,38787530
où_PRON,38312554
été_VERB,36652189
Mais_CONJ,36295833
mon_DET,36282945
Et_CONJ,35988664
dit_VERB,35918701
c'est_VERB,34827345
en_PRON,33836213
même_ADV,33814390
entre_ADP,33554103
moi_PRON,32491507
«_ADJ,31991900
ont_VERB,31772198
temps_NOUN,31445431
En_ADP,31383352
même_ADJ,30740548
encore_ADV,30289043
très_ADV,29316132
-_ADJ,28770536
dont_PRON,28384392
autre_ADJ,28341634
ils_PRON,28030072
n'est_VERB,27706411
là_ADV,27572336
peu_ADV,27308046
les_PRON,27158786
vie_NOUN,25484848
fois_NOUN,25325917
On_PRON,24700214
leurs_DET,24457697
ma_DET,24424425
avoir_VERB,24100855
tout_ADV,23997794
l'_PRON,23756160
sous_ADP,23150624
tous_ADJ,22961452
vers_ADP,22854213
deux_DET,22801025
homme_NOUN,22748052
suis_VERB,22607439
dire_VERB,22524255
la_PRON,22429402
toujours_ADV,22249493
alors_ADV,22018169
de_DET,21698485
moins_ADV,21438400
"""_.",21328759
rien_PRON,21102887
donc_ADV,21015034
non_ADV,20921655
ça_PRON,20884482
Un_DET,20444335
après_ADP,20424610
monde_NOUN,20277397
que_ADV,20177538
quand_CONJ,20067272
ainsi_ADV,19761850
Dans_ADP,19673738
jamais_ADV,19672362
À_ADP,19596894
p_NOUN,19082670
autres_ADJ,18909099
avant_ADP,18740541
cela_PRON,18684835
Une_DET,18651640
deux_ADJ,18599099
tout_PRON,18484602
notre_DET,18357577
t_PRON,18252502
voir_VERB,17848021
Pour_ADP,17735896
yeux_NOUN,17721501
contre_ADP,17156337
quelques_DET,17139607
tu_PRON,16869048
[_.,16695438
«_VERB,16641663
tête_NOUN,16494746
]_.,16402507
cas_NOUN,16325422
Si_CONJ,16266820
Ils_PRON,16143779
jour_NOUN,16117666
mes_DET,16101373
ans_NOUN,16087834
«_DET,15962108
chez_ADP,15923929
Vous_PRON,15621811
celui_PRON,15603221
Paris_NOUN,15550022
faut_VERB,15549612
depuis_ADP,15405318
étaient_VERB,15369234
Nous_PRON,15264457
votre_DET,15193605
fut_VERB,15013247
-_PRT,14857957
puis_CONJ,14838574
trop_ADV,14770109
cet_DET,14620997
déjà_ADV,14590612
grand_ADJ,14534543
moment_NOUN,14505017
car_CONJ,14463124
si_ADV,14348524
femme_NOUN,14266666
main_NOUN,14227158
-_ADV,14176784
tout_ADJ,14125370
va_VERB,14079782
celle_PRON,14033879
De_ADP,13958496
chose_NOUN,13938494
Cette_DET,13938193
qu'elle_ADV,13914264
ici_ADV,13795891
petit_ADJ,13624563
travail_NOUN,13361777
père_NOUN,13217302
toutes_ADJ,13188293
fait_NOUN,13158414
pays_NOUN,13133910
place_NOUN,13109409
point_NOUN,13058878
doit_VERB,13000300
comme_CONJ,12899436
Au_ADP,12872309
d'_PRON,12775664
droit_NOUN,12761475
corps_NOUN,12626777
eux_PRON,12586274
France_NOUN,12471444
nos_DET,12393615
Ce_PRON,12307809
hommes_NOUN,12234675
avaient_VERB,12173851
soit_VERB,12148052
ceux_PRON,12047312
effet_NOUN,12036062
mère_NOUN,11937388
C'est_VERB,11922305
%_NOUN,11894127
partie_NOUN,11803579
part_NOUN,11794395
première_ADJ,11685771
années_NOUN,11657759
premier_ADJ,11554474
grande_ADJ,11529779
Ce_DET,11481170
/_.,11463116
chaque_DET,11401444
jours_NOUN,11345288
quelque_DET,11322468
souvent_ADV,11320518
elles_PRON,11318334
devant_ADP,11306854
un_PRON,11240041
beaucoup_ADV,11184367
sens_NOUN,11171921
n'a_VERB,11157036
leur_PRON,10996030
Dieu_NOUN,10976984
prendre_VERB,10941516
jusqu'à_ADP,10925866
question_NOUN,10887504
qu'il_PRON,10828788
jeune_ADJ,10825092
côté_NOUN,10810143
enfants_NOUN,10809179
autres_PRON,10808264
serait_VERB,10772641
ni_CONJ,10746732
1_ADJ,10736393
histoire_NOUN,10731588
fin_NOUN,10658479
n'était_VERB,10622829
bon_ADJ,10595952
pendant_ADP,10568564
tant_ADV,10514519
voix_NOUN,10482587
également_ADV,10392639
nom_NOUN,10332645
eu_VERB,10294682
maison_NOUN,10237386
lieu_NOUN,10180070
aurait_VERB,10155986
seul_ADJ,10145171
sais_VERB,10144656
regard_NOUN,10080336
air_NOUN,10036520
Tu_NOUN,10027421
2_ADJ,10001681
s'est_VERB,9979621
M._NOUN,9974940
cœur_NOUN,9927815
ville_NOUN,9894505
exemple_NOUN,9805529
seulement_ADV,9776325
toute_DET,9743224
trois_DET,9722621
porte_NOUN,9715665
quoi_PRON,9670993
qu'on_ADV,9645893
