ngram,freq,share,cumshare,rank
de,1379986606,0.0481,0.0481,1
la,823650813,0.0287,0.0768,2
et,651450770,0.0227,0.0995,3
le,614778717,0.0214,0.1209,4
à,577577609,0.0201,0.141,5
l',527188618,0.0184,0.1594,6
les,503624031,0.0175,0.1769,7
en,390604058,0.0136,0.1906,8
des,384705315,0.0134,0.204,9
un,372111345,0.013,0.2169,10
d',370306287,0.0129,0.2298,11
il,367258431,0.0128,0.2426,12
que,308592281,0.0108,0.2534,13
une,305141330,0.0106,0.264,14
est,298461365,0.0104,0.2744,15
du,269271177,0.0094,0.2838,16
dans,253528007,0.0088,0.2926,17
qui,228671263,0.008,0.3006,18
pour,209998348,0.0073,0.3079,19
pas,206722861,0.0072,0.3151,20
je,193924074,0.0068,0.3219,21
qu',178160039,0.0062,0.3281,22
elle,176030334,0.0061,0.3342,23
ne,174874707,0.0061,0.3403,24
au,169376892,0.0059,0.3462,25
ce,168360617,0.0059,0.3521,26
se,163590803,0.0057,0.3578,27
par,156321990,0.0054,0.3632,28
a,154474517,0.0054,0.3686,29
sur,149397045,0.0052,0.3738,30
plus,136841941,0.0048,0.3786,31
son,134503327,0.0047,0.3833,32
n',130389016,0.0045,0.3878,33
s',119112948,0.0042,0.392,34
mais,109277203,0.0038,0.3958,35
avec,106402072,0.0037,0.3995,36
vous,103219801,0.0036,0.4031,37
on,100332709,0.0035,0.4066,38
c',96742500,0.0034,0.4099,39
était,96121051,0.0033,0.4133,40
lui,96018718,0.0033,0.4166,41
nous,94493501,0.0033,0.4199,42
ou,93631155,0.0033,0.4232,43
sa,93294583,0.0033,0.4264,44
comme,87072875,0.003,0.4295,45
avait,84141407,0.0029,0.4324,46
ses,79985038,0.0028,0.4352,47
tout,77060818,0.0027,0.4379,48
cette,75345546,0.0026,0.4405,49
si,70352934,0.0025,0.4429,50
sont,68475032,0.0024,0.4453,51
même,67934864,0.0024,0.4477,52
j',67274854,0.0023,0.45,53
être,66728217,0.0023,0.4524,54
me,64823260,0.0023,0.4546,55
y,63761548,0.0022,0.4568,56
bien,62861656,0.0022,0.459,57
ils,62599625,0.0022,0.4612,58
aux,62182010,0.0022,0.4634,59
tu,54393079,0.0019,0.4653,60
leur,53064557,0.0018,0.4671,61
fait,52115084,0.0018,0.4689,62
ces,48951382,0.0017,0.4707,63
sans,48567420,0.0017,0.4723,64
ai,46997364,0.0016,0.474,65
deux,46505779,0.0016,0.4756,66
peut,44091245,0.0015,0.4771,67
faire,43534550,0.0015,0.4787,68
où,42654791,0.0015,0.4801,69
aussi,42295369,0.0015,0.4816,70
mon,41417447,0.0014,0.4831,71
ont,37656659,0.0013,0.4844,72
été,37602794,0.0013,0.4857,73
entre,36387225,0.0013,0.4869,74
dit,36034619,0.0013,0.4882,75
moi,35243107,0.0012,0.4894,76
autre,34723524,0.0012,0.4906,77
non,32902407,0.0011,0.4918,78
tous,32784741,0.0011,0.4929,79
temps,31902539,0.0011,0.494,80
m',31510977,0.0011,0.4951,81
encore,31498312,0.0011,0.4962,82
très,31094465,0.0011,0.4973,83
après,30787337,0.0011,0.4984,84
alors,30340235,0.0011,0.4995,85
autres,30165767,0.0011,0.5005,86
là,29531840,0.001,0.5015,87
ma,29166752,0.001,0.5025,88
dont,28541512,0.001,0.5035,89
quand,28515100,0.001,0.5045,90
peu,28441281,0.001,0.5055,91
sous,27506119,0.001,0.5065,92
ça,26297844,0.0009,0.5074,93
vie,26218577,0.0009,0.5083,94
avoir,25601531,0.0009,0.5092,95
leurs,25580128,0.0009,0.5101,96
ainsi,25468125,0.0009,0.511,97
fois,25327497,0.0009,0.5119,98
avant,24850109,0.0009,0.5127,99
cela,24747043,0.0009,0.5136,100
rien,24116812,0.0008,0.5144,101
vers,23632203,0.0008,0.5153,102
homme,23588264,0.0008,0.5161,103
toujours,23128074,0.0008,0.5169,104
puis,22926685,0.0008,0.5177,105
suis,22845626,0.0008,0.5185,106
dire,22760775,0.0008,0.5193,107
donc,22511651,0.0008,0.5201,108
toute,22117900,0.0008,0.5208,109
moins,21754628,0.0008,0.5216,110
monde,21088469,0.0007,0.5223,111
jamais,20897000,0.0007,0.5231,112
quelques,20645272,0.0007,0.5238,113
notre,20551467,0.0007,0.5245,114
voir,20296482,0.0007,0.5252,115
étaient,19869666,0.0007,0.5259,116
elles,19553949,0.0007,0.5266,117
depuis,19202466,0.0007,0.5272,118
mes,19092106,0.0007,0.5279,119
votre,18907569,0.0007,0.5286,120
contre,18730544,0.0007,0.5292,121
soit,18639568,0.0006,0.5299,122
grand,18178193,0.0006,0.5305,123
jusqu',17874623,0.0006,0.5311,124
yeux,17764715,0.0006,0.5317,125
celui,17635329,0.0006,0.5324,126
toutes,17549275,0.0006,0.533,127
cet,17322519,0.0006,0.5336,128
car,17240715,0.0006,0.5342,129
chez,16922844,0.0006,0.5348,130
tête,16612540,0.0006,0.5353,131
cas,16507729,0.0006,0.5359,132
te,16505652,0.0006,0.5365,133
jour,16386699,0.0006,0.5371,134
trois,16386654,0.0006,0.5376,135
ans,16165054,0.0006,0.5382,136
faut,16060255,0.0006,0.5388,137
