ngram,freq
de _DET_ _NOUN_,355389055
de_ADP _DET_ _NOUN_,355385249
_START_ _DET_ _NOUN_,279388406
la _NOUN_ _ADP_,241198938
la_DET _NOUN_ _ADP_,241198533
_START_ _PRON_ _VERB_,219329832
de _NOUN_ _._,205068825
de_ADP _NOUN_ _._,203620558
de_ADP la_DET _NOUN_,182236087
de_ADP la _NOUN_,182236087
de la _NOUN_,182236087
de la_DET _NOUN_,182236087
_VERB_ ._. _END_,178201523
_VERB_ . _END_,178201523
dans_ADP _DET_ _NOUN_,176438026
dans _DET_ _NOUN_,176438026
à _DET_ _NOUN_,174901285
à_ADP _DET_ _NOUN_,174901285
la _NOUN_ _._,167782079
la_DET _NOUN_ _._,167780681
le _NOUN_ _ADP_,153581043
le_DET _NOUN_ _ADP_,153580939
de _NOUN_ _NOUN_,128487688
de_ADP _NOUN_ _NOUN_,128375201
les _NOUN_ _ADP_,109420935
les_DET _NOUN_ _ADP_,109420409
de _NOUN_ _ADP_,107759973
l' _NOUN_ _ADP_,107331191
de_ADP _NOUN_ _ADP_,106858203
_START_ _NOUN_ _._,106035491
et _DET_ _NOUN_,105811982
et_CONJ _DET_ _NOUN_,105811982
la _NOUN_ _ADJ_,104340817
la_DET _NOUN_ _ADJ_,104339806
sur _DET_ _NOUN_,100776534
sur_ADP _DET_ _NOUN_,100776534
la _NOUN_ de,98042984
la _NOUN_ de_ADP,98042970
la_DET _NOUN_ de,98042850
la_DET _NOUN_ de_ADP,98042836
"de _NOUN_ ,",96971108
"de _NOUN_ ,_.",96969043
"de_ADP _NOUN_ ,",96375563
"de_ADP _NOUN_ ,_.",96373517
de l' _NOUN_,89497174
de_ADP l' _NOUN_,89495314
de l'_NOUN _NOUN_,89495191
de_ADP l'_NOUN _NOUN_,89494920
des _NOUN_ _ADP_,89295246
le _NOUN_ _._,89151127
le_DET _NOUN_ _._,89150973
des _NOUN_ _ADJ_,87770213
que _DET_ _NOUN_,87665993
ne_ADV _VERB_ _ADV_,85863777
ne _VERB_ _ADV_,85863777
d' _DET_ _NOUN_,85819508
_VERB_ - _PRON_,83602220
_VERB_ -_PRON _PRON_,83601250
_START_ _NOUN_ _NOUN_,83530478
de _NOUN_ _ADJ_,83025532
de_ADP _NOUN_ _ADJ_,82441300
des _NOUN_ _._,80879942
que_CONJ _DET_ _NOUN_,80554349
du _NOUN_ _._,78951467
du_ADP _NOUN_ _._,77781187
un _NOUN_ _ADP_,76271288
un_DET _NOUN_ _ADP_,76270014
"la _NOUN_ ,",76118896
"la _NOUN_ ,_.",76118008
"la_DET _NOUN_ ,",76117898
"la_DET _NOUN_ ,_.",76117013
le _NOUN_ de,75609810
le_DET _NOUN_ de,75609797
le _NOUN_ de_ADP,75609753
le_DET _NOUN_ de_ADP,75609740
par _DET_ _NOUN_,75255239
par_ADP _DET_ _NOUN_,75255239
les _NOUN_ _._,72723481
les_DET _NOUN_ _._,72722565
un _NOUN_ _ADJ_,71781542
un_DET _NOUN_ _ADJ_,71780166
l' _NOUN_ _._,71588512
à la_DET _NOUN_,71478892
à_ADP la _NOUN_,71478892
à_ADP la_DET _NOUN_,71478892
à la _NOUN_,71478892
de _NOUN_ .,71286169
de _NOUN_ ._.,71284837
_START_ _._ _NOUN_,71212252
une _NOUN_ _ADJ_,71173486
une_DET _NOUN_ _ADJ_,71171732
de_ADP _NOUN_ .,70695797
de_ADP _NOUN_ ._.,70694466
une _NOUN_ _ADP_,70466207
une_DET _NOUN_ _ADP_,70464802
_START_ Il_PRON _VERB_,69652298
_START_ Il _VERB_,69652298
les _NOUN_ _ADJ_,67805994
les_DET _NOUN_ _ADJ_,67805234
en _NOUN_ _._,67181577
en_ADP _NOUN_ _._,67181521
se _VERB_ _ADP_,66465371
se_PRON _VERB_ _ADP_,66465371
_START_ _ADP_ _DET_,65822480
la _NOUN_ .,65363342
la_DET _NOUN_ .,65363124
la _NOUN_ ._.,65362682
la_DET _NOUN_ ._.,65362464
ne_ADV _VERB_ pas,61918333
ne _VERB_ pas,61918333
ne _VERB_ pas_ADV,61918332
ne_ADV _VERB_ pas_ADV,61918332
en _NOUN_ _ADP_,61095404
en_ADP _NOUN_ _ADP_,61095345
_START_ _PRON_ _PRON_,60655928
et _ADP_ _NOUN_,60406665
et_CONJ _ADP_ _NOUN_,60406665
l'_NOUN _NOUN_ _ADP_,59910096
au _NOUN_ _ADP_,59827872
au_ADP _NOUN_ _ADP_,59827872
du _NOUN_ _ADP_,58784140
le _NOUN_ _ADJ_,58779047
le_DET _NOUN_ _ADJ_,58779026
du_ADP _NOUN_ _ADP_,57887387
_START_ --_. _NOUN_,56750715
_START_ -- _NOUN_,56750715
l'_NOUN _NOUN_ _._,56573875
de _NOUN_ _VERB_,56433848
de_ADP _NOUN_ _VERB_,56177312
_START_ _ADP_ _NOUN_,55985797
d'_ADP _DET_ _NOUN_,55518634
que _PRON_ _VERB_,54928054
des_ADP _NOUN_ _._,52776254
l' _NOUN_ _ADJ_,52316404
l _DET_ _NOUN_,51201219
l_DET _DET_ _NOUN_,51196892
l ' _NOUN_,50774099
l '_DET _NOUN_,50774066
l_DET '_DET _NOUN_,50774066
l_DET ' _NOUN_,50774066
les _NOUN_ de,50718635
les _NOUN_ de_ADP,50718596
les_DET _NOUN_ de,50718398
les_DET _NOUN_ de_ADP,50718359
_START_ _NOUN_ _VERB_,50618316
et _PRON_ _VERB_,49920687
et_CONJ _PRON_ _VERB_,49920687
de _VERB_ _DET_,49525047
de_ADP _VERB_ _DET_,49523763
d' _NOUN_ _._,49504415
_START_ Le _NOUN_,49250592
_START_ Le_DET _NOUN_,49250592
la _NOUN_ _VERB_,49137815
la_DET _NOUN_ _VERB_,49137329
son _NOUN_ _._,49003938
son_DET _NOUN_ _._,48987535
l' _NOUN_ de,48945054
l' _NOUN_ de_ADP,48944942
des_ADP _NOUN_ _ADP_,48679959
avec _DET_ _NOUN_,48678810
avec_ADP _DET_ _NOUN_,48678810
à_ADP _NOUN_ _NOUN_,48534410
à _NOUN_ _NOUN_,48534410
pour_ADP _DET_ _NOUN_,47895269
pour _DET_ _NOUN_,47895269
des_ADP _NOUN_ _ADJ_,46786563
un _NOUN_ _._,46465524
un_DET _NOUN_ _._,46462915
_START_ _NOUN_ .,45457620
_START_ _NOUN_ ._.,45454267
_START_ La_DET _NOUN_,44580006
_START_ La _NOUN_,44580006
_._ . _END_,44569969
_._ ._. _END_,44569969
de _NOUN_ _CONJ_,44392267
de_ADP _NOUN_ _CONJ_,44197365
d' un _NOUN_,44191587
d' un_DET _NOUN_,44184042
les _NOUN_ _VERB_,43869729
les_DET _NOUN_ _VERB_,43869442
la _ADJ_ _NOUN_,42954399
la_DET _ADJ_ _NOUN_,42930332
le _NOUN_ _VERB_,42671088
le_DET _NOUN_ _VERB_,42671071
à _NOUN_ _._,42079930
à_ADP _NOUN_ _._,42079930
"_VERB_ ,_. _ADP_",42063483
"_VERB_ , _ADP_",42063483
d' une _NOUN_,41171161
d' une_DET _NOUN_,41168563
des_DET _NOUN_ _ADJ_,40983633
"le _NOUN_ ,",40807439
"le_DET _NOUN_ ,",40807378
"le _NOUN_ ,_.",40806436
"le_DET _NOUN_ ,_.",40806375
des_DET _NOUN_ _ADP_,40615131
des _NOUN_ de,40372020
des _NOUN_ de_ADP,40371986
un _ADJ_ _NOUN_,40290732
un_DET _ADJ_ _NOUN_,40238975
une _ADJ_ _NOUN_,40114013
"_VERB_ ,_. _VERB_",39738725
"_VERB_ , _VERB_",39738725
_START_ _._ _PRON_,39590166
"_VERB_ ,_. _PRON_",39453370
"_VERB_ , _PRON_",39453370
de _PRON_ _VERB_,39263033
de_ADP _PRON_ _VERB_,39262129
qui _PRON_ _VERB_,39126913
qui_PRON _PRON_ _VERB_,39126913
une_DET _ADJ_ _NOUN_,39003044
à l' _NOUN_,38972357
à_ADP l' _NOUN_,38972354
à l'_NOUN _NOUN_,38972174
à_ADP l'_NOUN _NOUN_,38972174
"des _NOUN_ ,",38843137
"des _NOUN_ ,_.",38842436
_START_ _ADV_ _._,38819274
un _NOUN_ de,37817704
un _NOUN_ de_ADP,37817680
un_DET _NOUN_ de,37817165
un_DET _NOUN_ de_ADP,37817141
_START_ Les_DET _NOUN_,37669108
_START_ Les _NOUN_,37669108
_START_ -- _PRON_,37452943
_START_ --_. _PRON_,37452943
dans_ADP le_DET _NOUN_,37434224
dans le_DET _NOUN_,37434224
dans le _NOUN_,37434224
dans_ADP le _NOUN_,37434224
_START_ _DET_ _ADJ_,37372876
qui_PRON _VERB_ _VERB_,37231458
qui _VERB_ _VERB_,37231458
dans_ADP la_DET _NOUN_,37148859
dans la_DET _NOUN_,37148859
dans_ADP la _NOUN_,37148859
dans la _NOUN_,37148859
la _NOUN_ _CONJ_,36528439
la_DET _NOUN_ _CONJ_,36528038
qui_PRON _VERB_ _DET_,36186553
qui _VERB_ _DET_,36186553
du _NOUN_ _ADJ_,35925822
_START_ _CONJ_ _PRON_,35870392
"_START_ _ADV_ ,",35703207
"_START_ _ADV_ ,_.",35703207
du_ADP _NOUN_ _ADJ_,35526446
"du _NOUN_ ,",35467568
"du _NOUN_ ,_.",35465679
"les _NOUN_ ,",35461067
"les_DET _NOUN_ ,",35460587
"les _NOUN_ ,_.",35460509
"les_DET _NOUN_ ,_.",35460030
une _NOUN_ de,35440180
une _NOUN_ de_ADP,35440171
une_DET _NOUN_ de,35439353
une_DET _NOUN_ de_ADP,35439344
"du_ADP _NOUN_ ,",34935526
"du_ADP _NOUN_ ,_.",34933650
de _NOUN_ et,34329833
de _NOUN_ et_CONJ,34329833
l'_NOUN _NOUN_ _ADJ_,34292503
de_ADP _NOUN_ et,34233153
de_ADP _NOUN_ et_CONJ,34233153
le _NOUN_ .,34079536
le_DET _NOUN_ .,34079477
le _NOUN_ ._.,34079275
le_DET _NOUN_ ._.,34079216
sa _NOUN_ _._,34013125
sa_DET _NOUN_ _._,34011840
_START_ Je_PRON _VERB_,34010715
_START_ Je _VERB_,34010715
qui _VERB_ _ADP_,33836079
qui_PRON _VERB_ _ADP_,33836079
la _NOUN_ des,33029549
la_DET _NOUN_ des,33029517
la _NOUN_ des_ADP,33025249
la_DET _NOUN_ des_ADP,33025217
le _ADJ_ _NOUN_,33008967
le_DET _ADJ_ _NOUN_,33008919
_START_ Elle _VERB_,32944562
_START_ Elle_PRON _VERB_,32944562
"en _NOUN_ ,",32941752
"en_ADP _NOUN_ ,",32941735
"en _NOUN_ ,_.",32940945
"en_ADP _NOUN_ ,_.",32940928
"l' _NOUN_ ,",32755673
"l' _NOUN_ ,_.",32755100
à _VERB_ _DET_,32382470
à_ADP _VERB_ _DET_,32382316
"_START_ _NOUN_ ,",32140445
"_START_ _NOUN_ ,_.",32130618
les _ADJ_ _NOUN_,32106688
les_DET _ADJ_ _NOUN_,32105379
une _NOUN_ _._,32092992
une_DET _NOUN_ _._,32092110
au _NOUN_ de,30883738
au_ADP _NOUN_ de,30883738
au _NOUN_ de_ADP,30883671
au_ADP _NOUN_ de_ADP,30883671
la _NOUN_ du,30795562
la_DET _NOUN_ du,30795540
la _NOUN_ du_ADP,30795539
la_DET _NOUN_ du_ADP,30795517
pour_ADP _VERB_ _DET_,30649897
pour _VERB_ _DET_,30649897
"_VERB_ ,_. _CONJ_",30386513
"_VERB_ , _CONJ_",30386513
_START_ _NOUN_ _ADJ_,30132030
de _ADJ_ _NOUN_,29674643
d'_ADP une _NOUN_,29600067
d'_ADP une_DET _NOUN_,29600067
du _NOUN_ .,29415152
du _NOUN_ ._.,29414786
_START_ _NOUN_ _ADP_,29388217
au_ADP _NOUN_ _._,29154332
au _NOUN_ _._,29154332
la _NOUN_ et_CONJ,29003581
la _NOUN_ et,29003581
la_DET _NOUN_ et_CONJ,29003486
la_DET _NOUN_ et,29003486
du_ADP _NOUN_ .,28958518
du_ADP _NOUN_ ._.,28958153
que_CONJ _PRON_ _VERB_,28937000
ses _NOUN_ _._,28625006
ses_DET _NOUN_ _._,28625006
il _PRON_ _VERB_,28579054
il_PRON _PRON_ _VERB_,28579054
et_CONJ _ADP_ _DET_,28298723
et _ADP_ _DET_,28298723
des_DET _NOUN_ _._,28103635
des _NOUN_ .,27913784
des _NOUN_ ._.,27913556
en _VERB_ _DET_,27715766
il _VERB_ _VERB_,27586316
il_PRON _VERB_ _VERB_,27586316
des _NOUN_ _VERB_,27553578
d' _NOUN_ _ADP_,27334027
et _VERB_ _DET_,27237189
et_CONJ _VERB_ _DET_,27237189
sur_ADP le _NOUN_,27025128
sur le_DET _NOUN_,27025128
sur_ADP le_DET _NOUN_,27025128
sur le _NOUN_,27025128
l' _NOUN_ .,27002818
l' _NOUN_ ._.,27002457
_START_ _ADV_ _VERB_,26955969
de _VERB_ _ADP_,26664085
de_ADP _VERB_ _ADP_,26663409
l'_NOUN _NOUN_ de,26483574
l'_NOUN _NOUN_ de_ADP,26483465
se _VERB_ _ADV_,26344278
se_PRON _VERB_ _ADV_,26344278
l'_ADV _NOUN_ _ADP_,26262745
_START_ _PRON_ _ADV_,26175102
qui _VERB_ _ADV_,26140345
qui_PRON _VERB_ _ADV_,26140345
les _NOUN_ .,26073518
les _NOUN_ ._.,26073363
les_DET _NOUN_ .,26073254
les_DET _NOUN_ ._.,26073099
"l'_NOUN _NOUN_ ,",26026841
"l'_NOUN _NOUN_ ,_.",26026504
de _NOUN_ de,25995536
de _NOUN_ de_ADP,25994234
de_ADP _NOUN_ de,25794613
de_ADP _NOUN_ de_ADP,25793311
d'_ADP un _NOUN_,25772703
d'_ADP un_DET _NOUN_,25772422
dans les_DET _NOUN_,25666837
dans les _NOUN_,25666837
dans_ADP les _NOUN_,25666837
dans_ADP les_DET _NOUN_,25666837
et_CONJ _VERB_ _ADP_,25628352
et _VERB_ _ADP_,25628352
que_PRON _PRON_ _VERB_,25616679
et_CONJ _NOUN_ _._,25582389
