ngram,freq
t - il,10905618
peut - être,8202799
et de la,6915867
d ' un,6627255
t - elle,6504923
d ' une,6193699
que l' on,5916429
il y a,5913413
lui - même,5281260
Il y a,4289980
à la fois,4095226
de ne pas,4071546
et de l',3963386
à - dire,3876692
dit - il,3814393
ne sont pas,3792549
ce que je,3608471
c'est - à,3587245
de la vie,3507547
plus en plus,3242064
ce n'est pas,3236943
Qu'est - ce,3191441
de plus en,3169425
à partir de,3001102
que je ne,2937698
tout le monde,2898462
ce qui est,2887790
de l' autre,2839168
elle - même,2738768
de la ville,2686905
ce que tu,2641558
celui - ci,2614141
Ce n'est pas,2554890
Peut - être,2533780
en train de,2524796
au - dessus,2517489
l' un des,2494820
de l' homme,2481212
Est - ce,2438099
dit - elle,2435217
le temps de,2366713
la première fois,2354780
et à la,2296036
celle - ci,2289919
point de vue,2259388
la fin de,2233366
de tous les,2209253
en même temps,2207507
n'y a pas,2198139
a - t,2189154
tout à fait,2162015
il n'y a,2154815
ne sais pas,2129061
que ce soit,2108231
à l' intérieur,2078322
un peu plus,2010388
de la société,1999608
dans le cadre,1983717
ce que vous,1967827
la mise en,1955854
tout ce qui,1942086
à la fin,1939948
à l' autre,1873692
d' une voix,1873378
au - delà,1863052
ne suis pas,1843918
qu'il y a,1819476
de l' État,1813101
je me suis,1811411
États - Unis,1801105
une sorte de,1788921
plus ou moins,1780504
Je ne sais,1773314
Il n'y a,1763216
en tant que,1751617
un peu de,1748818
il y avait,1740085
que je suis,1738290
pour ne pas,1730275
la plupart des,1729225
dans le monde,1726557
de ce que,1717845
à ce que,1715339
tout de suite,1704927
ne peut pas,1700085
de l' eau,1699839
de ce qui,1674423
la fin du,1635210
je n'ai pas,1604827
ce qui se,1602640
tous les jours,1590588
de la maison,1581178
Il y avait,1575712
se mit à,1568919
rendez - vous,1565900
que nous avons,1562076
est - ce,1538013
le nom de,1525714
après - midi,1512839
demanda - t,1503259
de toutes les,1502721
à cause de,1496541
l' une des,1490420
où l' on,1476074
de l' histoire,1465790
à la maison,1459223
de la loi,1454067
au cours de,1452266
tout ce que,1440426
à côté de,1438386
et à l',1430732
au sein de,1418312
si l' on,1417088
de la République,1409968
à l' heure,1404830
par rapport à,1404241
le droit de,1404014
de la famille,1398925
l ' on,1394823
quelque chose de,1392334
je l' ai,1377183
de la nature,1376937
eux - mêmes,1368656
je ne sais,1360115
ce que nous,1346836
ne peux pas,1345916
de la guerre,1344596
Je n'ai pas,1340663
est - il,1337333
que vous avez,1306819
que je me,1306482
pour la première,1302675
dis - je,1298135
ce que l',1295513
n'est - ce,1291115
à l' époque,1279039
en cas de,1278800
de la même,1274870
de la France,1270691
un coup de,1267621
qu'est - ce,1265154
tout de même,1262464
je ne suis,1261225
d' autant plus,1259462
en matière de,1257677
moi - même,1256323
la mort de,1253654
de sa vie,1250323
d' un air,1240198
coup d' œil,1239655
à son tour,1232236
là - bas,1230540
à tous les,1230032
l' ensemble des,1228482
de la population,1224298
et d' une,1220243
au milieu de,1202270
de la part,1196590
à l' égard,1193905
Je me suis,1187932
tous les deux,1186737
y a des,1183527
de l' entreprise,1181086
d' un ton,1175567
que tu as,1173691
d ' autres,1163976
de l' article,1163093
ce n'était pas,1155185
l ' autre,1154838
peu à peu,1153479
le plus souvent,1151370
la jeune femme,1146745
le fait que,1139750
Je ne suis,1139559
de la mort,1131439
de la rue,1130960
l' idée de,1130595
au lieu de,1119096
ne veux pas,1105489
y a un,1105283
à la main,1101989
dans les années,1099842
d' entre eux,1097921
l' un de,1095282
l' histoire de,1086013
de ceux qui,1085986
sur la table,1083024
la porte de,1079528
de l' enfant,1078384
ce qui concerne,1074061
au moment où,1073854
d ' être,1072385
de l' ordre,1072209
ne peut être,1067869
un coup d',1065741
"moi , je",1064330
il n'est pas,1060614
de son père,1060317
a pas de,1056164
partie de la,1050335
on ne peut,1048592
à peu près,1047381
et d' un,1045972
dans ses bras,1045212
le cadre de,1044911
dans la mesure,1042723
jusqu'à ce que,1041109
lors de la,1040551
du mal à,1034989
dans la vie,1034983
de la main,1034559
la mesure où,1034474
côté de la,1032588
dans la salle,1024505
de l' année,1022925
dans tous les,1020300
à la porte,1017647
la question de,1017058
de l' art,1013773
y a une,1012245
celui de la,1012220
de la nuit,1010865
et de ses,1005439
mise en œuvre,1001470
pas du tout,998368
ou de la,996757
n'est pas un,996539
qui n'est pas,994222
entre les deux,990505
de la porte,983013
l' autre côté,980034
une partie de,973850
à l' aide,969637
un de ses,963284
l' occasion de,963095
le point de,960336
à - vis,956119
à l' origine,955098
le long de,953960
que les autres,950342
l' absence de,945045
et je ne,944877
en fonction de,942592
de sa mère,941076
d' autre part,941032
vis - à,937741
la salle de,937644
à la suite,935364
et de son,933728
sur le plan,932377
de la terre,929603
d' une part,927583
sur le sol,926441
dans le cas,924890
celle de la,923412
à propos de,923273
pas non plus,921623
de la région,920314
l' on peut,919616
à ne pas,917717
Celui - ci,916995
la vie de,916858
n'est pas le,916197
de l' argent,914041
d' un coup,912708
à la recherche,902828
ne faut pas,902129
mais je ne,901856
en raison de,894573
par - dessus,894565
ne pouvait pas,893860
je ne peux,891145
dans le domaine,888864
Je l' ai,886343
le nombre de,881882
avait - il,880115
près de la,874746
mise en place,874358
à travers les,873917
la tête de,872196
n'est pas une,871725
l' objet d',870870
en tout cas,866375
à la vie,864814
l ' homme,862620
de la situation,861536
le cas de,860892
à l' école,859250
au fond de,857905
ceux - ci,853507
ainsi que les,852815
ce que j'ai,851681
il n'y avait,848591
à la tête,845793
un certain nombre,845443
fin de la,845428
le plus grand,845350
de la tête,844629
autour de la,843742
dans la chambre,843632
ce genre de,842555
de la première,841711
grand - mère,841549
à l' aise,840812
l' intérieur de,835693
la tête et,834274
que je vous,832398
d' un autre,832361
dans la rue,829545
peut -- être,829159
au bout de,826382
et je me,825815
ou d' une,825132
la notion de,822799
et / ou,822406
Tout le monde,821795
à ce moment,821657
la jeune fille,819979
d' un homme,819160
à quel point,815805
ai - je,815655
Je ne peux,810545
de l' esprit,809172
de l' Union,805837
et que je,803098
Il n'est pas,800471
tout à coup,799368
la plus grande,797742
au moment de,791610
par la suite,791556
qui a été,791313
ce que le,790217
de l' action,789236
de la mer,785000
la façon dont,782179
grand - père,782142
de l' Église,780293
et l' autre,779434
comme si elle,777123
"que , dans",777097
Je crois que,776521
des droits de,775490
dans le même,773405
d' une autre,772922
ce que les,772500
d' une manière,769037
ne doit pas,768146
t - on,768115
la suite de,766831
la possibilité de,765232
de la salle,764478
dans la maison,763020
dans les yeux,762277
ne va pas,762088
l' intention de,762088
de la politique,761525
Ce n'était pas,760959
de la pièce,760892
de l' amour,760268
en ce moment,748548
n'y avait pas,747427
ou d' un,746940
ce qui lui,743741
à travers la,743080
pas à la,742156
la présence de,742015
en quelque sorte,741671
de la pensée,740984
de l' époque,739595
Celle - ci,738657
tout ce qu'il,738510
parce que je,738443
et d' autres,734733
de la personne,733761
"et , en",729291
se tourna vers,728296
t -- il,727754
Il faut que,726236
de l' école,724928
ce sont les,723446
l' objet de,723181
deux ou trois,722801
ne voulait pas,720919
je ne me,720025
tous ceux qui,720011
de la femme,720003
qui se passe,719214
en ce qui,718908
tout à l',714813
pas de la,714248
la loi du,714213
de la langue,714118
de la jeune,713912
et l' on,713403
à toutes les,713185
jour - là,713156
week - end,712633
Dans ce cas,711998
ce qu'il y,711549
que tu ne,711164
murmura - t,710639
à l' idée,710126
ce que la,709622
de le faire,708361
et de sa,707940
un de ces,705992
peu de temps,705940
à travers le,705308
milieu de la,705094
droits de l',702389
l' ensemble de,700340
la part de,700279
la direction de,700181
le sens de,699649
qu'il y avait,699177
que nous sommes,699097
y a de,697377
de la culture,697293
l' état de,696798
au milieu des,695491
de l' Europe,694754
que je n'ai,694390
que vous ne,693983
à l' occasion,693928
l' âge de,693343
l ' un,692939
secoua la tête,692326
le reste de,690992
y en a,686464
la maison de,684880
tout au long,684682
de plus de,684041
de la chambre,682543
du lundi au,681350
que vous êtes,680820
dans le temps,680586
que tu es,680395
au niveau de,679812
hocha la tête,678754
ce qui a,676143
au nom de,675773
la manière dont,675709
de l' espace,674639
la force de,673447
à d' autres,672765
mais il ne,670782
l' impression que,670605
quoi que ce,669313
de ma vie,669083
au cœur de,669072
Je ne veux,668809
autour de lui,667945
ou de l',665448
de l' armée,663673
à partir du,663609
n'est pas la,663474
la même chose,663298
Il n'y avait,662673
que tous les,662535
soi - même,661859
les yeux et,661742
l' air de,660720
ne pas être,660696
en direction de,659312
il faut que,658741
et que les,657665
au cours des,657377
sur le point,656627
président de la,655495
de l' île,654524
n'a pas été,654453
de mettre en,652152
l' ordre de,651552
de la liberté,651365
certain nombre de,650945
En tout cas,650823
un point de,650392
ce qui ne,649614
et les autres,649333
en face de,649258
dans la pièce,648916
au point de,646900
ne serait pas,645082
la ville de,643872
ne l' avait,642648
dans la région,642199
l' on ne,642061
de 10h à,641387
temps en temps,641161
celle de l',640196
la place de,639796
face à la,639676
il a été,639207
ce que c'est,638792
je n'avais pas,638079
la main sur,635732
que nous ne,634948
avant de se,633311
d' une grande,633254
en vue de,632271
qui ne sont,631810
et que le,631704
en dehors de,631108
Copyright Arvensa Editions,630843
de la communauté,630032
à l' esprit,629612
l' aide de,629003
une série de,628117
de l' être,627548
ajouta - t,626944
l' impression d',626293
de ce qu'il,625469
bien - être,625148
la recherche de,624945
dans le sens,624306
moment - là,624275
au bord de,624218
pas besoin de,622793
de la musique,622699
l' impression de,621264
à l' article,620244
la main de,619390
ne veut pas,617973
que je vais,617965
à l' extérieur,617177
ce qui était,616969
par la loi,616811
"qui , en",616568
la fin des,616040
que je lui,613110
long de la,612749
dans ce cas,611487
fois de plus,611440
cours de la,611220
nous l' avons,611122
l' origine de,611058
plus d' un,610337
de la route,608571
et de l,608442
la base de,608296
au début du,608040
dans l' espace,607773
de tout ce,607155
ne pas avoir,604788
en termes de,604413
salle de bains,604129
répondit - il,603310
sous la forme,602987
à l' abri,602412
de se faire,601541
Je sais que,601415
au long de,600874
de la place,599102
On ne peut,598969
à ceux qui,598253
"lui , il",598051
la qualité de,597169
de la Cour,596942
qu'il n'y a,593475
ainsi que le,593244
à l' étranger,592847
que je l',592814
celles - ci,592435
dans toutes les,592236
dans la nuit,592185
bord de la,592158
est à la,591085
grand - chose,590655
de l' économie,589898
l ' histoire,589801
de la réalité,589708
de son corps,588849
et que la,587683
dans l' eau,587190
prise en charge,585070
sur la route,585038
au sujet de,584910
Si l' on,583520
à l' hôpital,583050
l' égard de,582123
de toute façon,581254
qui l' avait,580630
la peine de,579893
à ce sujet,579304
et dans les,579268
