ngram,freq
a - t - il,1648352
vis - à - vis,954124
demanda - t - il,836647
demanda - t - elle,671253
a - t - elle,559802
à ce moment - là,517712
au - dessus de la,433620
est - ce que tu,403229
ajouta - t - il,379314
rez - de - chaussée,361932
murmura - t - il,357642
murmura - t - elle,352055
semble - t - il,333179
est - ce que je,312654
au - delà de la,295797
passe - t - il,254852
ajouta - t - elle,246950
que se passe - t,242932
sur - le - champ,241571
de l' après - midi,217483
est - ce que vous,212349
ne serait - ce que,189254
va - t - il,188272
t - il d' une,175978
déclara - t - il,171622
au - dessus de l',162618
a - t - on,162437
à 12h et de 14h,157259
au - delà de l',155304
lança - t - il,153113
demande - t - il,147668
t - il d' un,147411
quatre - vingt - dix,147334
t - elle d' une,144021
par - dessus son épaule,140732
va - et - vient,139176
au - dessus de sa,134398
dans l' après - midi,133075
au samedi de 10h à,131658
fin d' après - midi,131628
répliqua - t - elle,130924
répéta - t - il,129520
"peut - être , mais",129413
cria - t - il,126852
lança - t - elle,125210
pensa - t - il,124921
répliqua - t - il,122457
songea - t - elle,121208
a -- t -- il,120206
est - ce que ça,118812
vis -- à -- vis,116816
déclara - t - elle,113575
dit - il d' une,109366
répéta - t - elle,109327
peut - être un peu,106583
t - il avec un,105839
t - elle d' un,105644
pourquoi est - ce que,105502
t - il en se,105032
à - vis de la,103266
à - vis de l',101945
comment se fait - il,101757
expliqua - t - il,101681
songea - t - il,99745
pensa - t - elle,99026
et de 14h à 18h,98033
demande - t - elle,96496
au vendredi de 9h à,93265
toujours est - il que,91863
t - elle en se,91634
tous les jours de 10h,91194
À voir -- À faire,91108
au samedi de 9h à,90768
de 9h à 12h et,90557
les jours de 10h à,90262
annonça - t - il,89104
cria - t - elle,88894
existe - t - il,88070
arc - en - ciel,87623
pas grand - chose à,87297
ajoute - t - il,86822
veux - tu que je,84553
et de 14h à 19h,84059
dit - elle d' une,83088
tête - à - tête,82789
"lui - même , il",81691
dit - il d' un,81472
eau - de - vie,81466
voulez - vous que je,81051
peut - être que je,80932
au - dessus de lui,80778
va - t - elle,80704
t - elle avec un,80307
en ce temps - là,79725
continua - t - il,78788
sera - t - il,78598
Aix - en - Provence,77189
ordonna - t - il,76566
"lui - même , et",76011
l ' après -- midi,75879
saison : tous les jours,75074
peut - être parce que,74529
au - delà de ce,73209
lundi au vendredi de 9h,73104
marmonna - t - il,72998
à 12h30 et de 14h,72962
expliqua - t - elle,72554
Service / Représentant pour Signification,72513
se fait - il que,72091
reste - t - il,72077
d' une demi - heure,71544
chuchota - t - elle,71464
de 10h à 12h et,71301
serait - ce que pour,70957
en vigueur le 1 er,68826
Que voulez - vous dire,68551
for Service / Représentant pour,68393
Haute saison : tous les,68257
commença - t - il,68256
insista - t - il,68125
dit - il en se,67956
chuchota - t - il,67947
tous les jours de 9h,67684
bien au - delà de,67317
les jours de 9h à,66812
et peut - être même,66090
entre - deux - guerres,66032
rétorqua - t - elle,64533
de ce côté - là,64376
au - dessus d' elle,63943
de son grand - père,63906
ce moment - là que,63880
souffla - t - elle,63725
de sa grand - mère,63519
"dit - il , je",63295
lundi au samedi de 10h,63112
le samedi de 10h à,62609
Île - de - France,62530
mardi au samedi de 10h,62405
Representative for Service / Représentant,62032
t - il à l',61553
les États - Unis et,61003
souffla - t - il,60361
pendant ce temps - là,60280
une demi - heure plus,60237
Que veux - tu dire,60231
la quasi - totalité des,59972
au - dessus d' un,59874
lundi au samedi de 9h,59032
une demi - douzaine de,58554
le samedi de 9h à,58166
face - à - face,57522
dit - il avec un,57400
au vendredi de 10h à,57247
Basse saison : ouvert du,57057
est - ce que le,57016
demi - heure plus tard,56303
à mi - chemin entre,56053
Pas - de - Calais,56041
annonça - t - elle,55870
rétorqua - t - il,55504
De Verset : 01 02,55444
Indice De Verset : 01,55444
Verset : 01 02 03,55395
insista - t - elle,55379
aux États - Unis et,55100
est - ce que cela,55082
dit - elle en se,54546
dit - elle d' un,54146
lâcha - t - il,53934
ne serait - il pas,53621
début d' après - midi,53568
au - dessus de son,53219
est - ce que les,52678
protesta - t - elle,52357
"t - il , en",52178
"dit - il , et",51809
il est peut - être,51564
