ngram,freq
_NOUN_,12975274265
_._,8485688526
_VERB_,7297316188
_PRON_,5982266622
_DET_,4743606454
_ADJ_,4486243896
_ADP_,4392299107
",",3558598031
",_.",3557728261
_ADV_,2928583725
_CONJ_,2658110373
.,2632266864
._.,2631922881
und,1233400516
und_CONJ,1232941972
_PRT_,1200192276
der,1188561409
die,1174983225
_NUM_,1150994288
der_DET,1101980871
die_DET,984714700
_X_,725678173
in,664132758
in_ADP,659260225
zu,526626034
"""",512779191
den,484179928
den_DET,467549363
sich,407418307
sich_PRON,407322180
das,404891075
von,397603663
von_ADP,394130361
nicht,390775126
nicht_PRT,390197015
"""_.",374567099
zu_PRT,367951919
sie,363178046
sie_PRON,363152860
mit,360271585
mit_ADP,353707564
),346186949
)_.,345493752
auf,344925016
ist,335758462
ist_VERB,335711188
(,328828123
(_.,328539055
»,316997885
«,316067245
:,305062897
:_.,304696392
auf_ADP,303132712
des,300421328
des_DET,299400136
er,297413226
er_PRON,297201702
«_NOUN,289864180
-,286073348
ein,283207672
ich,280221174
ich_PRON,280204429
das_DET,274739829
es,267425041
es_PRON,267391284
dem,265000171
eine,262905452
--,262508989
--_.,261686346
ein_DET,257959711
eine_DET,257044935
dem_DET,237240758
als,236228711
im,227891527
im_ADP,227797797
an,223519293
für,220041846
für_ADP,219930530
war,217990263
war_VERB,217863133
Die,206858493
auch,205945402
auch_ADV,205918843
Die_DET,202306785
-_NOUN,202088206
?,200358331
?_.,200352100
Sie,196169532
Sie_PRON,196111384
dass,190197471
die_PRON,190131288
dass_CONJ,184492175
wie,174505236
an_ADP,170184010
»_NOUN,165632157
aus,161539294
zu_ADP,155994783
so,154135111
so_ADV,154115557
werden,152561248
werden_VERB,152543930
oder,145839399
oder_CONJ,145778952
nach,142574288
Ich,141499867
Ich_PRON,139684497
einer,138887093
nach_ADP,132525366
noch,131951713
einer_DET,130506212
hatte,130226547
hatte_VERB,130223249
das_PRON,130110022
einen,130054838
noch_ADV,129572737
bei,126874042
aus_ADP,126133419
um,125018269
sind,124678376
sind_VERB,124659568
bei_ADP,124496879
nur,123086997
nur_ADV,123074876
einen_DET,122819375
!,122681346
!_.,122471393
wird,121510888
wird_VERB,121497631
als_ADP,119855003
aber,118491364
als_CONJ,116338261
;,115807676
;_.,115807393
durch,112340038
einem,109976275
durch_ADP,108411434
Das,108230042
einem_DET,106417112
über,106067843
hat,103437989
hat_VERB,103427569
Der,101179602
über_ADP,101055475
wir,98862752
wir_PRON,98853294
sein,98100085
Der_DET,97190201
Er,95601016
Er_PRON,95447011
mir,94848889
vor,94398338
mir_PRON,92258697
mich,91907861
mich_PRON,91903024
wie_CONJ,91420419
wenn,90087881
wenn_CONJ,89920753
kann,89455837
kann_VERB,89448101
man,89055640
man_PRON,88852158
zur,87639606
zur_ADP,87614302
ihr,87455673
ihr_PRON,87448182
zum,86992984
der_PRON,86369654
zum_ADP,86158193
was,83942065
du,83562488
was_PRON,83128297
wie_PRON,83069818
du_PRON,80996032
haben,80914817
haben_VERB,80907836
Es,80382368
Es_PRON,80065956
ihm,78911148
ihm_PRON,78907192
ihn,77553495
ihn_PRON,77549530
vor_ADP,74635925
dann,73037493
dann_ADV,73031804
/,71717257
mehr,70466328
/_.,68979421
am,67859069
wieder,67269013
wieder_ADV,66941767
daß,66582199
daß_CONJ,66578808
seine,65908635
seine_PRON,65855645
Und,65125474
In,64654568
Und_CONJ,64638611
sein_VERB,64216928
diese,63922090
diese_PRON,63914421
In_ADP,62977087
ihre,62729195
ihre_PRON,62721818
können,62159068
können_VERB,62149359
S.,61202545
wurde,61151931
wurde_VERB,61147267
S._NOUN,60759586
aber_CONJ,60063237
schon,60021470
schon_ADV,60018507
immer,59557454
immer_ADV,59551805
am_ADP,59464654
Das_DET,59249034
...,58611414
..._.,58585064
uns,58525753
uns_PRON,58509539
aber_ADV,58420680
um_ADP,58187330
um_CONJ,58002717
dieser,57758291
dieser_PRON,57750649
doch,56443139
da,54865093
bis,54703946
eines,53783861
hier,53689707
hier_ADV,53681830
-_X,53250307
»_VERB,53136142
an_PRT,52938667
mehr_ADV,51585524
eines_DET,50319454
waren,50267126
waren_VERB,50245276
habe,50039957
habe_VERB,50031150
unter,48555472
»_ADV,48504677
Das_PRON,47706585
1,47361530
unter_ADP,47212797
