ngram,freq
",",3558598031
.,2632266864
und,1233400516
der,1188561409
die,1174983225
in,664132758
zu,526626034
"""",512779191
den,484179928
sich,407418307
das,404891075
von,397603663
nicht,390775126
sie,363178046
mit,360271585
),346186949
auf,344925016
ist,335758462
(,328828123
»,316997885
«,316067245
:,305062897
des,300421328
er,297413226
-,286073348
ein,283207672
ich,280221174
es,267425041
dem,265000171
eine,262905452
--,262508989
als,236228711
im,227891527
an,223519293
für,220041846
war,217990263
Die,206858493
auch,205945402
?,200358331
Sie,196169532
dass,190197471
wie,174505236
aus,161539294
so,154135111
werden,152561248
oder,145839399
nach,142574288
Ich,141499867
einer,138887093
noch,131951713
hatte,130226547
einen,130054838
bei,126874042
um,125018269
sind,124678376
nur,123086997
!,122681346
wird,121510888
aber,118491364
;,115807676
durch,112340038
einem,109976275
Das,108230042
über,106067843
hat,103437989
Der,101179602
wir,98862752
sein,98100085
Er,95601016
mir,94848889
vor,94398338
mich,91907861
wenn,90087881
kann,89455837
man,89055640
zur,87639606
ihr,87455673
zum,86992984
was,83942065
du,83562488
haben,80914817
Es,80382368
ihm,78911148
ihn,77553495
dann,73037493
/,71717257
mehr,70466328
am,67859069
wieder,67269013
daß,66582199
seine,65908635
Und,65125474
In,64654568
diese,63922090
ihre,62729195
können,62159068
S.,61202545
wurde,61151931
schon,60021470
immer,59557454
...,58611414
uns,58525753
dieser,57758291
doch,56443139
da,54865093
bis,54703946
eines,53783861
hier,53689707
waren,50267126
habe,50039957
unter,48555472
1,47361530
Aber,46034531
keine,45309326
etwas,45009548
vom,44848004
sehr,44603546
seiner,44562390
sagte,44369545
Zeit,42391921
konnte,41687238
alle,40545977
anderen,40503126
würde,39497554
selbst,38626287
zwischen,38529735
denn,38404531
Ein,38050609
seinen,37744925
ihrer,37309217
',36686744
diesem,36185438
jetzt,35937087
ganz,35587661
ohne,35344082
2,35246750
ihren,35053584
damit,34666971
sondern,34600223
meine,34464404
],34309263
Was,34116850
ja,34116543
Wir,34005432
nichts,33723675
[,33659538
alles,33418931
Wenn,32904039
Menschen,32406027
also,30847648
Wie,30841109
zwei,30834668
Im,30443061
Du,30359826
seinem,29968794
nun,29600783
Als,29492563
gut,29487871
weil,29300427
Eine,29249053
gegen,29169187
muss,29046358
einmal,28625717
So,28524789
Frau,28350519
ab,28290882
sah,28252990
dich,28090653
wollte,28003778
gibt,27827643
ob,27659213
hätte,27239321
viel,27173239
dir,26991174
Augen,26898159
Mann,26747116
hatten,26517256
bin,26409881
lassen,26239258
andere,26145827
Leben,26053819
wurden,25853630
ihnen,25549310
wäre,25443809
dieses,25372813
sei,25248140
sollte,25000984
müssen,24949748
machen,24709753
wo,24647749
diesen,24638501
Hand,24544745
Mit,24069800
mein,24041343
Diese,24012161
§,23839032
beiden,23608020
Da,23587607
jedoch,23437195
3,23132617
während,23080110
ins,22731852
soll,22641857
bereits,22635796
kein,22559138
Auch,22547348
kam,22522907
ihrem,22419895
zurück,22367708
Dann,22221374
dabei,22165106
Bei,22159243
geht,22158024
ging,21641692
Kopf,21607475
sowie,21251887
erst,21138646
will,21035024
weiter,20957429
sehen,20869702
Ihr,20745321
dazu,20469252
welche,20359431
beim,20315621
gewesen,20260428
gar,20193817
ersten,20174060
gab,20020136
denen,19695247
Welt,19690061
mal,19688454
wohl,19537375
drei,19475309
gerade,19454917
%,19423577
darauf,19422894
Jahre,19195672
weiß,19066062
dort,18968535
Blick,18820172
heute,18752199
fragte,18728895
einfach,18636563
Für,18492228
kommt,18458438
of,18196556
sagen,18140006
vgl.,17899535
nie,17820332
dies,17778178
kommen,17759198
worden,17724235
Auf,17619232
ließ,17600945
4,17559175
stand,17538189
Frage,17518981
etwa,17389272
davon,17362579
allem,17356743
Jahren,17252072
bzw.,17240548
Doch,17162643
•,17068034
deren,17024539
lange,16882025
Mutter,16768687
Nach,16762527
könnte,16733516
tun,16724082
Ja,16686461
B.,16514503
musste,16490872
Seite,16418973
meinen,16393165
Arbeit,16219283
wirklich,16196751
the,16145974
Ende,16012536
Tag,15972937
hast,15953001
gehen,15939714
hin,15841921
viele,15801848
5,15798724
Fall,15721237
wenig,15621129
Weg,15619907
Gesicht,15550717
Teil,15543302
Art,15481983
meiner,15460932
vielleicht,15236672
großen,15148046
zwar,15145435
allen,15102222
Ihre,15019143
Vater,15008478
zusammen,14994469
finden,14955579
Vgl.,14946182
seit,14750028
fast,14729964
werde,14728911
Kinder,14673061
a,14630289
stehen,14562155
später,14494017
wissen,14395004
>,14377080
Man,14342073
hinter,14303806
keinen,14246545
gleich,14195933
dessen,14173990
steht,14118191
z.,13948614
dafür,13928138
sogar,13924199
wollen,13881534
neue,13738884
oft,13713647
=,13700016
's,13665036
eigenen,13661278
möglich,13631787
liegt,13610627
Ihnen,13546546
genau,13514053
Gott,13488245
neben,13383706
__,13321062
Beispiel,13156726
allein,13152605
machte,13038211
nahm,13001056
Abb.,13000891
geben,12990726
and,12969773
einige,12960808
Von,12916483
weit,12908901
kaum,12891085
große,12857731
gemacht,12749410
kleinen,12734879
Haus,12655948
meinem,12640613
Form,12442320
gegenüber,12435890
letzten,12409163
Nein,12381589
neuen,12275893
besonders,12194551
Geschichte,12180829
Weise,12175451
jeder,12120222
paar,12070479
Herr,12069586
darüber,12037594
Tür,11981731
Dies,11952753
daran,11944141
bist,11930284
de,11901971
sicher,11899797
macht,11880697
Stimme,11857361
Wasser,11855769
schnell,11813873
ganze,11803025
gesagt,11657128
Stadt,11643641
1.,11631188
Jahr,11590732
hielt,11507581
unsere,11475964
Mal,11456494
aller,11445953
Gedanken,11443047
besser,11434944
Bild,11416188
allerdings,11403935
Bedeutung,11383681
lässt,11331823
<,11326779
dachte,11298471
2.,11293882
Frauen,11291367
wusste,11280060
weniger,11277335
Hier,11191756
kleine,11142450
Kind,11129080
10,10974483
Unternehmen,10961803
seines,10950432
6,10927239
sollten,10899961
oben,10858475
Nicht,10842017
gesehen,10821922
überhaupt,10807572
solche,10807182
Körper,10802129
&,10792226
Am,10718382
gilt,10706344
Deutschland,10607944
wegen,10584613
kurz,10559619
zog,10528996
daher,10522597
eben,10421809
sagt,10406759
Zu,10372375
muß,10352239
erste,10335502
Abs.,10332420
Moment,10314701
fest,10298116
I,10265947
Entwicklung,10243085
recht,10237055
nehmen,10225343
lag,10194428
Nur,10121089
Stelle,10107748
Nacht,10093693
Wort,10071657
Kapitel,10070179
schließlich,10070129
würden,10046143
sollen,10044737
Aus,10023490
schien,10000770
A,9996512
je,9945216
eigentlich,9927633
Um,9885723
zeigt,9877310
ebenfalls,9873468
Grund,9873000
Berlin,9859301
Dabei,9855820
*,9828380
gehört,9816237
Gesellschaft,9797373
Boden,9781173
natürlich,9766021
deutlich,9727946
sofort,9722657
et,9693021
her,9653501
