ngram,freq
",_.",3557728261
._.,2631922881
und_CONJ,1232941972
der_DET,1101980871
die_DET,984714700
in_ADP,659260225
den_DET,467549363
sich_PRON,407322180
von_ADP,394130361
nicht_PRT,390197015
"""_.",374567099
zu_PRT,367951919
sie_PRON,363152860
mit_ADP,353707564
)_.,345493752
ist_VERB,335711188
(_.,328539055
:_.,304696392
auf_ADP,303132712
des_DET,299400136
er_PRON,297201702
«_NOUN,289864180
ich_PRON,280204429
das_DET,274739829
es_PRON,267391284
--_.,261686346
ein_DET,257959711
eine_DET,257044935
dem_DET,237240758
im_ADP,227797797
für_ADP,219930530
war_VERB,217863133
auch_ADV,205918843
Die_DET,202306785
-_NOUN,202088206
?_.,200352100
Sie_PRON,196111384
die_PRON,190131288
dass_CONJ,184492175
an_ADP,170184010
»_NOUN,165632157
zu_ADP,155994783
so_ADV,154115557
werden_VERB,152543930
oder_CONJ,145778952
Ich_PRON,139684497
nach_ADP,132525366
einer_DET,130506212
hatte_VERB,130223249
das_PRON,130110022
noch_ADV,129572737
aus_ADP,126133419
sind_VERB,124659568
bei_ADP,124496879
nur_ADV,123074876
einen_DET,122819375
!_.,122471393
wird_VERB,121497631
als_ADP,119855003
als_CONJ,116338261
;_.,115807393
durch_ADP,108411434
einem_DET,106417112
hat_VERB,103427569
über_ADP,101055475
wir_PRON,98853294
Der_DET,97190201
Er_PRON,95447011
mir_PRON,92258697
mich_PRON,91903024
wie_CONJ,91420419
wenn_CONJ,89920753
kann_VERB,89448101
man_PRON,88852158
zur_ADP,87614302
ihr_PRON,87448182
der_PRON,86369654
zum_ADP,86158193
was_PRON,83128297
wie_PRON,83069818
du_PRON,80996032
haben_VERB,80907836
Es_PRON,80065956
ihm_PRON,78907192
ihn_PRON,77549530
vor_ADP,74635925
dann_ADV,73031804
/_.,68979421
wieder_ADV,66941767
daß_CONJ,66578808
seine_PRON,65855645
Und_CONJ,64638611
sein_VERB,64216928
diese_PRON,63914421
In_ADP,62977087
ihre_PRON,62721818
können_VERB,62149359
wurde_VERB,61147267
S._NOUN,60759586
aber_CONJ,60063237
schon_ADV,60018507
immer_ADV,59551805
am_ADP,59464654
Das_DET,59249034
..._.,58585064
uns_PRON,58509539
aber_ADV,58420680
um_ADP,58187330
um_CONJ,58002717
dieser_PRON,57750649
hier_ADV,53681830
-_X,53250307
»_VERB,53136142
an_PRT,52938667
mehr_ADV,51585524
eines_DET,50319454
waren_VERB,50245276
habe_VERB,50031150
»_ADV,48504677
Das_PRON,47706585
unter_ADP,47212797
1_NUM,46874535
"""_ADJ",46354359
keine_PRON,45306449
vom_ADP,44838025
sehr_ADV,44600611
seiner_PRON,44557067
sagte_VERB,44368696
Aber_CONJ,43336134
Zeit_NOUN,42384014
konnte_VERB,41685937
auf_PRT,41518053
doch_ADV,41097157
alle_PRON,40535036
würde_VERB,39494500
selbst_ADV,38584211
zwischen_ADP,37792174
seinen_PRON,37741582
ihrer_PRON,37303612
Ein_DET,37099432
diesem_PRON,36179473
jetzt_ADV,35934054
ganz_ADV,35320225
aus_PRT,35247302
"""_NOUN",35080706
ihren_PRON,35049976
sondern_CONJ,34597389
bis_ADP,34279420
2_NUM,34143596
Was_PRON,33968386
sein_PRON,33865464
nichts_PRON,33717180
Wir_PRON,33593380
alles_PRON,33414673
da_ADV,33236771
etwas_PRON,33211680
'_.,33101684
Wenn_CONJ,32686282
Menschen_NOUN,32353769
meine_PRON,31462054
ja_ADV,30945639
also_ADV,30846453
zwei_NUM,30681257
Im_ADP,30264769
seinem_PRON,29966101
nun_ADV,29598891
anderen_ADJ,29547017
weil_CONJ,29293117
-_ADJ,29252065
gegen_ADP,29132874
einmal_ADV,28624019
So_ADV,28518870
gut_ADJ,28464353
Eine_DET,28376236
]_.,28371649
Frau_NOUN,28347387
sah_VERB,28252480
wollte_VERB,28003180
dich_PRON,27985690
gibt_VERB,27824101
dem_PRON,27722212
ob_CONJ,27320003
hätte_VERB,27238379
ohne_ADP,27058088
dir_PRON,26989075
Augen_NOUN,26895707
Mann_NOUN,26631546
hatten_VERB,26516519
bin_VERB,26408268
lassen_VERB,26237486
Leben_NOUN,25954737
damit_PRON,25915757
wurden_VERB,25851672
Wie_PRON,25596204
ihnen_PRON,25547428
wäre_VERB,25442378
dieses_PRON,25366455
sei_VERB,25246996
sollte_VERB,24999469
müssen_VERB,24948446
machen_VERB,24707301
wo_PRON,24643349
diesen_PRON,24636192
Hand_NOUN,24543313
ein_PRT,24526327
mein_PRON,24039591
Diese_PRON,24009915
denn_CONJ,23826821
Mit_ADP,23731722
beiden_PRON,23606159
jedoch_ADV,23388920
«_VERB,23120031
"""_X",22903125
3_NUM,22814695
ins_ADP,22729702
soll_VERB,22640295
bereits_ADV,22634066
kein_PRON,22557672
Auch_ADV,22545121
kam_VERB,22522282
ihrem_PRON,22416887
ab_PRT,22391294
Dann_ADV,22219522
geht_VERB,22154937
Bei_ADP,22093136
ging_VERB,21641011
Kopf_NOUN,21606704
dabei_PRON,21264194
sowie_CONJ,21243789
erst_ADV,21137354
sehen_VERB,20865143
Ihr_PRON,20740143
da_CONJ,20729910
will_VERB,20625625
»_X,20425830
welche_PRON,20357527
beim_ADP,20311076
gewesen_VERB,20259831
gar_ADV,20192903
ersten_ADJ,20117257
Du_PRON,20048080
gab_VERB,20019611
dazu_PRON,19893277
denen_PRON,19693599
Welt_NOUN,19685280
mal_ADV,19603024
wohl_ADV,19533362
gerade_ADV,19437000
darauf_PRON,19421898
%_NOUN,19416044
drei_NUM,19391278
Jahre_NOUN,19192357
Als_CONJ,19078941
dort_ADV,18966651
mehr_PRON,18866457
Blick_NOUN,18817736
heute_ADV,18749001
fragte_VERB,18728791
kommt_VERB,18456740
weiß_VERB,18374223
vor_PRT,18332316
bis_CONJ,18318318
Für_ADP,18159849
sagen_VERB,18129732
zurück_PRT,18033093
nie_ADV,17805988
dies_PRON,17769524
kommen_VERB,17739322
worden_VERB,17723258
ließ_VERB,17600527
stand_VERB,17508748
Frage_NOUN,17492442
etwa_ADV,17388400
4_NUM,17383073
allem_PRON,17354861
weiter_ADV,17327257
andere_ADJ,17309613
Jahren_NOUN,17248846
bzw._CONJ,17237329
Auf_ADP,17052180
deren_PRON,17020741
davon_PRON,16988717
Mutter_NOUN,16767566
Doch_CONJ,16752442
könnte_VERB,16732411
tun_VERB,16717187
viel_PRON,16662896
den_PRON,16444071
B._NOUN,16433425
Seite_NOUN,16412922
Nach_ADP,16387096
Arbeit_NOUN,16215426
wirklich_ADJ,16195124
Ende_NOUN,16007341
Tag_NOUN,15961155
hast_VERB,15952618
gehen_VERB,15938588
viele_PRON,15797010
Fall_NOUN,15719657
5_NUM,15623378
Weg_NOUN,15572345
Gesicht_NOUN,15550260
»_ADJ,15540562
Teil_NOUN,15539101
meiner_PRON,15458794
Art_NOUN,15405878
doch_CONJ,15342821
vielleicht_ADV,15235517
großen_ADJ,15146178
zwar_ADV,15144838
musste_VERB,15114824
allen_PRON,15081685
§_NOUN,15074154
Ihre_PRON,15013501
Vater_NOUN,15007644
finden_VERB,14943761
während_CONJ,14869462
fast_ADV,14728307
werde_VERB,14728046
denn_ADV,14575479
später_ADJ,14492938
Kinder_NOUN,14349249
wissen_VERB,14340870
hinter_ADP,14302982
keinen_PRON,14245899
dessen_PRON,14172669
steht_VERB,14116637
Vgl._NOUN,14060526
z._ADP,13943564
stehen_VERB,13935600
dafür_PRON,13926711
sogar_ADV,13923410
wollen_VERB,13879006
muss_VERB,13745630
neue_ADJ,13735852
oft_ADV,13711093
eigenen_ADJ,13659123
möglich_ADJ,13630642
liegt_VERB,13609503
Ihnen_PRON,13544572
Gott_NOUN,13486987
seit_ADP,13441693
neben_ADP,13364811
[_.,13335574
einfach_ADV,13333673
Man_PRON,13247677
Beispiel_NOUN,13154520
allein_ADV,13151315
