ngram,freq
und / oder,1457575
wie z. B.,1289759
z. B. die,833966
E - Mail,747495
GmbH & Co.,730528
des 19. Jahrhunderts,720502
Frankfurt a. M.,688865
"ebd. , S.",665264
z. B. bei,624678
Abs. 1 Satz,591428
z. B. in,583348
Abs. 1 Nr.,559846
a. a. O.,557549
des 20. Jahrhunderts,554782
Vandenhoeck & Ruprecht,545528
T - Shirt,506766
Abs. 1 S.,477697
d. h. die,468453
werden ( vgl.,464907
Frankfurt / M.,443807
hab ' ich,424880
z. B. durch,416443
im 19. Jahrhundert,394119
ein - und,380014
vor - und,376864
in : Zeitschrift,373015
z. B. der,366119
in : Die,364132
des 18. Jahrhunderts,357540
"a.a.O. , S.",339847
hin - und,337029
in : ders.,331693
Abs. 2 Satz,317604
Kinder - und,303222
vgl. z. B.,284615
wirtschafts - und,275342
Frankfurt / Main,272043
E -- Mail,265617
"I , S.",265348
"ebenda , S.",265329
Baden - Baden,262702
ist ( vgl.,262094
in : Ders,261334
ich ... ich,253146
Arbeits - und,249547
z. B. im,244382
z. B. das,244131
"O. , S.",240716
E - Mails,238773
im 18. Jahrhundert,236890
BGBl. I S.,236789
Abs. 2 S.,234607
Informations - und,230642
Nordrhein - Westfalen,230493
nach Absatz 1,230349
Abs. 2 Nr.,230054
in : Der,229469
Baden - Württemberg,228716
d. h. der,223080
