ngram,freq
",_.",5068912
._.,3266408
של_ADP,1115680
"""_.",1106786
את_ADP,972171
--_.,789084
על_ADP,759603
לא_ADP,531031
)_.,479982
:_.,469470
'_NOUN,463607
(_.,462655
זה_PRON,317917
כל_ADP,273546
כי_CONJ,259495
הוא_PRON,243151
גם_ADP,238172
היה_VERB,227997
עם_ADP,214006
או_CONJ,208083
הוא_VERB,181980
?_.,168570
לו_ADP,164636
אם_CONJ,164152
מה_ADV,156742
יש_VERB,142753
אלא_CONJ,142569
בין_ADP,135042
אין_VERB,132616
ישראל_NOUN,129350
אני_PRON,128075
היא_VERB,127445
זו_PRON,127094
רק_ADP,126710
אבל_CONJ,123766
כך_ADP,122613
שם_ADP,121335
;_.,115448
אחד_NUM,112967
אל_ADP,109783
יותר_ADP,109429
מן_ADP,101459
ולא_NOUN,100295
עד_ADP,98126
לי_ADP,96217
אשר_CONJ,95270
כמו_ADP,95138
היו_VERB,92105
הם_PRON,89310
ב_ADP,89044
אותו_ADP,86695
אך_CONJ,86312
כדי_ADP,84660
בו_ADP,84572
ה_DET,82681
היא_PRON,80155
כן_ADP,78264
א_NOUN,77652
בכל_ADP,75414
ידי_ADP,72970
בית_NOUN,72450
|_NOUN,70399
אף_ADP,69159
"היו""ר_NOUN",68436
אדם_NOUN,67330
עוד_ADP,66874
לה_ADP,65302
אמר_VERB,65026
להיות_VERB,65001
אחר_ADJ,63809
דבר_NOUN,63616
שהוא_NOUN,63174
ר_NOUN,60767
להם_ADP,59470
שלו_ADP,58732
אינו_VERB,58181
כאן_ADP,57694
לאחר_ADP,57618
!_.,57603
[_NOUN,55476
מי_ADV,55354
בה_ADP,55340
בני_NOUN,55312
תא_NOUN,55268
כבר_ADP,55256
בן_NOUN,55051
אלה_PRON,54628
לפי_ADP,54029
]_NOUN,53556
הזה_NOUN,53436
לפני_ADP,52704
אחת_NUM,52468
זאת_PRON,52262
שיש_VERB,51200
כמה_ADP,50713
הייתה_VERB,49793
עצמו_PRON,49177
יום_NOUN,48237
פי_ADP,48190
האדם_NOUN,47212
רבי_NOUN,46988
יכול_VERB,46953
י_NOUN,46948
אותה_ADP,46823
אל_NOUN,46641
לנו_ADP,45777
העולם_NOUN,44789
כאשר_CONJ,44663
צריך_VERB,44471
הרמב_NOUN,44251
שני_NUM,43957
כלל_ADP,43510
והוא_NOUN,43397
משום_ADP,43352
עליו_ADP,43017
לך_ADP,42348
היתה_VERB,42339
אותם_ADP,41876
'_VERB,41807
ראה_VERB,41133
מקום_NOUN,40602
אפשר_VERB,40126
ו_CONJ,39903
ל_ADP,39762
טוב_ADJ,39501
ואת_NOUN,38552
מאוד_ADP,38159
עמ_NOUN,38131
לש_NOUN,38079
1_NUM,37932
הרב_NOUN,37728
היום_ADP,37123
אז_CONJ,37075
אלו_PRON,37041
ד_NOUN,36915
כפי_ADP,36674
לעשות_VERB,36649
משה_NOUN,36593
בהם_ADP,36558
שלי_ADP,36277
חלק_NOUN,35933
יהיה_VERB,35887
