ngram,freq
אדוני היושב -- ראש,81352
"היו""ר ד ' תיכון",24363
"היו""ר ד ' שילנסקי",23003
הלאומי -- ישראל ביתנו,21227
האיחוד הלאומי -- ישראל,21201
"היו""ר ש ' וייס",19203
ראובן ריבלין ( הליכוד,17825
"י ז "" ל",16619
גברתי היושבת -- ראש,14845
הצעות לסדר -- היום,14455
דן תיכון ( הליכוד,14174
"היו""ר ע ' עלי",13717
היו -- ר ראובן,12655
"היו""ר נ ' חזן",12506
"נסים זאב ( ש""ס",11298
"היו""ר ד ' טל",11059
אופיר פינס -- פז,10985
"א ז "" ל",10810
חיים אורון ( מרצ,10802
"רש "" י ז",10680
"היו""ר א ' סלמוביץ",10508
"היו""ר י ' עזרן",10499
"היו""ר ר ' אדרי",9627
משה גפני ( יהדות,9342
רוני בר -- און,9238
גפני ( יהדות התורה,9091
"של הרמב "" ם",8968
של בן -- גוריון,8884
"האיחוד הלאומי -- מפד""ל",8779
אחריו -- חבר הכנסת,8617
אלי בן -- מנחם,8546
"שאמרו חז "" ל",8534
הצעה לסדר -- היום,8527
"הרה "" ק רבי",8228
יולי -- יואל אדלשטיין,8193
"ם ז "" ל",8087
בית -- המשפט העליון,7992
העבודה ) : אדוני,7967
הנדל ( האיחוד הלאומי,7922
"היו""ר נ ' מסאלחה",7738
"תמר גוז'נסקי ( חד""ש",7627
הליכוד ) : אדוני,7616
אי -- אמון בממשלה,7438
צבי הנדל ( האיחוד,7415
יושב -- ראש ועדת,7405
העבודה ) : אני,7401
מאיר שטרית ( הליכוד,7366
"של הקב "" ה",7259
רצוני לשאול : 1,7066
להביע אי -- אמון,7053
"מוחמד ברכה ( חד""ש",7049
המערך ) : אדוני,7001
גדעון סער ( הליכוד,6983
עבד -- אלמאלכ דהאמשה,6703
רחבעם זאבי ( מולדת,6500
"נסים דהן ( ש""ס",6460
"אמרו חז "" ל",6412
ואחריו -- חבר הכנסת,6398
כבוד היושב -- ראש,6349
היו -- ד ראובן,6291
"דברי הרמב "" ם",6273
"הרב ז "" ל",6260
ראובן ריבלין : תודה,6221
הליכוד ) : אני,6129
הדיבור לחבר -- הכנסת,6110
ריבלין : חבר הכנסת,6073
"רבותינו ז "" ל",5882
חיים רמון ( העבודה,5778
"על הרמב "" ם",5625
פרוש ( יהדות התורה,5556
יושב -- ראש הכנסת,5465
בסעיף קטן ( א,5456
"הרה "" ח ר",5378
"היו""ר יולי -- יואל",5340
מאיר פרוש ( יהדות,5291
"ן ז "" ל",5230
"ק אדמו "" ר",5207
"היו""ר ש "" וייס",5162
ראובן ריבלין : חבר,5103
זאב בוים ( הליכוד,5086
יהושע מצא ( הליכוד,5057
אלון ( האיחוד הלאומי,5033
אריאל ( האיחוד הלאומי,5032
שילנסקי : תודה רבה,4984
וייס : חבר הכנסת,4943
"דברי רש "" י",4896
ריבלין : תודה רבה,4876
ענת מאור ( מרצ,4853
