ngram,freq
di _NOUN_ _._,95938803
di_ADP _NOUN_ _._,95895366
la _NOUN_ _ADP_,63577155
la_DET _NOUN_ _ADP_,63528711
di _NOUN_ _ADP_,57072368
di_ADP _NOUN_ _ADP_,57064939
il _NOUN_ _ADP_,55061952
il_DET _NOUN_ _ADP_,55061951
"di _NOUN_ ,",45854086
"di _NOUN_ ,_.",45854086
"di_ADP _NOUN_ ,_.",45832158
"di_ADP _NOUN_ ,",45832158
di _NOUN_ _ADJ_,43155943
di_ADP _NOUN_ _ADJ_,43155382
di_ADP _DET_ _NOUN_,38519131
di _DET_ _NOUN_,38519131
che _PRON_ _VERB_,36538633
in _NOUN_ _ADP_,36059776
in_ADP _NOUN_ _ADP_,36050078
con _DET_ _NOUN_,35570442
con_ADP _DET_ _NOUN_,35570442
un _NOUN_ _ADP_,35490216
un_DET _NOUN_ _ADP_,35463452
e _DET_ _NOUN_,35191274
e_CONJ _DET_ _NOUN_,35191274
si _VERB_ _ADP_,34759668
si_PRON _VERB_ _ADP_,34663908
la _NOUN_ _._,34091993
e_CONJ _ADP_ _NOUN_,34010012
e _ADP_ _NOUN_,34010012
la_DET _NOUN_ _._,33890070
per _DET_ _NOUN_,32779500
per_ADP _DET_ _NOUN_,32779500
di _NOUN_ .,32468549
di _NOUN_ ._.,32461303
di_ADP _NOUN_ .,32456605
di_ADP _NOUN_ ._.,32449372
del _NOUN_ _._,31903129
che _VERB_ _VERB_,31781024
del_ADP _NOUN_ _._,31708315
in _NOUN_ _._,31681125
in_ADP _NOUN_ _._,31591416
il _NOUN_ _._,30257507
il_DET _NOUN_ _._,30257494
l' _NOUN_ _ADP_,28428725
che_PRON _PRON_ _VERB_,28291122
un _NOUN_ _ADJ_,28158512
un_DET _NOUN_ _ADJ_,28138291
l'_ADP _NOUN_ _ADP_,27929891
di _NOUN_ _CONJ_,27011380
di_ADP _NOUN_ _CONJ_,27004979
in _DET_ _NOUN_,26709021
in_ADP _DET_ _NOUN_,26709021
una _NOUN_ _ADP_,26105407
una_DET _NOUN_ _ADP_,26041442
che _DET_ _NOUN_,26033616
che_PRON _VERB_ _VERB_,25872862
la _NOUN_ _ADJ_,24899551
la_DET _NOUN_ _ADJ_,24882173
della _NOUN_ _._,24690054
della_ADP _NOUN_ _._,24628186
_._ ._. _END_,24035660
_._ . _END_,24035660
che _VERB_ _ADP_,23516006
a _NOUN_ _._,23109714
non_ADV _VERB_ _VERB_,22984346
non _VERB_ _VERB_,22984346
il_DET _NOUN_ _ADJ_,22918112
il _NOUN_ _ADJ_,22918112
a_ADP _NOUN_ _._,22829814
le _NOUN_ _ADP_,22634051
le_DET _NOUN_ _ADP_,22619010
si _VERB_ _VERB_,22122444
si_PRON _VERB_ _VERB_,22111612
di _NOUN_ _VERB_,21962081
di_ADP _NOUN_ _VERB_,21956078
a _NOUN_ _ADP_,21815508
a_ADP _NOUN_ _ADP_,21742129
del _NOUN_ _ADP_,21689754
del_ADP _NOUN_ _ADP_,21642830
che_CONJ _DET_ _NOUN_,21376108
un _NOUN_ _._,21185929
un_DET _NOUN_ _._,21171965
una _NOUN_ _ADJ_,20947218
una_DET _NOUN_ _ADJ_,20890099
la _NOUN_ di,20820553
la _NOUN_ di_ADP,20819235
la_DET _NOUN_ di,20815666
la_DET _NOUN_ di_ADP,20814348
di _NOUN_ e,20796225
di _NOUN_ e_CONJ,20796223
di_ADP _NOUN_ e,20790846
di_ADP _NOUN_ e_CONJ,20790844
la _PRON_ _NOUN_,20780653
la_DET _PRON_ _NOUN_,20772820
che_PRON _VERB_ _ADP_,20189147
e _PRON_ _VERB_,19852772
e_CONJ _PRON_ _VERB_,19852772
il_DET _NOUN_ di,19821931
il _NOUN_ di,19821931
il_DET _NOUN_ di_ADP,19818879
il _NOUN_ di_ADP,19818879
della _NOUN_ _ADP_,19177808
della_ADP _NOUN_ _ADP_,19168681
