ngram,freq
",_.",1658675236
._.,1070808595
--_.,456166216
и_CONJ,446154213
в_ADP,383225823
не_PRT,241472009
на_ADP,214669564
с_ADP,151790894
что_CONJ,135761044
?_.,108151012
:_.,92984930
»_NOUN,91101871
!_.,89367941
)_.,84468444
«_NOUN,83702589
я_NOUN,81583471
к_ADP,78678660
(_.,74411313
по_ADP,72756567
он_NOUN,71162518
его_NOUN,70061591
как_CONJ,69743679
а_CONJ,66230966
..._.,64034946
из_ADP,60322857
от_ADP,57583407
за_ADP,51714271
это_NOUN,51261754
и_PRT,49505845
но_CONJ,49420421
же_PRT,46921706
В_ADP,46540048
у_ADP,46377500
для_ADP,46198569
о_ADP,44701023
Я_NOUN,44059700
;_.,43770244
И_CONJ,42558912
-_NOUN,38960630
или_CONJ,38725444
было_VERB,38194999
ее_NOUN,37921988
А_CONJ,36056725
она_NOUN,35966281
их_NOUN,32262886
так_ADV,32067414
только_PRT,31794602
меня_NOUN,30722472
бы_PRT,30509862
Но_CONJ,30506907
еще_PRT,29769829
был_VERB,27767488
мне_NOUN,27346768
ты_NOUN,26668449
уже_PRT,26481059
до_ADP,26429656
они_NOUN,26393584
мы_NOUN,25827553
Он_NOUN,25436149
чтобы_CONJ,25077715
-_ADJ,24687114
если_CONJ,21749034
когда_CONJ,21546377
все_ADJ,21526444
при_ADP,20939571
вы_NOUN,20776786
все_NOUN,19784064
то_CONJ,19505849
что_NOUN,19230652
ему_NOUN,18948656
Не_PRT,18411840
быть_VERB,18301093
себя_NOUN,18233086
даже_PRT,17943178
Это_NOUN,17793262
может_VERB,17765388
¿_X,17734735
была_VERB,17416473
"""_.",17223705
со_ADP,17063500
были_VERB,16852076
будет_VERB,15810086
во_ADP,15677575
На_ADP,15487350
него_NOUN,15486984
очень_ADV,15296391
1_NUM,15102174
под_ADP,14965081
время_NOUN,14867144
можно_ADV,14744597
¶_X,14296621
которые_NOUN,14199805
то_NOUN,13984170
¹_X,13576562
того_NOUN,13366355
Она_NOUN,13280262
есть_VERB,13243854
где_ADV,13207978
нас_NOUN,13090905
без_ADP,13019646
себе_NOUN,12939605
г._NOUN,12840200
более_ADV,12828721
нет_VERB,12648546
них_NOUN,12581273
как_ADV,12533101
Если_CONJ,12496727
ли_PRT,12434074
сказал_VERB,12431613
±_X,12163998
»_X,12122344
который_NOUN,12047948
¾_X,12044621
тебя_NOUN,12005405
2_NUM,11820994
Что_NOUN,11782273
после_ADP,11573098
Ты_NOUN,11534835
там_ADV,11438042
этот_ADJ,11379805
больше_ADV,10842217
раз_NOUN,10801216
/_.,10700846
жизни_NOUN,10694769
вот_PRT,10521148
Да_PRT,10351223
-_ADV,10214691
вас_NOUN,10096451
кто_NOUN,10065637
через_ADP,10038563
этом_NOUN,9972570
тебе_NOUN,9933250
У_ADP,9903209
ничего_NOUN,9840365
ей_NOUN,9738328
том_NOUN,9736541
своей_ADJ,9697864
здесь_ADV,9654935
тоже_PRT,9531029
чем_CONJ,9515840
Ну_ADV,9501002
человек_NOUN,9500688
тут_ADV,9476670
об_ADP,9469954
Мы_NOUN,9414322
им_NOUN,9411824
С_ADP,9325862
все_PRT,9293273
ни_PRT,9284011
теперь_ADV,9277585
этой_ADJ,9237008
лет_NOUN,9102691
ней_NOUN,9030227
ним_NOUN,9023037
просто_PRT,9009561
сейчас_ADV,8876618
Вот_PRT,8852596
между_ADP,8849623
Как_CONJ,8821355
потом_ADV,8787804
[_.,8705768
надо_ADV,8696231
вам_NOUN,8679538
]_.,8678938
ни_CONJ,8663916
нее_NOUN,8594583
Так_ADV,8559220
лишь_PRT,8529633
нам_NOUN,8521898
свою_ADJ,8517882
всех_ADJ,8510032
3_NUM,8494072
этого_NOUN,8472261
всегда_ADV,8395248
года_NOUN,8263061
Вы_NOUN,8230644
«_NUM,8187889
один_NUM,8136670
Они_NOUN,8047084
день_NOUN,7998566
перед_ADP,7993797
эти_ADJ,7990652
несколько_NUM,7972036
так_CONJ,7944787
людей_NOUN,7897177
человека_NOUN,7781527
глаза_NOUN,7650664
над_ADP,7484320
сам_ADJ,7480179
своего_ADJ,7340613
такой_ADJ,7337983
времени_NOUN,7236776
два_NUM,7165919
своих_ADJ,7100572
жизнь_NOUN,7078595
въ_ADP,7067320
¼_X,7060933
№_NOUN,7056928
этого_ADJ,7042818
³_X,7040015
тогда_ADV,6969379
нужно_ADJ,6910150
свои_ADJ,6874095
По_ADP,6850949
Когда_CONJ,6768537
собой_NOUN,6760875
которых_NOUN,6713930
-_X,6647693
много_ADV,6638964
мог_VERB,6510804
что-то_NOUN,6458410
дело_NOUN,6452564
которой_NOUN,6451918
почти_PRT,6434175
тем_NOUN,6404276
которая_NOUN,6403653
4_NUM,6363420
люди_NOUN,6314610
снова_ADV,6220420
да_CONJ,6218667
½_X,6189678
руки_NOUN,6137396
чем_NOUN,6135804
При_ADP,6118782
К_ADP,6082297
случае_NOUN,6055625
чего_NOUN,5996016
Для_ADP,5972458
является_VERB,5924491
совсем_ADV,5922443
этих_ADJ,5921481
сразу_ADV,5919624
именно_PRT,5917585
.._.,5872279
стал_VERB,5800858
могут_VERB,5745615
это_ADJ,5734059
другой_ADJ,5728660
никогда_ADV,5716865
вместе_ADV,5561347
слова_NOUN,5543849
сказать_VERB,5527911
свое_ADJ,5522412
тот_ADJ,5496274
5_NUM,5473851
по_ADV,5455555
Все_NOUN,5455295
мой_ADJ,5440407
других_ADJ,5425395
должен_ADJ,5397960
Мне_NOUN,5391074
знаю_VERB,5363095
также_PRT,5358272
этом_ADJ,5342379
три_NUM,5335318
свой_ADJ,5334849
образом_NOUN,5315261
ведь_PRT,5314998
друг_NOUN,5304315
которого_NOUN,5217445
место_NOUN,5184228
вдруг_ADV,5130876
в_ADV,5107895
России_NOUN,5105523
спросил_VERB,5090798
М._CONJ,5045839
Ã_X,5020442
эту_ADJ,5004579
потому_CONJ,5004458
Однако_ADV,4982870
такое_ADJ,4947358
то_ADJ,4947088
хотя_CONJ,4924873
также_CONJ,4911387
«_ADJ,4899342
уж_PRT,4898114
своим_ADJ,4891925
Его_NOUN,4884567
сказала_VERB,4807973
голову_NOUN,4789077
должны_ADJ,4752824
%_NOUN,4724882
конечно_ADV,4711889
руку_NOUN,4656873
быстро_ADV,4647764
нем_NOUN,4564035
работы_NOUN,4542469
лицо_NOUN,4505206
году_NOUN,4503524
вообще_ADV,4467300
О_ADP,4449054
Á_X,4447462
За_ADP,4429633
сделать_VERB,4417444
эта_ADJ,4415306
Только_PRT,4413021
оно_NOUN,4378370
одной_NUM,4377386
Как_ADV,4372679
делать_VERB,4370661
рядом_ADV,4360853
А._CONJ,4349359
стороны_NOUN,4345233
сторону_NOUN,4300920
Нет_PRT,4283458
пока_CONJ,4264864
т._ADV,4263514
Российской_ADJ,4258024
почему_ADV,4228298
которое_NOUN,4202370
Федерации_NOUN,4174007
После_ADP,4163313
часть_NOUN,4162603
«_X,4148105
части_NOUN,4133416
10_NUM,4118899
двух_NUM,4111849
слишком_ADV,4076662
никто_NOUN,4075068
совершенно_ADV,4067371
том_ADJ,4046195
про_ADP,4041349
ответил_VERB,4002838
вопрос_NOUN,4002319
будут_VERB,3990365
самом_ADJ,3989734
говорит_VERB,3989093
могу_VERB,3971049
всего_NOUN,3960980
момент_NOUN,3954842
затем_ADV,3942500
то_ADV,3938007
сегодня_ADV,3919435
немного_ADV,3907739
6_NUM,3906241
Все_ADJ,3899498
имеет_VERB,3880253
такие_ADJ,3880228
тому_NOUN,3868416
В._CONJ,3832811
словно_CONJ,3827124
часто_ADV,3790692
куда_ADV,3783338
ними_NOUN,3780846
дня_NOUN,3777496
другие_ADJ,3765477
каждый_ADJ,3765034
которую_NOUN,3763845
ко_ADP,3755778
деятельности_NOUN,3751378
например_ADV,3744867
мной_NOUN,3728703
поэтому_ADV,3723217
против_ADP,3704038
Теперь_ADV,3695590
всю_ADJ,3692827
стало_VERB,3691081
точно_ADV,3683102
из-за_ADP,3677859
дома_NOUN,3665855
Â_X,3657150
права_NOUN,3647943
хорошо_ADV,3634528
деле_NOUN,3633985
дверь_NOUN,3615463
таких_ADJ,3585762
С._NOUN,3580354
Вернуться_VERB,3571766
следует_VERB,3570724
таким_ADJ,3565529
одного_NUM,3545144
голос_NOUN,3526105
лица_NOUN,3524830
менее_ADV,3514590
месте_NOUN,3510142
две_NUM,3504706
нему_NOUN,3497919
весь_ADJ,3465501
потому_ADV,3462681
такого_ADJ,3462225
нельзя_ADV,3462150
мир_NOUN,3446151
знал_VERB,3433951
есть_ADV,3433258
дела_NOUN,3417519
μ_X,3416688
самого_ADJ,3413522
либо_CONJ,3408554
да_PRT,3400022
взгляд_NOUN,3396962
хотел_VERB,3389041
год_NOUN,3386568
говорил_VERB,3381637
стоит_VERB,3374173
Может_VERB,3366702
моей_ADJ,3356919
стали_VERB,3351947
Из_ADP,3350935
Поэтому_ADV,3328268
сама_ADJ,3308151
детей_NOUN,3298892
среди_ADP,3293636
всем_ADJ,3292901
прямо_ADV,3288233
головой_NOUN,3287071
той_ADJ,3280594
дом_NOUN,3274331
должна_ADJ,3247898
деньги_NOUN,3238632
могла_VERB,3234380
котором_NOUN,3230157
первый_ADJ,3225364
опять_ADV,3222883
минут_NOUN,3211049
чуть_PRT,3201769
ст_NOUN,3194900
моя_ADJ,3194105
особенно_ADV,3190826
системы_NOUN,3181371
7_NUM,3171182
говорить_VERB,3162820
Да_CONJ,3159414
Тогда_ADV,3151865
время_ADP,3143068
давно_ADV,3142089
лучше_ADJ,3141837
равно_ADV,3140777
РФ_NOUN,3140213
власти_NOUN,3134550
своем_ADJ,3128384
стала_VERB,3119232
могли_VERB,3118246
долго_ADV,3116948
мира_NOUN,3116102
действительно_ADV,3102678
развития_NOUN,3100387
кажется_VERB,3092656
места_NOUN,3084118
дальше_ADV,3081768
хоть_ADV,3073769
друга_NOUN,3056212
Там_ADV,3054249
Еще_PRT,3027970
понял_VERB,3024573
видел_VERB,3012561
хочу_VERB,3012497
8_NUM,3008389
всей_ADJ,3002106
воды_NOUN,2981294
г_NOUN,2975021
Кто_NOUN,2970705
тех_ADJ,2967931
какой_ADJ,2956633
те_ADJ,2946805
второй_ADJ,2921422
бы_ADV,2919189
должно_ADJ,2915547
сами_ADJ,2913926
однако_ADV,2904265
области_NOUN,2900310
От_ADP,2887807
Почему_ADV,2887102
внимание_NOUN,2886804
нашей_ADJ,2882533
мои_ADJ,2880658
¸_X,2876104
сколько_ADV,2872267
пока_ADV,2862359
кроме_ADP,2859706
мысли_NOUN,2859021
необходимо_ADJ,2857997
слово_NOUN,2854903
этим_ADJ,2847567
вполне_ADV,2846910
наконец_ADV,2833165
силы_NOUN,2830187
Потом_ADV,2819400
дней_NOUN,2810368
ноги_NOUN,2809041
будто_CONJ,2783340
Или_CONJ,2772757
сердце_NOUN,2763217
работу_NOUN,2758234
Ì_X,2756315
•_NOUN,2755284
знает_VERB,2753648
смерти_NOUN,2748929
города_NOUN,2748468
пути_NOUN,2743258
имя_NOUN,2740335
кого_NOUN,2739571
