ngram,freq
_VERB_ _NOUN_,708287272
_VERB_ _._,561180538
_VERB_ _ADP_,457416028
_START_ _NOUN_,394541548
"_VERB_ ,_.",291135711
"_VERB_ ,",291135711
_VERB_ _ADJ_,276615115
_X_ _X_,272921780
в _NOUN_,237784013
в_ADP _NOUN_,237763987
_START_ _._,236360286
_START_ --,214988917
_START_ --_.,214977057
_VERB_ _VERB_,192606907
не _VERB_,180278793
не_PRT _VERB_,180278773
и _NOUN_,168762943
и_CONJ _NOUN_,158585100
_VERB_ .,155146348
_VERB_ ._.,155146341
на _NOUN_,147426561
на_ADP _NOUN_,147281892
_VERB_ в,130131648
_VERB_ в_ADP,128504591
_START_ _CONJ_,127144580
_VERB_ _ADV_,124899011
_START_ _ADP_,122393475
и _VERB_,119733904
_START_ _ADV_,113359903
в _ADJ_,112688750
в_ADP _ADJ_,112688652
и_CONJ _VERB_,106692600
_START_ _VERB_,106405602
_START_ _ADJ_,106356056
с _NOUN_,100808523
с_ADP _NOUN_,100787863
_VERB_ _PRT_,87706281
_VERB_ на,86073572
_VERB_ на_ADP,86028841
и _ADJ_,85521391
и_CONJ _ADJ_,77516301
» _._,64684767
что _NOUN_,63555161
что_CONJ _NOUN_,61691533
_X_ _._,59852167
»_NOUN _._,59363110
к _NOUN_,58950478
к_ADP _NOUN_,58926512
на _ADJ_,54056695
на_ADP _ADJ_,54054671
_VERB_ _CONJ_,53707513
« _NOUN_,49596122
_VERB_ и,49478470
по _NOUN_,48420394
по_ADP _NOUN_,48389520
_START_ _NUM_,47371069
и _ADV_,43666724
_START_ _PRT_,42157221
у _NOUN_,40231702
у_ADP _NOUN_,40231702
_VERB_ и_CONJ,40045868
с _ADJ_,39667362
с_ADP _ADJ_,39655510
и_CONJ _ADV_,39627952
из_ADP _NOUN_,39514367
из _NOUN_,39514367
_START_ В,38788896
_VERB_ с,38507689
_VERB_ с_ADP,38447067
от _NOUN_,37501205
от_ADP _NOUN_,37490491
_START_ В_ADP,37243662
за_ADP _NOUN_,36601155
за _NOUN_,36601155
«_NOUN _NOUN_,35916971
для_ADP _NOUN_,35501171
для _NOUN_,35501171
я _VERB_,34711160
я_NOUN _VERB_,34711151
_VERB_ к,34702988
_VERB_ к_ADP,34696636
и _ADP_,34090060
он_NOUN _VERB_,33490090
он _VERB_,33490090
о _NOUN_,33198304
о_ADP _NOUN_,33182467
его_NOUN _NOUN_,32057967
его _NOUN_,32057967
_START_ И,30732009
_START_ И_CONJ,30723708
_VERB_ ?,30683244
_VERB_ ?_.,30683244
как _NOUN_,30424355
как_CONJ _NOUN_,29287503
_VERB_ _NUM_,27769619
_START_ Я,27550331
_START_ Я_NOUN,27547513
что _VERB_,26664567
и_CONJ _ADP_,26076290
_VERB_ его_NOUN,25826920
_VERB_ его,25826920
» .,25567097
» ._.,25562404
_START_ Но,25131505
_START_ Но_CONJ,25128200
_VERB_ :,24934530
_VERB_ :_.,24934530
»_NOUN ._.,24896437
»_NOUN .,24896437
« _ADJ_,23680544
_PRT_ не,23669040
_PRT_ не_PRT,23668901
«_NOUN _ADJ_,23418057
В _NOUN_,23381851
В_ADP _NOUN_,23347942
_START_ А,23319887
_START_ А_CONJ,23305317
и _PRT_,22190764
Я _VERB_,21364499
Я_NOUN _VERB_,21364499
_VERB_ !_.,20973554
_VERB_ !,20973554
_START_ Он,20805311
_START_ Он_NOUN,20803565
"» ,",20710515
"» ,_.",20704203
_VERB_ по,20347777
"»_NOUN ,",19941181
"»_NOUN ,_.",19941181
_VERB_ от,19370587
_VERB_ от_ADP,19370550
_VERB_ по_ADP,19206375
а _NOUN_,19189505
а_CONJ _NOUN_,19124119
_START_ _X_,18775206
"_X_ ,_.",18388263
