ngram,freq
"то , что",6656315
"том , что",6438460
"того , что",2993593
"того , чтобы",1927333
в том числе,1893209
"тем , что",1836760
"все , что",1803177
"потому , что",1688967
в соответствии с,1487322
"того , как",1477490
до сих пор,1396561
и т. д.,1298251
на самом деле,1277934
так и не,1238624
"понял , что",1190691
"сказать , что",1148209
"знал , что",1054939
"сказал , что",1040023
то же время,1033019
"тех , кто",1024645
"же , как",1018296
в то время,973283
"так , что",961700
"так , как",952203
"тому , что",951300
в связи с,872100
"больше , чем",844752
по крайней мере,823025
"знаю , что",812836
по - прежнему,806757
"том , как",787342
К тому же,778068
по отношению к,772284
"том , чтобы",767404
"так , чтобы",744966
и т. п.,729161
не может быть,723503
"казалось , что",716958
"поняла , что",676721
в то же,665503
"То , что",641915
в зависимости от,640086
в конце концов,629839
Федерального закона от,628235
"кажется , что",621391
в первую очередь,615808
в это время,612793
"тогда , когда",608145
в самом деле,602436
Тем не менее,599077
в отличие от,591812
"там , где",575410
в свою очередь,574614
"понять , что",574394
"говорил , что",571775
тем не менее,566067
к тому же,562780
"знала , что",554883
по сравнению с,551367
"уверен , что",550108
"думаю , что",544062
том числе и,541506
на этот раз,538367
до тех пор,537479
"показалось , что",532974
и тут же,529966
бы то ни,505265
В конце концов,505170
"случае , если",499834
и ( или,496386
в этот момент,496087
"пор , пока",490429
"те , кто",487624
с точки зрения,486606
"и , как",472457
то время как,470162
¼ Í ¾,466233
то же самое,464253
друг с другом,463093
чуть ли не,456838
"мне , что",453421
"думал , что",449278
"Нет , не",446948
"понимал , что",442029
с другой стороны,439723
"тот , кто",437953
"сказала , что",437772
что я не,437727
с тех пор,435412
я не могу,433043
"решил , что",430449
"знает , что",426669
что он не,423976
"конечно , не",421726
¾ ¹ Ð,419115
На самом деле,418484
"означает , что",413883
с одной стороны,412093
"отметить , что",410386
"то , чтобы",409851
"говорит , что",403878
ни в чем,402633
"вид , что",399790
в этом случае,399581
что у него,397210
не только в,396705
"что , если",388999
"ясно , что",387458
то ни было,385266
Дело в том,383690
"момент , когда",382691
"подумал , что",377483
"и , не",375397
В то же,373138
что у меня,369832
"факт , что",368863
"тем , как",367872
в данном случае,367295
"видно , что",366802
"значит , что",366624
не в силах,366593
Ã ¶ ¼,365063
"заметил , что",363063
ни разу не,360604
С другой стороны,360203
"Да , я",359897
то и дело,359388
В этом случае,358681
"Все , что",358090
в настоящее время,357158
"известно , что",356861
но все же,355674
И все же,353410
"время , когда",350502
время от времени,348428
можно было бы,346867
"знать , что",346055
друг от друга,343503
со всех сторон,342157
Я не знаю,339440
друг на друга,337938
½ ¶ ¾,337738
"лучше , чем",337366
друг к другу,337128
ни о чем,336869
по - видимому,335742
"то , как",333004
если бы не,332361
"тем , кто",332128
"того , кто",330566
Ã ¿ Á,330545
в свое время,328267
"может , и",328139
"знаешь , что",328075
я не знаю,328005
все в порядке,327663
Во всяком случае,322689
В связи с,321785
В отличие от,321622
По крайней мере,321560
"ему , что",319620
Я не могу,318537
"Нет , я",318217
"хочу , чтобы",318029
В это время,317787
"увидел , что",315916
по - настоящему,315494
в первый раз,314925
"понимаю , что",314115
"знаю , как",313776
в тот момент,312238
несмотря на то,311711
сих пор не,307523
"раз , когда",305108
не в состоянии,302247
на всякий случай,302086
В настоящее время,302015
"зная , что",301029
во всяком случае,300865
в чем не,300329
в последнее время,299479
и то же,299174
