ngram,freq
_NOUN_,4272640305
_ADP_,2375243140
_VERB_,2333978796
_DET_,2213462237
_._,2213297003
_ADJ_,1237293447
_PRON_,1025073910
_CONJ_,966535252
",",966049053
",_.",965802821
de,869625501
de_ADP,869231602
.,756787400
._.,756186151
_ADV_,705868401
la,516183305
la_DET,500364972
que,454950933
y,394087558
y_CONJ,394011173
en,338498348
en_ADP,338427283
el,328777937
el_DET,328630443
a,306300135
a_ADP,303942361
que_PRON,254994193
_NUM_,218359783
los,203482851
que_CONJ,199918802
los_DET,198496126
se,181168406
se_PRON,181154231
-,152067454
un,150540269
un_DET,150518799
del,143283525
del_ADP,143252630
-_NOUN,143214675
las,139315062
con,139065320
con_ADP,139045838
las_DET,136378367
no,132455875
no_ADV,132427863
una,125811317
por,123401957
por_ADP,123377039
una_DET,120869259
su,112177858
su_DET,112164154
para,96071474
para_ADP,96053393
lo,95151050
es,81554629
es_VERB,81447616
al,79130882
al_ADP,79122365
:,76261162
),74511807
:_.,73823138
como,70736458
como_CONJ,70101093
(,67729996
más,61441614
más_ADV,61431450
lo_DET,58147222
--,58079989
--_.,58065729
o,56475848
o_CONJ,56461268
?,56411991
?_.,56410231
¿,55104333
¿_.,55102420
"""",54787097
"""_.",54698029
le,49848087
le_PRON,49845622
me,45693389
me_PRON,45690861
El,44266991
El_DET,44201108
sus,44084194
sus_DET,44077948
;,44039570
;_.,44039534
La,43943830
La_DET,42844151
había,39981600
había_VERB,39980665
)_NOUN,37368184
lo_PRON,36996511
pero,35745604
pero_CONJ,35743675
No,33294230
No_ADV,33292656
En,32926388
En_ADP,32922571
si,30273301
si_CONJ,30270507
era,30200068
era_VERB,29631215
»,29486781
«,28723213
...,28719898
..._.,28714056
sobre,27360598
mi,27283825
mi_DET,27280415
sobre_ADP,27081763
todo,24593292
Y,24425997
cuando,24315781
cuando_CONJ,24234076
sin,23987292
ser,23985834
sin_ADP,23984014
ha,23406386
ha_VERB,23402758
Y_CONJ,23383510
él,22288795
él_PRON,22287779
ser_VERB,22127148
entre,21183509
entre_ADP,20977912
!,20751661
!_.,20747884
ya,20742775
ya_ADV,20741289
este,20646611
este_DET,20187528
¡,19545581
¡_.,19542071
muy,19513186
muy_ADV,19511982
ella,19122883
ella_PRON,19121590
te,18543225
te_PRON,18540524
vez,18493879
vez_NOUN,18492383
son,18312428
son_VERB,18143241
estaba,18074865
estaba_VERB,18074465
qué,18028136
dos,17780110
también,17764581
también_ADV,17762500
esta,17193821
hasta,17038567
(_.,16803784
Los,16774391
hasta_ADP,16513260
esta_DET,16476298
Los_DET,16447125
Por,16232901
Por_ADP,16230708
nos,16219848
nos_PRON,16217923
