ngram,freq
",",966049053
de,869625501
.,756787400
la,516183305
que,454950933
y,394087558
en,338498348
el,328777937
a,306300135
los,203482851
se,181168406
-,152067454
un,150540269
del,143283525
las,139315062
con,139065320
no,132455875
una,125811317
por,123401957
su,112177858
para,96071474
lo,95151050
es,81554629
al,79130882
:,76261162
),74511807
como,70736458
(,67729996
más,61441614
--,58079989
o,56475848
?,56411991
¿,55104333
"""",54787097
le,49848087
me,45693389
El,44266991
sus,44084194
;,44039570
La,43943830
había,39981600
pero,35745604
No,33294230
En,32926388
si,30273301
era,30200068
»,29486781
«,28723213
...,28719898
sobre,27360598
mi,27283825
todo,24593292
Y,24425997
cuando,24315781
sin,23987292
ser,23985834
ha,23406386
él,22288795
entre,21183509
!,20751661
ya,20742775
este,20646611
¡,19545581
muy,19513186
ella,19122883
te,18543225
vez,18493879
son,18312428
estaba,18074865
qué,18028136
dos,17780110
también,17764581
esta,17193821
hasta,17038567
Los,16774391
Por,16232901
nos,16219848
Pero,16064761
A,16034298
dijo,15743139
Se,15720266
está,15683002
bien,15582901
vida,15546443
fue,15309855
tiempo,15251632
puede,15216446
porque,14986002
yo,14464320
todos,14171767
así,14070989
ni,14064198
mismo,13767580
tan,13652821
desde,13608869
años,13512750
parte,13324344
e,13007478
algo,12525222
Es,12126992
ese,11948929
cada,11936983
eso,11780252
hacia,11761219
otro,11741113
hacer,11491850
De,11466225
donde,11238770
uno,11231812
tu,11187457
nada,11098288
tiene,10980932
día,10938684
tanto,10930405
tenía,10789463
antes,10706804
forma,10686178
otra,10682302
hay,10654598
Las,10609602
Si,10557634
siempre,10260682
1,10139343
momento,10101147
casa,10076641
/,10029400
después,9983099
mucho,9779665
han,9779382
hecho,9767046
solo,9740730
hombre,9704461
esa,9650206
sido,9648925
menos,9580509
poco,9557807
Me,9499572
mientras,9488929
otros,9447502
sí,9181263
lugar,9162432
mundo,9160075
ellos,9096275
ver,8900165
Lo,8887273
les,8868958
sino,8688285
ojos,8639671
2,8597213
caso,8587040
decir,8541143
Dios,8480100
