ngram,freq
",_.",965802821
de_ADP,869231602
._.,756186151
la_DET,500364972
y_CONJ,394011173
en_ADP,338427283
el_DET,328630443
a_ADP,303942361
que_PRON,254994193
que_CONJ,199918802
los_DET,198496126
se_PRON,181154231
un_DET,150518799
del_ADP,143252630
-_NOUN,143214675
con_ADP,139045838
las_DET,136378367
no_ADV,132427863
por_ADP,123377039
una_DET,120869259
su_DET,112164154
para_ADP,96053393
es_VERB,81447616
al_ADP,79122365
:_.,73823138
como_CONJ,70101093
más_ADV,61431450
lo_DET,58147222
--_.,58065729
o_CONJ,56461268
?_.,56410231
¿_.,55102420
"""_.",54698029
le_PRON,49845622
me_PRON,45690861
El_DET,44201108
sus_DET,44077948
;_.,44039534
La_DET,42844151
había_VERB,39980665
)_NOUN,37368184
lo_PRON,36996511
pero_CONJ,35743675
No_ADV,33292656
En_ADP,32922571
si_CONJ,30270507
era_VERB,29631215
..._.,28714056
mi_DET,27280415
sobre_ADP,27081763
cuando_CONJ,24234076
sin_ADP,23984014
ha_VERB,23402758
Y_CONJ,23383510
él_PRON,22287779
ser_VERB,22127148
entre_ADP,20977912
!_.,20747884
ya_ADV,20741289
este_DET,20187528
¡_.,19542071
muy_ADV,19511982
ella_PRON,19121590
te_PRON,18540524
vez_NOUN,18492383
son_VERB,18143241
estaba_VERB,18074465
también_ADV,17762500
(_.,16803784
hasta_ADP,16513260
esta_DET,16476298
Los_DET,16447125
Por_ADP,16230708
nos_PRON,16217923
Pero_CONJ,16064022
»_NOUN,15995016
dijo_VERB,15742753
la_PRON,15733630
Se_PRON,15718706
está_VERB,15681487
vida_NOUN,15543063
fue_VERB,15308299
tiempo_NOUN,15250125
puede_VERB,15212308
porque_CONJ,14985046
(_NOUN,14833748
qué_PRON,14268208
bien_ADV,14180234
así_ADV,14069311
dos_DET,13943955
yo_PRON,13914019
A_ADP,13790895
tan_ADV,13651909
todo_DET,13645665
desde_ADP,13607048
años_NOUN,13510991
parte_NOUN,13322340
e_CONJ,13003826
)_.,12424051
Es_VERB,12124770
cada_DET,11935196
eso_PRON,11779527
hacia_ADP,11760413
ni_CONJ,11717744
ese_DET,11708208
algo_PRON,11646882
hacer_VERB,11472607
De_ADP,11463610
tu_DET,11185514
donde_PRON,11044489
tiene_VERB,10979865
día_NOUN,10937247
todo_PRON,10884071
tenía_VERB,10789200
uno_PRON,10749606
antes_ADV,10706182
forma_NOUN,10684446
hay_VERB,10653781
Si_CONJ,10552633
Las_DET,10457164
siempre_ADV,10259053
todos_DET,10180529
»_ADJ,10170357
momento_NOUN,10100445
casa_NOUN,10075939
después_ADV,9982326
/_.,9859210
han_VERB,9777852
1_NUM,9683837
hombre_NOUN,9676228
sido_VERB,9647618
menos_ADV,9549734
mismo_DET,9547472
tanto_ADV,9518101
Me_PRON,9499164
esa_DET,9275900
lugar_NOUN,9161772
mundo_NOUN,9157434
ellos_PRON,9095379
(_ADV,8918610
(_ADJ,8909710
ver_VERB,8899451
les_PRON,8868039
-_ADJ,8837092
ojos_NOUN,8639101
nada_PRON,8630741
caso_NOUN,8586352
sino_CONJ,8555700
decir_VERB,8540697
Dios_NOUN,8478830
aunque_CONJ,8416537
otra_DET,8412339
durante_ADP,8325379
solo_ADJ,8248114
sólo_ADV,8152597
ahora_ADV,8035694
trabajo_NOUN,7984514
cómo_PRON,7950168
gran_ADJ,7898839
Cuando_CONJ,7867651
he_VERB,7828463
manera_NOUN,7757863
mientras_CONJ,7696374
hace_VERB,7638810
habían_VERB,7610776
cosas_NOUN,7540467
mano_NOUN,7518580
esto_PRON,7478901
aquí_ADV,7379301
otro_DET,7365177
mí_PRON,7314698
Al_ADP,7248181
personas_NOUN,7220614
)_ADJ,7198488
toda_DET,7155135
unos_DET,7114012
