ngram,freq
",",966295285
.,756865486
-,152083141
:,76346497
),74557167
(,67774153
--,58094249
?,56411991
¿,55104333
"""",54798366
;,44039570
»,29486781
...,28725740
«,28723213
!,20751661
¡,19545581
1,10139343
/,10043186
2,8597213
Dios,8480100
[,7918656
],7898312
•,6497707
3,6276658
%,6035868
4,5034024
of,5031548
DE,4881297
',4735335
5,4429608
p,4306369
and,4034008
_,3916218
c,3718157
i,3653134
España,3575921
b,3529135
6,3353174
10,3324943
Madrid,3250718
º,3240056
Juan,2963907
México,2939631
n,2844838
7,2757925
8,2611373
d,2532821
pp,2455349
LA,2430346
José,2356152
etc,2276202
á,2254850
20,2250857
15,2226528
12,2226127
María,2221967
9,2210726
et,2206800
Jesús,2167257
s,2128395
,2074443
11,1985163
m,1981056
II,1918314
J.,1854169
A.,1793697
l,1793143
30,1773988
14,1746411
13,1734949
to,1719433
M.,1674583
16,1614250
=,1582709
18,1549973
25,1541660
Carlos,1525712
Barcelona,1519900
0,1478843
EL,1478397
v,1468742
17,1468558
Luis,1449163
*,1449062
2010,1439331
Pedro,1435547
C.,1417347
19,1372692
24,1363055
Antonio,1357103
Europa,1352454
g,1345204
100,1315543
2009,1311391
2007,1308407
2008,1306370
21,1305735
p.,1295358
22,1276861
Cristo,1275278
Francisco,1271998
iban,1246349
t,1245846
D.,1240054
f,1230767
América,1224958
2006,1209541
York,1209098
2011,1202424
23,1201912
David,1152316
50,1141138
+,1140904
x,1136397
Francia,1130925
2005,1123328
París,1117769
III,1111656
2012,1109034
2000,1100080
h,1082481
&,1073793
27,1068135
cit,1067755
EN,1066518
Pablo,1066330
2003,1065200
26,1063716
Manuel,1050518
28,1048835
2004,1041490
Miguel,1032159
DEL,1023310
r,1022963
S.,1001025
art,992656
,989499
2002,967003
John,962268
Ah,960314
29,958689
40,956371
García,953073
Londres,952536
2013,945293
j,941771
2001,941317
R.,939894
v.,926141
$,922619
31,900241
Roma,893696
art.,892803
ª,883127
Colombia,864846
Israel,862136
Santiago,856855
°,854341
E.,845721
Fernando,822149
1999,817861
■,814423
IV,809993
on,797021
2014,793176
's,788649
L.,787917
1998,761313
l',755234
F.,741335
60,733921
LOS,730568
Chile,728852
1997,720488
2015,701749
Alemania,695269
B.,692111
G.,688930
1995,686618
,682778
35,681340
d',676409
ó,672527
1996,669514
López,652044
XIX,646189
Daniel,646188
Martín,643436
ex,641127
|,641075
1994,638134
I.,634044
Jack,632563
Ana,631752
Inglaterra,630083
ed,626879
fig.,625500
new,620386
Italia,620020
32,618036
González,615077
XX,613713
1990,607396
Felipe,602141
Press,600823
1992,597590
,592851
33,592261
Diego,591666
,590736
©,589723
op,584568
1993,576597
Jorge,574214
45,573173
,573030
is,567964
,563703
80,562273
Cuba,555660
Isabel,553691
70,550233
34,549468
,547163
>,545472
University,543015
James,541930
Pérez,541655
CAPÍTULO,536467
36,536400
H.,534782
Perú,533815
Enrique,529050
Rodríguez,528340
Martínez,527965
1991,527037
90,526375
Paul,523190
,517774
Fernández,516078
,511620
LAS,508087
,507974
N.,497522
2016,496725
ed.,493184
Robert,492727
37,492437
Alex,492275
Valencia,491613
Bogotá,489633
Sevilla,488990
Lucas,486698
Gabriel,486118
38,484501
Sánchez,481468
QUE,477099
1989,474327
Castilla,473995
Max,473499
mg,469872
T.,469785
39,468760
Jehová,468307
Rafael,468045
VI,467694
Andrés,459413
Alfonso,457874
,456053
..,454500
Sam,454455
Laura,454450
,453685
usa,451304
cm,450056
das,448106
Biblia,446086
Ramón,445179
1988,443823
k,443371
,443330
Javier,441202
Alejandro,438758
Michael,435947
42,435323
Peter,435090
George,432409
41,429620
200,428843
Brasil,427924
Alberto,425409
SEÑOR,425070
an,422274
Thomas,420427
Gómez,420129
cf.,418615
,417008
África,416517
Carmen,414987
1985,413287
William,413279
Tomás,412182
43,409865
1986,408449
1987,408163
48,405501
1980,403695
....,403575
44,403546
Richard,403279
,401940
XVIII,399651
du,399053
Tom,395933
Granada,395344
NO,391647
Egipto,389578
XVI,388546
Mary,388129
Díaz,387955
it,386131
€,385951
Anna,384844
Teresa,383945
000,383436
VII,382793
No.,382181
47,380201
55,378346
é,376789
PARA,373872
der,373267
César,372232
75,370723
Eduardo,370565
Henry,370447
Jean,370169
Lima,369818
Julia,369077
46,368603
will,368037
Vicente,366573
Sara,364808
Mario,364354
,363181
65,363111
you,361846
ss,361555
na,361520
Jerusalén,359259
from,358830
Eva,357850
1984,357737
#,357049
Mateo,355979
at,354851
49,353942
Charles,353428
1982,351976
leo,350590
2017,350033
Journal,349371
Venezuela,348495
Samuel,347546
Washington,346791
51,345344
une,343556
,342140
Ricardo,342124
Jesucristo,341800
Elena,341173
~,339481
W.,339297
1983,339047
Alonso,334781
52,333768
Ignacio,333568
Moisés,332859
1978,331392
California,331385
z,329162
Emma,328127
Roberto,326833
Castro,326068
mm,325347
Rusia,325132
1981,324465
kg,321474
by,321149
56,317522
Nick,317426
54,315899
500,315786
***,314274
§,313969
American,313417
Quijote,312303
Secretaría,312182
·,311665
53,311432
von,310711
<,310548
XVII,310235
Víctor,309438
il,309017
XXI,308814
Navidad,308579
Marta,307705
1970,307467
Salamanca,305123
1979,304978
Cataluña,304947
Kate,302331
Agustín,302048
Dr.,301967
Martin,300972
Harry,300461
Hitler,300198
Córdoba,299204
be,297812
ej,296155
Sarah,295189
Joe,295129
57,293989
Sr.,293965
Adam,293566
150,292449
Jaime,292374
Andalucía,291678
or,290806
sir,290234
POR,289326
58,289249
,287877
1976,287320
à,286630
1977,286554
UN,286073
q,285638
VIII,285341
K.,285095
Habana,283701
64,282682
1975,282291
95,281614
,281008
Joaquín,279484
Japón,279017
Frank,277545
300,277463
62,276309
Sancho,274104
1973,273188
CON,273175
Mark,272726
Hernández,272205
Rodrigo,271156
re,271048
59,270471
Portugal,269887
Asia,268804
Hugo,268193
Jacob,267141
,267068
Aragón,266149
Ruiz,266037
cfr.,265830
Berlín,265447
61,265109
his,264920
Sebastián,264139
Cambridge,263017
68,262735
63,262005
Smith,261644
,261634
Nicolás,260141
Oxford,259674
Alicia,259595
,258879
Jake,258347
66,257121
,256491
85,256376
---,255665
und,255159
Toledo,255073
Jane,254334
{,252918
Guillermo,252007
72,251545
com,251388
Elizabeth,250895
km,250617
Grecia,249985
Joseph,249587
Zaragoza,249356
120,248968
Simon,248700
not,248655
},248344
1974,248200
Lorenzo,248131
eds.,247365
1960,246920
min,246532
ma,246006
,245509
67,243921
die,242808
Federación,241779
co,239119
Raúl,236659
1968,236642
IX,235942
,235699
Juana,235542
Cristina,234768
w,234486
AL,233131
ADN,232623
International,232187
ISBN,231927
93,231264
69,230472
73,229322
Sofía,229190
SE,229180
Álvaro,228372
CE,227671
Lucy,226299
Marx,225551
UNA,225370
1972,225242
Emilio,224995
1936,224238
,224191
XIII,223190
Grace,223125
Rachel,223004
XII,222340
71,222288
Luke,222200
Esteban,222182
Abraham,222138
Aristóteles,220951
Emily,220756
99,220429
Catalina,220010
Matt,219850
Jiménez,219607
Julián,219118
Arturo,218772
Ibid,218280
1971,217947
78,217392
Bolivia,217038
2018,216967
─,216787
Charlie,216205
91,216140
Chicago,215441
Indias,215156
74,214992
77,214626
Sergio,214449
98,214395
,214147
Saint,213740
Álvarez,213727
●,213579
76,213553
Rose,213210
400,212957
Navarra,212937
Caribe,212013
S.A.,211802
Alice,211683
1969,211590
Federico,211212
Cervantes,211102
,210667
81,210601
Pierre,208965
Maria,208252
ES,208127
Bretaña,207668
Simón,207062
Freud,206935
Marie,206641
UE,205673
XV,204742
,204624
84,204104
Lily,203592
LO,203486
Sophie,203323
Gonzalo,202936
,202414
79,201410
,201126
1967,200756
Mike,200285
Ecuador,200228
250,199518
Vega,199094
Héctor,198865
82,198719
Senado,197920
83,197637
XI,197465
Gil,197241
Miranda,197160
Louis,197045
Gutiérrez,196712
∙,196245
,195456
87,195383
88,195280
,195154
Eric,194913
,194804
Ortega,194184
Cádiz,194115
Bill,193544
89,192972
Félix,192761
Edward,192671
Platón,192513
Inés,192234
Paula,192200
Mercedes,191824
97,191109
World,190751
86,190712
®,190683
96,190619
PIB,189959
@,189160
Salmos,188831
1945,188242
92,187097
1950,186966
Valladolid,186812
Walter,186614
Bolívar,185403
Tony,185281
Luisa,185254
Isaías,185028
a.C.,184979
Canadá,184970
Street,184899
Albert,184744
110,184351
Mendoza,183697
Ramírez,183349
1966,182954
Claire,182897
Caracas,182539
Guatemala,182317
1964,181537
Andrea,181325
EF,180335
的,180060
Ernesto,179449
94,179032
Maggie,179010
Gregorio,178782
í,178634
Charlotte,178531
XIV,178442
101,178285
\,177563
Napoleón,177341
,176959
105,176465
Amanda,176428
1965,176278
Paris,176143
×,176016
Taylor,175688
Ryan,175550
180,175546
Joan,175449
,175080
1940,174637
1930,174141
Scott,174038
House,173875
Margarita,173627
Alfredo,172961
1939,172512
Moscú,172411
Olivia,171967
Bernardo,171911
,171558
125,171480
Mariano,171397
Virginia,171279
Uruguay,171214
Oliver,171075
Anne,171022
Roger,170653
Alexander,170500
Google,170319
Hannah,170301
Magdalena,170250
,169895
Austria,169861
Andrew,169421
1962,169348
Claudia,168915
Arthur,168810
1963,168150
Isaac,167100
Muñoz,166883
,166770
Ian,165554
Leonardo,165173
Sí.,165138
Romero,164617
BOE,163824
CC,163817
Gustavo,163531
Adán,163480
Rivera,163217
Times,163204
Karl,163032
103,162925
130,162361
Beatriz,161933
OCDE,161512
Christian,161399
140,161324
Panamá,161205
FIGURA,160813
Suárez,160758
National,160167
Cristóbal,160023
Kant,159981
Judá,159835
<<,159832
102,159603
Morgan,159194
Vargas,159185
Dante,158639
Job,158537
Hans,158501
1961,157980
Augusto,157771
Jackson,157651
TC,157433
1937,156850
Lola,156596
104,156419
Jim,156351
2.1,155839
Galicia,155818
History,155790
111,155287
Medina,155223
O.,155093
Molly,154974
109,154915
Facebook,154821
115,154716
Australia,154664
,154424
Steve,154099
106,153749
Bruno,153567
Viena,153501
Wilson,153497
1959,153133
108,152916
107,152657
1958,152634
Adolfo,152542
Helena,152444
Murcia,152410
Benito,151838
Patrick,151678
Texas,151418
Perón,150919
,150424
Amy,150309
Burgos,149751
Jeremías,149456
Dylan,149149
King,148885
Suiza,148801
Vaticano,148013
112,147361
Jones,147227
Santander,146962
Marcus,146942
Guzmán,146640
Susan,146631
1938,146618
US,145771
Brown,145565
Mediterráneo,145468
Elías,145417
Mr.,145400
Ethan,145319
Rubén,144855
Puebla,144397
Satanás,144305
1948,144114
Salomón,143991
Molina,143953
Park,143937
1933,143717
Irene,143696
Stephen,143612
Amelia,143379
Lara,143113
SU,143112
Calderón,143004
Boston,142876
Herrera,142464
Juárez,142359
1920,142280
Irlanda,142274
Heidegger,142252
Bilbao,142040
Iván,141882
Venecia,141817
Alan,141810
160,141707
2.2,141649
Beth,141588
Veracruz,141440
Jason,141422
Lope,141347
1944,140844
Susana,140800
Chris,140550
Peña,140450
Cartagena,140395
♦,140374
600,140197
Pepe,140060
Atenas,139908
Ortiz,139563
Andes,139409
→,139362
Annie,139248
123,139153
Silva,139056
Jacques,138744
Helen,138527
1956,138473
3.1,138294
1957,138265
Nietzsche,137822
116,137804
VIH,137784
119,137765
113,137756
Carolina,137599
Research,137390
1.1,137365
1931,137315
121,137284
Harvard,137162
Paco,136981
Vázquez,136959
Johnson,136540
Oscar,135928
Society,135752
Ruth,135670
½,135641
Silvia,135319
IVA,135263
Heráldica,135248
Atlántico,134785
117,134713
Michel,134525
135,134155
Fidel,134076
Ezequiel,133777
Polonia,133768
Colón,133294
Málaga,133294
Bob,133171
127,132413
Nathan,132353
114,132167
ND,132119
Jenny,131953
1955,131904
118,131707
Sócrates,131408
Ann,131288
Josh,130500
Hidalgo,130411
Milán,130344
Brian,130300
Guadalajara,130244
Windows,130065
Science,130057
Alcalá,129946
1.000,129917
St.,129895
1934,129876
1943,129787
1946,129787
1941,129773
Sandra,129612
01,129493
EE.UU.,129392
Hill,128822
1947,128812
の,128762
1942,128748
Asturias,128689
122,128657
Books,128534
Vol.,128139
CP,127923
1929,127877
Catherine,127803
129,127661
128,127444
Marc,127442
Patricia,127357
MB,127205
Montevideo,127000
1914,126963
Sebastian,126904
Jonathan,126829
Holmes,126680
Florencia,126525
Harlequin,125908
Núñez,125562
Navarro,125445
Aguilar,125425
126,125393
1953,125385
Nora,125354
Carl,125288
3.2,125149
Hegel,124973
Ford,124809
Ariel,124789
Trinidad,124777
Darío,124722
PARTE,124492
Billy,124411
1949,124104
Stalin,123984
Claudio,123884
Abby,123798
Miller,123779
Josué,123682
133,123257
TV,123169
TIC,123167
1952,123086
Florida,122938
Mariana,122893
124,122664
1917,122470
1954,122410
Logan,122166
Chávez,122061
131,121868
Inquisición,121814
Shakespeare,121726
London,121602
1935,121411
Antonia,121309
Hall,121285
,121192
Law,121092
1932,121023
1.2,120875
Lázaro,120710
STS,120644
Lisboa,120517
Margaret,120391
Blake,120060
Bautista,119598
Serrano,119562
Mac,119527
Luca,119428
Medellín,119400
Guadalupe,119294
ONU,119165
coord.,119043
UNAM,118913
145,118738
Saúl,118593
Raquel,118326
132,118306
Quito,118184
137,118156
Marruecos,118003
SOBRE,117846
Suecia,117584
Noah,117380
Carter,117067
Philip,116800
136,116334
EE,116291
134,116089
Jo,116016
170,115854
1910,115555
Márquez,115255
Alicante,115235
Ray,114956
Ávila,114915
Borges,114875
America,114852
Kevin,114488
Venus,114449
Jamie,114289
CD,114265
Nápoles,114028
Ley.,113971
139,113913
Health,113907
1951,113823
Johnny,113590
Paulo,113134
Paraguay,113034
Bartolomé,112905
,112811
143,112665
Apocalipsis,112646
144,112347
Benjamin,112203
Sonia,112184
141,112027
SS,111973
Williams,111921
Kelly,111853
155,111641
Martha,111501
138,111340
Vera,111291
Mauricio,111272
Megan,111230
GARCÍA,111206
......,111080
U.,110973
Babilonia,110960
RVF,110911
Mónica,110830
pág.,110417
Corea,110175
Einstein,110119
Eugenio,110029
Hollywood,110024
Kim,109955
INTRODUCCIÓN,109906
Connor,109873
Nina,109855
Lewis,109832
4.1,109656
d.C.,109606
Marcelo,109584
Nicaragua,109563
Jerónimo,109552
142,109549
147,109269
Siria,109156
Elisa,109031
Éxodo,108980
Ibíd,108810
149,108640
COMO,108119
Esther,107782
04,107697
Marte,107637
PSOE,107585
Carla,107399
Germán,107359
Bélgica,107249
153,107208
Mia,107182
Pamplona,107096
151,106757
Tim,106565
2.3,106546
175,106233
Kennedy,106001
Francis,105911
Horacio,105896
1928,105752
Zamora,105576
pp.,105332
Lucio,105212
Celia,105204
146,105117
Ginebra,105078
White,105005
Zeus,104960
Matthew,104901
Tito,104825
ETA,104659
148,104475
02,104330
Natalia,104302
Jimmy,104255
Cárdenas,104120
Weber,104104
Twitter,103896
Mt,103852
CIA,103847
Cecilia,103699
Zoe,103581
Miami,103577
Association,103542
