chinese_simplified,english,english-fiction,french,german,hebrew,italian,russian,spanish
,al,al,in,of,,,,
,et,et,of,'s,,,,
,de,de,and,et,,,,
,la,la,etc,al,,,,
,ed,ed,al,to,,,,
,vol,vol,to,la,,,,
,co,co,op,Peter,,,,
,en,en,civ,New,,,,
,le,le,pp,is,,,,
,eds,eds,km,Rn,,,,
,der,der,for,Thomas,,,,
,mg,mg,el,Paul,,,,
,el,el,obs,for,,,,
,ii,ii,er,on,,,,
,mm,mm,ben,York,,,,
,und,und,ex,Anna,,,,
,d',d',éd,Maria,,,,
,des,des,is,London,,,,
,st,st,re,that,,,,
,cm,cm,week,be,,,,
,ll,ll,end,en,,,,
,los,los,that,David,,,,
,du,du,min,le,,,,
,l',l',qu,Georg,,,,
,von,von,com,Franz,,,,
,li,li,it,Tom,,,,
,que,que,sam,Johann,,,,
,doi,doi,und,cm,,,,
,med,med,cm,mm,,,,
,di,di,dr,it,,,,
,ve,ve,los,Daniel,,,,
,se,se,von,Christian,,,,
,un,un,by,Frank,,,,
,les,les,at,Richard,,,,
,del,del,from,he,,,,
,kg,kg,you,di,,,,
,ch,ch,miss,by,,,,
,res,res,be,Walter,,,,
,iii,iii,do,kg,,,,
,na,na,cf,Alexander,,,,
,cf,cf,st,Klaus,,,,
,sa,sa,fig,fie,,,,
,int,int,he,Otto,,,,
,em,em,da,men,,,,
,si,si,not,social,,,,
,eq,eq,will,ift,,,,
,km,km,ch,fo,,,,
,il,il,was,Alex,,,,
,fi,fi,co,Werner,,,,
,ing,ing,up,no,,,,
,th,th,are,Jack,,,,
,kjb,kjb,this,ge,,,,
,,,mm,se,,,,
,,,lsg,James,,,,
,,,av,Hermann,,,,
,,,ss,at,,,,
,,,,you,,,,
,,,,Sam,,,,
,,,,mg,,,,
,,,,Goethe,,,,
,,,,Jan,,,,
,,,,Carl,,,,
,,,,Jean,,,,
,,,,from,,,,
,,,,or,,,,
,,,,Rhodan,,,,
,,,,Miss,,,,
,,,,kg,,,,
,,,,Julia,,,,
,,,,ver,,,,
,,,,les,,,,
,,,,Kant,,,,
,,,,el,,,,
,,,,Eva,,,,
,,,,non,,,,
,,,,Adam,,,,
,,,,do,,,,
