chinese_simplified,english,english-fiction,french,german,hebrew,italian,russian,spanish
,I,I,France,DDR,,Italia,,
,God,God,Europe,AG,,Germania,,
,American,American,Afrique,BRD,,Inghilterra,,
,English,English,Allemagne,,,Spagna,,
,Jesus,Jesus,Londres,,,Cina,,
,British,British,Angleterre,,,Grecia,,
,European,European,Italie,,,Bibbia,,
,America,America,Amérique,,,Sardegna,,
,French,French,Chine,,,Svizzera,,
,China,China,Espagne,,,Oriente,,
,German,German,Israël,,,Occidente,,
,Europe,Europe,Russie,,,Medioevo,,
,Christ,Christ,Noël,,,Vangelo,,
,England,England,Canada,,,Polonia,,
,Chrstian,Chrstian,Orient,,,Pasqua,,
,Bible,Bible,Bretagne,,,,,
,June,June,Bruxelles,,,,,
,Chinese,Chinese,Algérie,,,,,
,India,India,Inde,,,,,
,July,July,Asie,,,,,
,African,African,Belgique,,,,,
,April,April,Égypte,,,,,
,January,January,Occident,,,,,
,September,September,Japon,,,,,
,Indian,Indian,Congo,,,,,
,December,December,Maroc,,,,,
,Africa,Africa,Moscou,,,,,
,October,October,Autriche,,,,,
,August,August,Brésil,,,,,
,Germany,Germany,Venise,,,,,
,Israel,Israel,Pologne,,,,,
,November,November,Platon,,,,,
,February,February,Moïse,,,,,
,Americans,Americans,Aristote,,,,,
,UK,UK,Cameroun,,,,,
,California,California,Turquie,,,,,
,Jewish,Jewish,Provence,,,,,
,Japan,Japan,Sénégal,,,,,
,Canada,Canada,Méditerranée,,,,,
,Japanese,Japanese,Mexique,,,,,
,Britain,Britain,Syrie,,,,,
,Greek,Greek,American,,,,,
,Roman,Roman,Australie,,,,,
,Russian,Russian,Athènes,,,,,
,Spanish,Spanish,Alpes,,,,,
,,,Suède,,,,,
,,,Grèce,,,,,
,,,Normandie,,,,,
,,,Tunisie,,,,,
,,,Liban,,,,,
,,,Socrate,,,,,
,,,Hongrie,,,,,
,,,Alsace,,,,,
,,,Guinée,,,,,
,,,Rhin,,,,,
,,,Californie,,,,,
,,,Palestine,,,,,
,,,Indes,,,,,
,,,Barcelone,,,,,
,,,Danemark,,,,,
,,,Munich,,,,,
,,,Arabie,,,,,
,,,Norvège,,,,,
,,,Roumanie,,,,,
,,,Lénine,,,,,
,,,Maghreb,,,,,
,,,Indochine,,,,,
,,,Beyrouth,,,,,
,,,Pérou,,,,,
,,,Finlande,,,,,
,,,Libye,,,,,
,,,Soudan,,,,,
,,,Colombie,,,,,
,,,Haïti,,,,,
,,,URSS,,,,,
,,,ADN,,,,,
,,,ONU,,,,,
,,,Écosse,,,,,
,,,'S,,,,,
